Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
proto-oncogene tyrosine-protein kinase Src-like isoform X1 [Ciona intestinalis],Ciona intestinalis,697,697,97%,0.0,63.96,544,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018672695.1?report=genbank&log$=prottop&blast_rank=1&RID=0CVWY1D701R"",""XP_018672695.1"")"
proto-oncogene tyrosine-protein kinase Src-like isoform X3 [Ciona intestinalis],Ciona intestinalis,693,693,97%,0.0,63.15,543,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018672697.1?report=genbank&log$=prottop&blast_rank=2&RID=0CVWY1D701R"",""XP_018672697.1"")"
proto-oncogene tyrosine-protein kinase Src-like isoform X4 [Ciona intestinalis],Ciona intestinalis,689,689,84%,0.0,70.56,519,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026695957.1?report=genbank&log$=prottop&blast_rank=3&RID=0CVWY1D701R"",""XP_026695957.1"")"
proto-oncogene tyrosine-protein kinase Src-like isoform X2 [Ciona intestinalis],Ciona intestinalis,684,684,97%,0.0,62.85,544,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018672696.1?report=genbank&log$=prottop&blast_rank=4&RID=0CVWY1D701R"",""XP_018672696.1"")"
FYN [Branchiostoma lanceolatum],Branchiostoma lanceolatum,668,668,99%,0.0,61.10,537,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1253438.1?report=genbank&log$=prottop&blast_rank=5&RID=0CVWY1D701R"",""CAH1253438.1"")"
tyrosine-protein kinase Fyn-like [Branchiostoma floridae],Branchiostoma floridae,666,666,99%,0.0,60.62,536,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035658611.1?report=genbank&log$=prottop&blast_rank=6&RID=0CVWY1D701R"",""XP_035658611.1"")"
FYN [Branchiostoma lanceolatum],Branchiostoma lanceolatum,663,663,99%,0.0,60.55,537,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1253440.1?report=genbank&log$=prottop&blast_rank=7&RID=0CVWY1D701R"",""CAH1253440.1"")"
FYN [Branchiostoma lanceolatum],Branchiostoma lanceolatum,645,645,99%,0.0,56.68,576,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1253439.1?report=genbank&log$=prottop&blast_rank=8&RID=0CVWY1D701R"",""CAH1253439.1"")"
tyrosine-protein kinase SRK2-like [Acropora millepora],Acropora millepora,642,642,82%,0.0,67.85,511,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029199183.1?report=genbank&log$=prottop&blast_rank=9&RID=0CVWY1D701R"",""XP_029199183.1"")"
tyrosine-protein kinase Fgr-like [Ciona intestinalis],Ciona intestinalis,639,639,93%,0.0,61.75,526,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002126540.1?report=genbank&log$=prottop&blast_rank=10&RID=0CVWY1D701R"",""XP_002126540.1"")"
src family kinase 7 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,636,636,85%,0.0,64.03,521,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001135851.1?report=genbank&log$=prottop&blast_rank=11&RID=0CVWY1D701R"",""NP_001135851.1"")"
tyrosine-protein kinase Yes-like [Asterias rubens],Asterias rubens,629,629,88%,0.0,63.15,514,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033644619.1?report=genbank&log$=prottop&blast_rank=12&RID=0CVWY1D701R"",""XP_033644619.1"")"
tyrosine-protein kinase STK [Hydra vulgaris],Hydra vulgaris,626,626,89%,0.0,62.53,509,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001274717.1?report=genbank&log$=prottop&blast_rank=13&RID=0CVWY1D701R"",""NP_001274717.1"")"
tyrosine-protein kinase Yes-like [Branchiostoma floridae],Branchiostoma floridae,615,615,92%,0.0,58.46,538,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035693409.1?report=genbank&log$=prottop&blast_rank=14&RID=0CVWY1D701R"",""XP_035693409.1"")"
YES1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,606,606,82%,0.0,61.77,481,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1245330.1?report=genbank&log$=prottop&blast_rank=15&RID=0CVWY1D701R"",""CAH1245330.1"")"
src-family protein tyrosine kinase [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,599,599,95%,0.0,57.58,511,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_999783.1?report=genbank&log$=prottop&blast_rank=16&RID=0CVWY1D701R"",""NP_999783.1"")"
tyrosine-protein kinase SRK3-like [Asterias rubens],Asterias rubens,597,597,82%,0.0,63.29,548,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033644801.1?report=genbank&log$=prottop&blast_rank=17&RID=0CVWY1D701R"",""XP_033644801.1"")"
PREDICTED: tyrosine-protein kinase Src42A-like [Priapulus caudatus],Priapulus caudatus,596,596,87%,0.0,61.55,555,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014681871.1?report=genbank&log$=prottop&blast_rank=18&RID=0CVWY1D701R"",""XP_014681871.1"")"
FYN/Yes-like tyrosine-protein kinase [Saccoglossus kowalevskii],Saccoglossus kowalevskii,594,594,87%,0.0,59.53,518,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001161548.1?report=genbank&log$=prottop&blast_rank=19&RID=0CVWY1D701R"",""NP_001161548.1"")"
TK protein kinase [Salpingoeca rosetta],Salpingoeca rosetta,587,587,92%,0.0,58.41,539,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004988861.1?report=genbank&log$=prottop&blast_rank=20&RID=0CVWY1D701R"",""XP_004988861.1"")"
PREDICTED: tyrosine-protein kinase SRK2-like [Amphimedon queenslandica],Amphimedon queenslandica,583,583,87%,0.0,59.92,550,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003389046.1?report=genbank&log$=prottop&blast_rank=21&RID=0CVWY1D701R"",""XP_003389046.1"")"
FRK [Branchiostoma lanceolatum],Branchiostoma lanceolatum,582,582,85%,0.0,61.46,521,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1253729.1?report=genbank&log$=prottop&blast_rank=22&RID=0CVWY1D701R"",""CAH1253729.1"")"
uncharacterized protein LOC577155 isoform X1 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,581,581,84%,0.0,59.22,559,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030838504.1?report=genbank&log$=prottop&blast_rank=23&RID=0CVWY1D701R"",""XP_030838504.1"")"
tyrosine-protein kinase Src42A-like [Branchiostoma floridae],Branchiostoma floridae,580,580,82%,0.0,63.58,520,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035667997.1?report=genbank&log$=prottop&blast_rank=24&RID=0CVWY1D701R"",""XP_035667997.1"")"
uncharacterized protein LOC577155 isoform X2 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,580,580,82%,0.0,60.09,557,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030838505.1?report=genbank&log$=prottop&blast_rank=25&RID=0CVWY1D701R"",""XP_030838505.1"")"
uncharacterized protein LOC577155 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,579,579,84%,0.0,59.22,533,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001135850.1?report=genbank&log$=prottop&blast_rank=26&RID=0CVWY1D701R"",""NP_001135850.1"")"
