Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
ryanodine receptor 3 [Ciona intestinalis],Ciona intestinalis,4805,4805,99%,0.0,48.22,5002,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018669433.1?report=genbank&log$=prottop&blast_rank=1&RID=04R8VMT2013"",""XP_018669433.1"")"
PREDICTED: ryanodine receptor-like isoform X15 [Octopus bimaculoides],Octopus bimaculoides,2758,4935,97%,0.0,46.46,5206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014787752.1?report=genbank&log$=prottop&blast_rank=2&RID=04R8VMT2013"",""XP_014787752.1"")"
PREDICTED: ryanodine receptor-like isoform X14 [Octopus bimaculoides],Octopus bimaculoides,2755,4932,97%,0.0,46.43,5213,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014787751.1?report=genbank&log$=prottop&blast_rank=3&RID=04R8VMT2013"",""XP_014787751.1"")"
PREDICTED: ryanodine receptor-like isoform X6 [Octopus bimaculoides],Octopus bimaculoides,2754,4927,97%,0.0,46.36,5235,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014787743.1?report=genbank&log$=prottop&blast_rank=4&RID=04R8VMT2013"",""XP_014787743.1"")"
PREDICTED: ryanodine receptor-like isoform X17 [Octopus bimaculoides],Octopus bimaculoides,2754,4930,97%,0.0,46.38,5222,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014787754.1?report=genbank&log$=prottop&blast_rank=5&RID=04R8VMT2013"",""XP_014787754.1"")"
PREDICTED: ryanodine receptor 2-like isoform X10 [Octopus bimaculoides],Octopus bimaculoides,2754,4925,97%,0.0,46.47,5226,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014787747.1?report=genbank&log$=prottop&blast_rank=6&RID=04R8VMT2013"",""XP_014787747.1"")"
PREDICTED: ryanodine receptor 2-like isoform X9 [Octopus bimaculoides],Octopus bimaculoides,2753,4923,97%,0.0,46.40,5233,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014787746.1?report=genbank&log$=prottop&blast_rank=7&RID=04R8VMT2013"",""XP_014787746.1"")"
PREDICTED: ryanodine receptor-like isoform X7 [Octopus bimaculoides],Octopus bimaculoides,2748,4920,97%,0.0,46.30,5235,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014787744.1?report=genbank&log$=prottop&blast_rank=8&RID=04R8VMT2013"",""XP_014787744.1"")"
PREDICTED: ryanodine receptor-like isoform X16 [Octopus bimaculoides],Octopus bimaculoides,2747,4923,97%,0.0,46.30,5229,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014787753.1?report=genbank&log$=prottop&blast_rank=9&RID=04R8VMT2013"",""XP_014787753.1"")"
PREDICTED: ryanodine receptor-like isoform X11 [Octopus bimaculoides],Octopus bimaculoides,2747,4918,97%,0.0,46.27,5223,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014787748.1?report=genbank&log$=prottop&blast_rank=10&RID=04R8VMT2013"",""XP_014787748.1"")"
PREDICTED: ryanodine receptor-like isoform X5 [Octopus bimaculoides],Octopus bimaculoides,2746,4923,97%,0.0,46.27,5236,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014787742.1?report=genbank&log$=prottop&blast_rank=11&RID=04R8VMT2013"",""XP_014787742.1"")"
PREDICTED: ryanodine receptor-like isoform X1 [Octopus bimaculoides],Octopus bimaculoides,2746,4918,97%,0.0,46.27,5242,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014787737.1?report=genbank&log$=prottop&blast_rank=12&RID=04R8VMT2013"",""XP_014787737.1"")"
PREDICTED: ryanodine receptor-like isoform X12 [Octopus bimaculoides],Octopus bimaculoides,2745,4916,97%,0.0,46.27,5187,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014787749.1?report=genbank&log$=prottop&blast_rank=13&RID=04R8VMT2013"",""XP_014787749.1"")"
PREDICTED: ryanodine receptor-like isoform X3 [Octopus bimaculoides],Octopus bimaculoides,2744,4910,97%,0.0,46.24,5241,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014787740.1?report=genbank&log$=prottop&blast_rank=14&RID=04R8VMT2013"",""XP_014787740.1"")"
PREDICTED: ryanodine receptor-like isoform X4 [Octopus bimaculoides],Octopus bimaculoides,2743,4915,97%,0.0,46.24,5241,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014787741.1?report=genbank&log$=prottop&blast_rank=15&RID=04R8VMT2013"",""XP_014787741.1"")"
PREDICTED: ryanodine receptor-like isoform X8 [Octopus bimaculoides],Octopus bimaculoides,2741,4911,97%,0.0,46.18,5235,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014787745.1?report=genbank&log$=prottop&blast_rank=16&RID=04R8VMT2013"",""XP_014787745.1"")"
PREDICTED: ryanodine receptor-like isoform X2 [Octopus bimaculoides],Octopus bimaculoides,2741,4911,97%,0.0,46.15,5242,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014787738.1?report=genbank&log$=prottop&blast_rank=17&RID=04R8VMT2013"",""XP_014787738.1"")"
PREDICTED: LOW QUALITY PROTEIN: ryanodine receptor 2 [Saccoglossus kowalevskii],Saccoglossus kowalevskii,2736,4885,96%,0.0,46.78,5145,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002735182.2?report=genbank&log$=prottop&blast_rank=18&RID=04R8VMT2013"",""XP_002735182.2"")"
Uncharacterized protein CELE_K11C4.5 [Caenorhabditis elegans],Caenorhabditis elegans,2558,3999,97%,0.0,38.87,5070,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001343819.1?report=genbank&log$=prottop&blast_rank=19&RID=04R8VMT2013"",""NP_001343819.1"")"
Uncharacterized protein CELE_K11C4.5 [Caenorhabditis elegans],Caenorhabditis elegans,2555,4006,97%,0.0,38.87,5072,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001343811.1?report=genbank&log$=prottop&blast_rank=20&RID=04R8VMT2013"",""NP_001343811.1"")"
Uncharacterized protein CELE_K11C4.5 [Caenorhabditis elegans],Caenorhabditis elegans,2551,4002,97%,0.0,38.72,5086,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001343809.1?report=genbank&log$=prottop&blast_rank=21&RID=04R8VMT2013"",""NP_001343809.1"")"
Uncharacterized protein CELE_K11C4.5 [Caenorhabditis elegans],Caenorhabditis elegans,2551,3989,97%,0.0,38.72,5084,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001343817.1?report=genbank&log$=prottop&blast_rank=22&RID=04R8VMT2013"",""NP_001343817.1"")"
Uncharacterized protein CELE_K11C4.5 [Caenorhabditis elegans],Caenorhabditis elegans,2522,3961,97%,0.0,38.74,5069,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001343815.1?report=genbank&log$=prottop&blast_rank=23&RID=04R8VMT2013"",""NP_001343815.1"")"
ryanodine receptor [Caenorhabditis elegans],Caenorhabditis elegans,2521,3970,97%,0.0,38.74,5071,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAA08309.1?report=genbank&log$=prottop&blast_rank=24&RID=04R8VMT2013"",""BAA08309.1"")"
Uncharacterized protein CELE_K11C4.5 [Caenorhabditis elegans],Caenorhabditis elegans,2520,3970,97%,0.0,38.74,5071,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001343696.1?report=genbank&log$=prottop&blast_rank=25&RID=04R8VMT2013"",""NP_001343696.1"")"
Uncharacterized protein CELE_K11C4.5 [Caenorhabditis elegans],Caenorhabditis elegans,2516,3955,97%,0.0,38.60,5083,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001343813.1?report=genbank&log$=prottop&blast_rank=26&RID=04R8VMT2013"",""NP_001343813.1"")"
Uncharacterized protein CELE_K11C4.5 [Caenorhabditis elegans],Caenorhabditis elegans,2515,3965,97%,0.0,38.60,5085,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001343689.1?report=genbank&log$=prottop&blast_rank=27&RID=04R8VMT2013"",""NP_001343689.1"")"
RYR2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,2269,4397,86%,0.0,47.79,4909,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1263970.1?report=genbank&log$=prottop&blast_rank=28&RID=04R8VMT2013"",""CAH1263970.1"")"
RYR2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,2251,4381,86%,0.0,47.47,4920,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1263969.1?report=genbank&log$=prottop&blast_rank=29&RID=04R8VMT2013"",""CAH1263969.1"")"
RYR2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,2251,4369,86%,0.0,47.54,4943,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1263967.1?report=genbank&log$=prottop&blast_rank=30&RID=04R8VMT2013"",""CAH1263967.1"")"
RYR2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,2247,4376,86%,0.0,47.36,4932,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1263968.1?report=genbank&log$=prottop&blast_rank=31&RID=04R8VMT2013"",""CAH1263968.1"")"
RYR2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,2239,4368,86%,0.0,46.69,4975,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1263966.1?report=genbank&log$=prottop&blast_rank=32&RID=04R8VMT2013"",""CAH1263966.1"")"
ryanodine receptor 3-like [Branchiostoma floridae],Branchiostoma floridae,2232,4325,85%,0.0,47.98,4992,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035681467.1?report=genbank&log$=prottop&blast_rank=33&RID=04R8VMT2013"",""XP_035681467.1"")"
PREDICTED: ryanodine receptor-like isoform X13 [Octopus bimaculoides],Octopus bimaculoides,1933,4102,78%,0.0,46.11,4339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014787750.1?report=genbank&log$=prottop&blast_rank=34&RID=04R8VMT2013"",""XP_014787750.1"")"
hypothetical protein OCBIM_22010659mg [Octopus bimaculoides],Octopus bimaculoides,1909,3233,71%,0.0,47.14,3703,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF67048.1?report=genbank&log$=prottop&blast_rank=35&RID=04R8VMT2013"",""KOF67048.1"")"
hypothetical protein OCBIM_22010659mg [Octopus bimaculoides],Octopus bimaculoides,1907,3232,71%,0.0,47.10,3710,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF67049.1?report=genbank&log$=prottop&blast_rank=36&RID=04R8VMT2013"",""KOF67049.1"")"
Uncharacterized protein CELE_K11C4.5 [Caenorhabditis elegans],Caenorhabditis elegans,1799,4021,97%,0.0,39.16,5188,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001343810.1?report=genbank&log$=prottop&blast_rank=37&RID=04R8VMT2013"",""NP_001343810.1"")"
