Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
GTPase HRas [Branchiostoma floridae],Branchiostoma floridae,293,293,100%,4e-100,79.37,189,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035696597.1?report=genbank&log$=prottop&blast_rank=1&RID=0MRZ0JWK016"",""XP_035696597.1"")"
NRAS [Branchiostoma lanceolatum],Branchiostoma lanceolatum,292,292,100%,1e-99,79.37,189,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1240573.1?report=genbank&log$=prottop&blast_rank=2&RID=0MRZ0JWK016"",""CAH1240573.1"")"
GTPase HRas-like [Branchiostoma floridae],Branchiostoma floridae,290,290,89%,4e-99,86.47,188,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035672300.1?report=genbank&log$=prottop&blast_rank=3&RID=0MRZ0JWK016"",""XP_035672300.1"")"
KRAS [Branchiostoma lanceolatum],Branchiostoma lanceolatum,290,290,89%,1e-98,86.47,188,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1258932.1?report=genbank&log$=prottop&blast_rank=4&RID=0MRZ0JWK016"",""CAH1258932.1"")"
GTPase HRas [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,288,288,94%,3e-98,83.80,187,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030848609.1?report=genbank&log$=prottop&blast_rank=5&RID=0MRZ0JWK016"",""XP_030848609.1"")"
RAS protein [Branchiostoma lanceolatum],Branchiostoma lanceolatum,287,287,97%,9e-98,80.00,185,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ABU49827.1?report=genbank&log$=prottop&blast_rank=6&RID=0MRZ0JWK016"",""ABU49827.1"")"
hypothetical protein OCBIM_22019558mg [Octopus bimaculoides],Octopus bimaculoides,286,286,80%,1e-97,88.24,174,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF85932.1?report=genbank&log$=prottop&blast_rank=7&RID=0MRZ0JWK016"",""KOF85932.1"")"
PREDICTED: GTPase HRas isoform X1 [Octopus bimaculoides],Octopus bimaculoides,287,287,86%,1e-97,89.02,185,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014774293.1?report=genbank&log$=prottop&blast_rank=8&RID=0MRZ0JWK016"",""XP_014774293.1"")"
NRAS [Branchiostoma lanceolatum],Branchiostoma lanceolatum,287,287,100%,1e-97,78.12,192,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1240574.1?report=genbank&log$=prottop&blast_rank=9&RID=0MRZ0JWK016"",""CAH1240574.1"")"
GTPase HRas [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,286,286,92%,1e-97,85.71,187,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030848582.1?report=genbank&log$=prottop&blast_rank=10&RID=0MRZ0JWK016"",""XP_030848582.1"")"
