Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
voltage-dependent L-type calcium channel subunit beta-2 isoform X1 [Ciona intestinalis],Ciona intestinalis,544,544,74%,0.0,63.45,506,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002129248.1?report=genbank&log$=prottop&blast_rank=1&RID=056D9AVJ013"",""XP_002129248.1"")"
voltage-dependent L-type calcium channel subunit beta-2 isoform X2 [Ciona intestinalis],Ciona intestinalis,544,544,74%,0.0,63.45,478,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_009861365.1?report=genbank&log$=prottop&blast_rank=2&RID=056D9AVJ013"",""XP_009861365.1"")"
voltage-dependent L-type calcium channel subunit beta-1-like isoform X12 [Branchiostoma floridae],Branchiostoma floridae,541,541,72%,0.0,67.32,568,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661505.1?report=genbank&log$=prottop&blast_rank=3&RID=056D9AVJ013"",""XP_035661505.1"")"
voltage-dependent L-type calcium channel subunit beta-1-like isoform X5 [Branchiostoma floridae],Branchiostoma floridae,536,536,74%,0.0,63.12,585,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661497.1?report=genbank&log$=prottop&blast_rank=4&RID=056D9AVJ013"",""XP_035661497.1"")"
voltage-dependent L-type calcium channel subunit beta-1-like isoform X8 [Branchiostoma floridae],Branchiostoma floridae,536,536,72%,0.0,64.76,581,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661501.1?report=genbank&log$=prottop&blast_rank=5&RID=056D9AVJ013"",""XP_035661501.1"")"
voltage-dependent L-type calcium channel subunit beta-1-like isoform X4 [Branchiostoma floridae],Branchiostoma floridae,532,532,72%,0.0,63.49,591,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661496.1?report=genbank&log$=prottop&blast_rank=6&RID=056D9AVJ013"",""XP_035661496.1"")"
voltage-dependent L-type calcium channel subunit beta-1-like isoform X3 [Branchiostoma floridae],Branchiostoma floridae,531,531,74%,0.0,60.88,598,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661495.1?report=genbank&log$=prottop&blast_rank=7&RID=056D9AVJ013"",""XP_035661495.1"")"
voltage-dependent L-type calcium channel subunit beta-1-like isoform X14 [Branchiostoma floridae],Branchiostoma floridae,528,528,74%,0.0,59.78,508,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661507.1?report=genbank&log$=prottop&blast_rank=8&RID=056D9AVJ013"",""XP_035661507.1"")"
voltage-dependent L-type calcium channel subunit beta-1-like isoform X1 [Branchiostoma floridae],Branchiostoma floridae,525,525,74%,7e-180,59.78,608,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661493.1?report=genbank&log$=prottop&blast_rank=9&RID=056D9AVJ013"",""XP_035661493.1"")"
CACNB2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,519,519,74%,2e-179,64.24,469,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1249482.1?report=genbank&log$=prottop&blast_rank=10&RID=056D9AVJ013"",""CAH1249482.1"")"
PREDICTED: voltage-dependent L-type calcium channel subunit beta-2-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,527,527,68%,2e-179,67.25,707,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006812820.1?report=genbank&log$=prottop&blast_rank=11&RID=056D9AVJ013"",""XP_006812820.1"")"
voltage-dependent L-type calcium channel subunit beta-1-like isoform X13 [Branchiostoma floridae],Branchiostoma floridae,517,517,72%,2e-177,65.85,566,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661506.1?report=genbank&log$=prottop&blast_rank=12&RID=056D9AVJ013"",""XP_035661506.1"")"
voltage-dependent L-type calcium channel subunit beta-1-like isoform X3 [Asterias rubens],Asterias rubens,519,519,68%,3e-176,65.24,700,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033629180.1?report=genbank&log$=prottop&blast_rank=13&RID=056D9AVJ013"",""XP_033629180.1"")"
voltage-dependent L-type calcium channel subunit beta-1 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,517,517,68%,3e-176,66.58,650,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030830388.1?report=genbank&log$=prottop&blast_rank=14&RID=056D9AVJ013"",""XP_030830388.1"")"
voltage-dependent L-type calcium channel subunit beta-1-like isoform X2 [Asterias rubens],Asterias rubens,518,518,68%,1e-175,64.82,701,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033629179.1?report=genbank&log$=prottop&blast_rank=15&RID=056D9AVJ013"",""XP_033629179.1"")"
voltage-dependent L-type calcium channel subunit beta-1-like isoform X7 [Branchiostoma floridae],Branchiostoma floridae,513,513,74%,2e-175,61.76,583,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661500.1?report=genbank&log$=prottop&blast_rank=16&RID=056D9AVJ013"",""XP_035661500.1"")"
voltage-dependent L-type calcium channel subunit beta-3-like isoform X10 [Branchiostoma floridae],Branchiostoma floridae,512,512,68%,2e-175,61.65,572,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661503.1?report=genbank&log$=prottop&blast_rank=17&RID=056D9AVJ013"",""XP_035661503.1"")"
voltage-dependent L-type calcium channel subunit beta-3-like isoform X6 [Branchiostoma floridae],Branchiostoma floridae,513,513,68%,2e-175,61.50,585,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661498.1?report=genbank&log$=prottop&blast_rank=18&RID=056D9AVJ013"",""XP_035661498.1"")"
voltage-dependent L-type calcium channel subunit beta-3-like isoform X11 [Branchiostoma floridae],Branchiostoma floridae,512,512,68%,2e-175,61.65,569,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661504.1?report=genbank&log$=prottop&blast_rank=19&RID=056D9AVJ013"",""XP_035661504.1"")"
