Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
guanylate cyclase soluble subunit alpha-2-like isoform X2 [Branchiostoma floridae],Branchiostoma floridae,466,466,89%,3e-151,41.72,816,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035681740.1?report=genbank&log$=prottop&blast_rank=1&RID=0AJ50DAH016"",""XP_035681740.1"")"
guanylate cyclase soluble subunit alpha-2-like isoform X1 [Branchiostoma floridae],Branchiostoma floridae,464,464,89%,1e-149,41.41,911,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035681739.1?report=genbank&log$=prottop&blast_rank=2&RID=0AJ50DAH016"",""XP_035681739.1"")"
GUCY1A2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,458,458,89%,3e-148,40.94,820,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1267967.1?report=genbank&log$=prottop&blast_rank=3&RID=0AJ50DAH016"",""CAH1267967.1"")"
GUCY1A2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,457,457,89%,1e-146,40.94,911,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1267966.1?report=genbank&log$=prottop&blast_rank=4&RID=0AJ50DAH016"",""CAH1267966.1"")"
PREDICTED: guanylate cyclase soluble subunit alpha-2-like [Octopus bimaculoides],Octopus bimaculoides,436,436,76%,4e-142,41.82,624,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014771324.1?report=genbank&log$=prottop&blast_rank=5&RID=0AJ50DAH016"",""XP_014771324.1"")"
guanylate cyclase soluble subunit alpha-2-like [Asterias rubens],Asterias rubens,434,434,87%,2e-140,40.41,694,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033632418.1?report=genbank&log$=prottop&blast_rank=6&RID=0AJ50DAH016"",""XP_033632418.1"")"
hypothetical protein OCBIM_22013044mg [Octopus bimaculoides],Octopus bimaculoides,421,421,64%,2e-137,44.85,545,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOG01042.1?report=genbank&log$=prottop&blast_rank=7&RID=0AJ50DAH016"",""KOG01042.1"")"
guanylate cyclase soluble subunit alpha-2-like [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,417,417,77%,1e-134,41.16,634,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030836089.1?report=genbank&log$=prottop&blast_rank=8&RID=0AJ50DAH016"",""XP_030836089.1"")"
guanylate cyclase soluble subunit alpha-2 isoform X2 [Ciona intestinalis],Ciona intestinalis,386,386,49%,3e-124,50.82,518,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026691494.1?report=genbank&log$=prottop&blast_rank=9&RID=0AJ50DAH016"",""XP_026691494.1"")"
guanylate cyclase soluble subunit alpha-2 isoform X1 [Ciona intestinalis],Ciona intestinalis,382,382,49%,2e-122,48.70,536,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026691493.1?report=genbank&log$=prottop&blast_rank=10&RID=0AJ50DAH016"",""XP_026691493.1"")"
guanylate cyclase soluble subunit beta-1-like [Branchiostoma floridae],Branchiostoma floridae,333,333,78%,4e-102,37.11,674,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035681658.1?report=genbank&log$=prottop&blast_rank=11&RID=0AJ50DAH016"",""XP_035681658.1"")"
GUCY1A2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,323,323,78%,3e-97,36.49,751,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1267965.1?report=genbank&log$=prottop&blast_rank=12&RID=0AJ50DAH016"",""CAH1267965.1"")"
guanylate cyclase soluble subunit beta-2 isoform X2 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,306,306,76%,3e-91,34.58,735,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030837424.1?report=genbank&log$=prottop&blast_rank=13&RID=0AJ50DAH016"",""XP_030837424.1"")"
PREDICTED: uncharacterized protein LOC100197914 [Hydra vulgaris],Hydra vulgaris,313,313,78%,4e-90,32.74,1228,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012563239.1?report=genbank&log$=prottop&blast_rank=14&RID=0AJ50DAH016"",""XP_012563239.1"")"
