Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
voltage-dependent L-type calcium channel subunit beta-2 isoform X1 [Ciona intestinalis],Ciona intestinalis,613,613,67%,0.0,71.46,506,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002129248.1?report=genbank&log$=prottop&blast_rank=1&RID=04Y7U68X013"",""XP_002129248.1"")"
voltage-dependent L-type calcium channel subunit beta-2 isoform X2 [Ciona intestinalis],Ciona intestinalis,612,612,67%,0.0,71.46,478,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_009861365.1?report=genbank&log$=prottop&blast_rank=2&RID=04Y7U68X013"",""XP_009861365.1"")"
voltage-dependent L-type calcium channel subunit beta-1-like isoform X2 [Asterias rubens],Asterias rubens,580,580,64%,0.0,70.72,701,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033629179.1?report=genbank&log$=prottop&blast_rank=3&RID=04Y7U68X013"",""XP_033629179.1"")"
voltage-dependent L-type calcium channel subunit beta-1-like isoform X3 [Asterias rubens],Asterias rubens,578,578,64%,0.0,70.72,700,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033629180.1?report=genbank&log$=prottop&blast_rank=4&RID=04Y7U68X013"",""XP_033629180.1"")"
PREDICTED: voltage-dependent L-type calcium channel subunit beta-2-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,569,569,64%,0.0,69.90,707,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006812820.1?report=genbank&log$=prottop&blast_rank=5&RID=04Y7U68X013"",""XP_006812820.1"")"
voltage-dependent L-type calcium channel subunit beta-1-like isoform X12 [Branchiostoma floridae],Branchiostoma floridae,568,568,64%,0.0,70.18,568,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661505.1?report=genbank&log$=prottop&blast_rank=6&RID=04Y7U68X013"",""XP_035661505.1"")"
voltage-dependent L-type calcium channel subunit beta-1-like isoform X5 [Branchiostoma floridae],Branchiostoma floridae,568,568,64%,0.0,69.90,585,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661497.1?report=genbank&log$=prottop&blast_rank=7&RID=04Y7U68X013"",""XP_035661497.1"")"
voltage-dependent L-type calcium channel subunit beta-3-like isoform X1 [Asterias rubens],Asterias rubens,567,567,64%,0.0,65.30,736,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033629178.1?report=genbank&log$=prottop&blast_rank=8&RID=04Y7U68X013"",""XP_033629178.1"")"
voltage-dependent L-type calcium channel subunit beta-1-like isoform X14 [Branchiostoma floridae],Branchiostoma floridae,560,560,64%,0.0,66.12,508,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661507.1?report=genbank&log$=prottop&blast_rank=9&RID=04Y7U68X013"",""XP_035661507.1"")"
voltage-dependent L-type calcium channel subunit beta-1-like isoform X8 [Branchiostoma floridae],Branchiostoma floridae,559,559,64%,0.0,67.96,581,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661501.1?report=genbank&log$=prottop&blast_rank=10&RID=04Y7U68X013"",""XP_035661501.1"")"
voltage-dependent L-type calcium channel subunit beta-1-like isoform X3 [Branchiostoma floridae],Branchiostoma floridae,559,559,64%,0.0,67.71,598,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661495.1?report=genbank&log$=prottop&blast_rank=11&RID=04Y7U68X013"",""XP_035661495.1"")"
voltage-dependent L-type calcium channel subunit beta-1 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,558,558,65%,0.0,68.46,650,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030830388.1?report=genbank&log$=prottop&blast_rank=12&RID=04Y7U68X013"",""XP_030830388.1"")"
voltage-dependent L-type calcium channel subunit beta-1-like isoform X4 [Branchiostoma floridae],Branchiostoma floridae,556,556,64%,0.0,66.35,591,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661496.1?report=genbank&log$=prottop&blast_rank=13&RID=04Y7U68X013"",""XP_035661496.1"")"
voltage-dependent L-type calcium channel subunit beta-3-like isoform X6 [Branchiostoma floridae],Branchiostoma floridae,556,556,64%,0.0,66.12,585,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661498.1?report=genbank&log$=prottop&blast_rank=14&RID=04Y7U68X013"",""XP_035661498.1"")"
voltage-dependent L-type calcium channel subunit beta-3-like isoform X9 [Branchiostoma floridae],Branchiostoma floridae,556,556,64%,0.0,66.12,581,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661502.1?report=genbank&log$=prottop&blast_rank=15&RID=04Y7U68X013"",""XP_035661502.1"")"
voltage-dependent L-type calcium channel subunit beta-3-like isoform X10 [Branchiostoma floridae],Branchiostoma floridae,556,556,64%,0.0,66.12,572,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661503.1?report=genbank&log$=prottop&blast_rank=16&RID=04Y7U68X013"",""XP_035661503.1"")"
voltage-dependent L-type calcium channel subunit beta-3-like isoform X11 [Branchiostoma floridae],Branchiostoma floridae,556,556,64%,0.0,66.12,569,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661504.1?report=genbank&log$=prottop&blast_rank=17&RID=04Y7U68X013"",""XP_035661504.1"")"
voltage-dependent L-type calcium channel subunit beta-1-like isoform X1 [Branchiostoma floridae],Branchiostoma floridae,556,556,64%,0.0,66.12,608,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661493.1?report=genbank&log$=prottop&blast_rank=18&RID=04Y7U68X013"",""XP_035661493.1"")"
PREDICTED: voltage-dependent L-type calcium channel subunit beta-1-like isoform X3 [Octopus bimaculoides],Octopus bimaculoides,555,555,71%,0.0,63.21,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014776320.1?report=genbank&log$=prottop&blast_rank=19&RID=04Y7U68X013"",""XP_014776320.1"")"
