Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
hypothetical protein [Escherichia coli],Escherichia coli,191,191,64%,8e-60,68.38,154,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_175286220.1?report=genbank&log$=prottop&blast_rank=1&RID=0CK4EAD0013"",""WP_175286220.1"")"
"myosin light chain 3, skeletal muscle isoform isoform X5 [Ciona intestinalis]",Ciona intestinalis,189,189,70%,4e-59,62.59,150,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002127672.2?report=genbank&log$=prottop&blast_rank=2&RID=0CK4EAD0013"",""XP_002127672.2"")"
"myosin light chain 3, skeletal muscle isoform isoform X4 [Ciona intestinalis]",Ciona intestinalis,187,187,70%,3e-58,61.64,150,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_009862438.1?report=genbank&log$=prottop&blast_rank=3&RID=0CK4EAD0013"",""XP_009862438.1"")"
"myosin light chain 3, skeletal muscle isoform isoform X2 [Ciona intestinalis]",Ciona intestinalis,186,186,70%,3e-58,58.50,151,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004225552.1?report=genbank&log$=prottop&blast_rank=4&RID=0CK4EAD0013"",""XP_004225552.1"")"
"myosin light chain 3, skeletal muscle isoform isoform X6 [Ciona intestinalis]",Ciona intestinalis,186,186,70%,7e-58,61.22,150,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004225555.1?report=genbank&log$=prottop&blast_rank=5&RID=0CK4EAD0013"",""XP_004225555.1"")"
"myosin light chain 3, skeletal muscle isoform isoform X1 [Ciona intestinalis]",Ciona intestinalis,184,184,70%,2e-57,57.53,151,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026691469.1?report=genbank&log$=prottop&blast_rank=6&RID=0CK4EAD0013"",""XP_026691469.1"")"
"myosin light chain 3, skeletal muscle isoform isoform X3 [Ciona intestinalis]",Ciona intestinalis,183,183,70%,6e-57,57.14,151,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026691471.1?report=genbank&log$=prottop&blast_rank=7&RID=0CK4EAD0013"",""XP_026691471.1"")"
myosin light polypeptide 6-like isoform X3 [Branchiostoma floridae],Branchiostoma floridae,172,172,70%,2e-52,56.08,148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035657809.1?report=genbank&log$=prottop&blast_rank=8&RID=0CK4EAD0013"",""XP_035657809.1"")"
myosin-2 essential light chain-like isoform X1 [Branchiostoma floridae],Branchiostoma floridae,171,171,70%,3e-52,55.41,154,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035657807.1?report=genbank&log$=prottop&blast_rank=9&RID=0CK4EAD0013"",""XP_035657807.1"")"
myosin-2 essential light chain-like isoform X2 [Branchiostoma floridae],Branchiostoma floridae,170,170,70%,1e-51,55.78,152,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035657808.1?report=genbank&log$=prottop&blast_rank=10&RID=0CK4EAD0013"",""XP_035657808.1"")"
"myosin light chain 3, skeletal muscle isoform-like [Asterias rubens]",Asterias rubens,165,165,70%,8e-50,55.48,154,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033625188.1?report=genbank&log$=prottop&blast_rank=11&RID=0CK4EAD0013"",""XP_033625188.1"")"
PREDICTED: myosin-2 essential light chain-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,157,157,71%,1e-46,50.34,146,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002738813.1?report=genbank&log$=prottop&blast_rank=12&RID=0CK4EAD0013"",""XP_002738813.1"")"
myosin-2 essential light chain-like [Asterias rubens],Asterias rubens,155,155,71%,5e-46,51.01,146,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033625050.1?report=genbank&log$=prottop&blast_rank=13&RID=0CK4EAD0013"",""XP_033625050.1"")"
PREDICTED: myosin-2 essential light chain-like isoform X2 [Amphimedon queenslandica],Amphimedon queenslandica,155,155,72%,9e-46,50.98,150,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003390483.1?report=genbank&log$=prottop&blast_rank=14&RID=0CK4EAD0013"",""XP_003390483.1"")"
PREDICTED: myosin-2 essential light chain-like isoform X1 [Amphimedon queenslandica],Amphimedon queenslandica,154,154,69%,2e-45,52.38,154,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003390482.1?report=genbank&log$=prottop&blast_rank=15&RID=0CK4EAD0013"",""XP_003390482.1"")"
myosin alkali light chain [Saccoglossus kowalevskii],Saccoglossus kowalevskii,153,153,72%,4e-45,48.67,150,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001161590.1?report=genbank&log$=prottop&blast_rank=16&RID=0CK4EAD0013"",""NP_001161590.1"")"
LOW QUALITY PROTEIN: calmodulin-like [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,152,152,69%,6e-45,55.48,147,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_785794.2?report=genbank&log$=prottop&blast_rank=17&RID=0CK4EAD0013"",""XP_785794.2"")"
"myosin light chain 3, skeletal muscle isoform [Ciona intestinalis]",Ciona intestinalis,148,148,69%,3e-43,47.22,155,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002128245.1?report=genbank&log$=prottop&blast_rank=18&RID=0CK4EAD0013"",""XP_002128245.1"")"
"myosin light chain 3, skeletal muscle isoform-like [Ciona intestinalis]",Ciona intestinalis,149,149,70%,4e-43,46.94,189,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002128336.2?report=genbank&log$=prottop&blast_rank=19&RID=0CK4EAD0013"",""XP_002128336.2"")"
myosin-2 essential light chain-like isoform X1 [Acropora millepora],Acropora millepora,147,147,70%,1e-42,49.33,150,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029201330.1?report=genbank&log$=prottop&blast_rank=20&RID=0CK4EAD0013"",""XP_029201330.1"")"
myosin-2 essential light chain [Salpingoeca rosetta],Salpingoeca rosetta,146,146,71%,3e-42,44.97,150,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004989216.1?report=genbank&log$=prottop&blast_rank=21&RID=0CK4EAD0013"",""XP_004989216.1"")"
uncharacterized protein MONBRDRAFT_39222 [Monosiga brevicollis MX1],Monosiga brevicollis MX1,145,145,71%,7e-42,46.67,150,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_001750619.1?report=genbank&log$=prottop&blast_rank=22&RID=0CK4EAD0013"",""XP_001750619.1"")"
Myosin-2 essential light chain [Caenorhabditis elegans],Caenorhabditis elegans,142,142,69%,6e-41,46.53,142,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_499813.1?report=genbank&log$=prottop&blast_rank=23&RID=0CK4EAD0013"",""NP_499813.1"")"
PREDICTED: LOW QUALITY PROTEIN: myosin-2 essential light chain-like [Priapulus caudatus],Priapulus caudatus,142,142,70%,8e-41,49.66,147,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014675534.1?report=genbank&log$=prottop&blast_rank=24&RID=0CK4EAD0013"",""XP_014675534.1"")"
MYL1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,137,137,71%,9e-39,46.36,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1242153.1?report=genbank&log$=prottop&blast_rank=25&RID=0CK4EAD0013"",""CAH1242153.1"")"
PREDICTED: myosin-2 essential light chain-like [Hydra vulgaris],Hydra vulgaris,136,136,69%,1e-38,46.53,146,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002154165.1?report=genbank&log$=prottop&blast_rank=26&RID=0CK4EAD0013"",""XP_002154165.1"")"
"myosin, essential light chain isoform X3 [Branchiostoma floridae]",Branchiostoma floridae,136,136,71%,1e-38,46.36,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035657563.1?report=genbank&log$=prottop&blast_rank=27&RID=0CK4EAD0013"",""XP_035657563.1"")"
EF-hand domain-containing protein [Escherichia coli],Escherichia coli,135,135,67%,4e-38,46.43,150,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_126755826.1?report=genbank&log$=prottop&blast_rank=28&RID=0CK4EAD0013"",""WP_126755826.1"")"
MYL1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,134,134,71%,8e-38,45.03,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1242154.1?report=genbank&log$=prottop&blast_rank=29&RID=0CK4EAD0013"",""CAH1242154.1"")"
myosin-2 essential light chain-like isoform X2 [Acropora millepora],Acropora millepora,133,133,63%,1e-37,49.26,134,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029201329.2?report=genbank&log$=prottop&blast_rank=30&RID=0CK4EAD0013"",""XP_029201329.2"")"
"myosin, essential light chain isoform X2 [Branchiostoma floridae]",Branchiostoma floridae,133,133,70%,2e-37,45.33,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035657561.1?report=genbank&log$=prottop&blast_rank=31&RID=0CK4EAD0013"",""XP_035657561.1"")"
PREDICTED: myosin light chain 6B-like [Hydra vulgaris],Hydra vulgaris,133,133,70%,2e-37,39.46,148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004206245.1?report=genbank&log$=prottop&blast_rank=32&RID=0CK4EAD0013"",""XP_004206245.1"")"
"myosin, essential light chain isoform X1 [Branchiostoma floridae]",Branchiostoma floridae,133,133,71%,4e-37,45.03,151,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035657560.1?report=genbank&log$=prottop&blast_rank=33&RID=0CK4EAD0013"",""XP_035657560.1"")"
PREDICTED: myosin-2 essential light chain-like [Octopus bimaculoides],Octopus bimaculoides,131,131,71%,1e-36,43.92,147,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014769904.1?report=genbank&log$=prottop&blast_rank=34&RID=0CK4EAD0013"",""XP_014769904.1"")"
"myosin, essential light chain isoform X4 [Branchiostoma floridae]",Branchiostoma floridae,130,130,70%,4e-36,45.33,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035657564.1?report=genbank&log$=prottop&blast_rank=35&RID=0CK4EAD0013"",""XP_035657564.1"")"
alkali myosin light chain [Branchiostoma lanceolatum],Branchiostoma lanceolatum,130,130,68%,4e-36,46.21,142,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACE79715.1?report=genbank&log$=prottop&blast_rank=36&RID=0CK4EAD0013"",""ACE79715.1"")"
"PREDICTED: myosin light chain 3, skeletal muscle isoform-like [Priapulus caudatus]",Priapulus caudatus,130,130,71%,7e-36,43.92,158,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014680379.1?report=genbank&log$=prottop&blast_rank=37&RID=0CK4EAD0013"",""XP_014680379.1"")"
"Myosin, essential light chain [Caenorhabditis elegans]",Caenorhabditis elegans,128,128,66%,3e-35,46.48,153,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_741145.1?report=genbank&log$=prottop&blast_rank=38&RID=0CK4EAD0013"",""NP_741145.1"")"
PREDICTED: neo-calmodulin-like isoform X1 [Octopus bimaculoides],Octopus bimaculoides,125,125,67%,4e-34,48.59,154,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014776698.1?report=genbank&log$=prottop&blast_rank=39&RID=0CK4EAD0013"",""XP_014776698.1"")"
calmodulin [Salpingoeca rosetta],Salpingoeca rosetta,125,125,71%,5e-34,45.64,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004993230.1?report=genbank&log$=prottop&blast_rank=40&RID=0CK4EAD0013"",""XP_004993230.1"")"
PREDICTED: neo-calmodulin-like [Octopus bimaculoides],Octopus bimaculoides,125,125,71%,6e-34,46.31,151,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014780626.1?report=genbank&log$=prottop&blast_rank=41&RID=0CK4EAD0013"",""XP_014780626.1"")"
calmodulin [Asterias rubens],Asterias rubens,124,124,71%,8e-34,45.64,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QAA95987.1?report=genbank&log$=prottop&blast_rank=42&RID=0CK4EAD0013"",""QAA95987.1"")"
PREDICTED: calmodulin-A [Hydra vulgaris],Hydra vulgaris,124,124,70%,1e-33,44.59,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002154349.2?report=genbank&log$=prottop&blast_rank=43&RID=0CK4EAD0013"",""XP_002154349.2"")"
"myosin light chain 3, skeletal muscle isoform isoform X1 [Strongylocentrotus purpuratus]",Strongylocentrotus purpuratus,124,124,70%,1e-33,43.54,154,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_783518.3?report=genbank&log$=prottop&blast_rank=44&RID=0CK4EAD0013"",""XP_783518.3"")"
