Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
transcription factor AP-1-like [Branchiostoma floridae],Branchiostoma floridae,272,272,99%,1e-87,49.12,321,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035698869.1?report=genbank&log$=prottop&blast_rank=1&RID=6MSVYA72016"",""XP_035698869.1"")"
JUN [Branchiostoma lanceolatum],Branchiostoma lanceolatum,268,268,99%,2e-85,50.15,387,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1244069.1?report=genbank&log$=prottop&blast_rank=2&RID=6MSVYA72016"",""CAH1244069.1"")"
c-jun proto-oncogene [Octopus vulgaris],Octopus vulgaris,224,224,97%,2e-69,45.62,293,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AWJ58224.1?report=genbank&log$=prottop&blast_rank=3&RID=6MSVYA72016"",""AWJ58224.1"")"
transcription factor AP-1-like [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,220,220,98%,1e-67,44.31,310,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030838976.1?report=genbank&log$=prottop&blast_rank=4&RID=6MSVYA72016"",""XP_030838976.1"")"
AP1-like transcription factor [Saccoglossus kowalevskii],Saccoglossus kowalevskii,218,218,82%,3e-67,50.19,287,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001161502.1?report=genbank&log$=prottop&blast_rank=5&RID=6MSVYA72016"",""NP_001161502.1"")"
transcription factor AP-1-like [Asterias rubens],Asterias rubens,213,213,98%,1e-64,37.63,322,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033637193.1?report=genbank&log$=prottop&blast_rank=6&RID=6MSVYA72016"",""XP_033637193.1"")"
PREDICTED: transcription factor AP-1-like [Priapulus caudatus],Priapulus caudatus,195,195,96%,8e-58,41.87,308,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014674155.1?report=genbank&log$=prottop&blast_rank=7&RID=6MSVYA72016"",""XP_014674155.1"")"
PREDICTED: transcription factor AP-1-like [Priapulus caudatus],Priapulus caudatus,194,194,96%,8e-58,41.80,297,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014681293.1?report=genbank&log$=prottop&blast_rank=8&RID=6MSVYA72016"",""XP_014681293.1"")"
transcription factor protein [Ciona intestinalis],Ciona intestinalis,191,191,80%,2e-55,45.66,381,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001071996.1?report=genbank&log$=prottop&blast_rank=9&RID=6MSVYA72016"",""NP_001071996.1"")"
transcription factor AP-1-like [Acropora millepora],Acropora millepora,161,161,99%,2e-44,32.62,364,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029208159.2?report=genbank&log$=prottop&blast_rank=10&RID=6MSVYA72016"",""XP_029208159.2"")"
transcription factor AP-1-like [Acropora millepora],Acropora millepora,157,157,97%,5e-43,37.10,319,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029213278.1?report=genbank&log$=prottop&blast_rank=11&RID=6MSVYA72016"",""XP_029213278.1"")"
jun protein [Hydra vulgaris],Hydra vulgaris,144,144,86%,9e-38,33.53,344,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001267768.1?report=genbank&log$=prottop&blast_rank=12&RID=6MSVYA72016"",""NP_001267768.1"")"
transcription factor AP-1-like [Acropora millepora],Acropora millepora,123,123,79%,4e-30,34.81,336,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029198903.1?report=genbank&log$=prottop&blast_rank=13&RID=6MSVYA72016"",""XP_029198903.1"")"
uncharacterized protein LOC105851038 [Hydra vulgaris],Hydra vulgaris,115,115,28%,1e-26,58.24,437,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012567188.2?report=genbank&log$=prottop&blast_rank=14&RID=6MSVYA72016"",""XP_012567188.2"")"
transcription factor AP-1 [Ephydatia muelleri],Ephydatia muelleri,102,102,81%,2e-22,31.63,328,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ALB75317.1?report=genbank&log$=prottop&blast_rank=15&RID=6MSVYA72016"",""ALB75317.1"")"
PREDICTED: transcription factor AP-1-like [Amphimedon queenslandica],Amphimedon queenslandica,87.4,87.4,83%,6e-17,27.04,344,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003389192.2?report=genbank&log$=prottop&blast_rank=16&RID=6MSVYA72016"",""XP_003389192.2"")"
uncharacterized protein LOC114956912 [Acropora millepora],Acropora millepora,68.9,68.9,35%,2e-10,34.82,430,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029190039.2?report=genbank&log$=prottop&blast_rank=17&RID=6MSVYA72016"",""XP_029190039.2"")"
Transcription factor jun-1 [Caenorhabditis elegans],Caenorhabditis elegans,57.0,57.0,25%,2e-07,35.80,155,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001370235.1?report=genbank&log$=prottop&blast_rank=18&RID=6MSVYA72016"",""NP_001370235.1"")"
JUN-1E [Caenorhabditis elegans],Caenorhabditis elegans,57.0,57.0,23%,3e-07,37.84,164,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACB41731.1?report=genbank&log$=prottop&blast_rank=19&RID=6MSVYA72016"",""ACB41731.1"")"
Transcription factor jun-1 [Caenorhabditis elegans],Caenorhabditis elegans,57.0,57.0,23%,3e-07,37.84,164,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001129827.1?report=genbank&log$=prottop&blast_rank=20&RID=6MSVYA72016"",""NP_001129827.1"")"
Transcription factor jun-1 [Caenorhabditis elegans],Caenorhabditis elegans,53.9,53.9,27%,1e-06,35.96,101,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001022368.1?report=genbank&log$=prottop&blast_rank=21&RID=6MSVYA72016"",""NP_001022368.1"")"
