Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
PREDICTED: transforming protein RhoA-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,369,369,100%,7e-130,92.23,192,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002741600.1?report=genbank&log$=prottop&blast_rank=1&RID=0CKUKZPH013"",""XP_002741600.1"")"
PREDICTED: ras-like GTP-binding protein RHO isoform X5 [Octopus bimaculoides],Octopus bimaculoides,358,358,100%,7e-126,89.12,192,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014768529.1?report=genbank&log$=prottop&blast_rank=2&RID=0CKUKZPH013"",""XP_014768529.1"")"
PREDICTED: ras-like GTP-binding protein RHO isoform X2 [Octopus bimaculoides],Octopus bimaculoides,358,358,100%,2e-125,89.12,217,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014768504.1?report=genbank&log$=prottop&blast_rank=3&RID=0CKUKZPH013"",""XP_014768504.1"")"
RHOA [Branchiostoma lanceolatum],Branchiostoma lanceolatum,356,356,100%,9e-125,88.60,193,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1246701.1?report=genbank&log$=prottop&blast_rank=4&RID=0CKUKZPH013"",""CAH1246701.1"")"
rho-related GTP-binding protein RhoA-C [Branchiostoma floridae],Branchiostoma floridae,355,355,100%,1e-124,88.60,193,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035669252.1?report=genbank&log$=prottop&blast_rank=5&RID=0CKUKZPH013"",""XP_035669252.1"")"
PREDICTED: ras-like GTP-binding protein RHO isoform X4 [Octopus bimaculoides],Octopus bimaculoides,352,352,100%,2e-123,87.05,192,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014768521.1?report=genbank&log$=prottop&blast_rank=6&RID=0CKUKZPH013"",""XP_014768521.1"")"
PREDICTED: ras-like GTP-binding protein RHO [Priapulus caudatus],Priapulus caudatus,352,352,100%,2e-123,87.05,192,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014671952.1?report=genbank&log$=prottop&blast_rank=7&RID=0CKUKZPH013"",""XP_014671952.1"")"
PREDICTED: ras-like GTP-binding protein RHO isoform X1 [Octopus bimaculoides],Octopus bimaculoides,352,352,100%,5e-123,87.05,217,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014768488.1?report=genbank&log$=prottop&blast_rank=8&RID=0CKUKZPH013"",""XP_014768488.1"")"
PREDICTED: ras-like GTP-binding protein RHO isoform X3 [Octopus bimaculoides],Octopus bimaculoides,352,352,100%,6e-123,87.05,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014768513.1?report=genbank&log$=prottop&blast_rank=9&RID=0CKUKZPH013"",""XP_014768513.1"")"
RhoA protein [Ciona intestinalis],Ciona intestinalis,350,350,100%,1e-122,86.01,193,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001027690.1?report=genbank&log$=prottop&blast_rank=10&RID=0CKUKZPH013"",""NP_001027690.1"")"
PREDICTED: ras-like GTP-binding protein RHO [Hydra vulgaris],Hydra vulgaris,346,346,93%,5e-121,91.67,192,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002156827.1?report=genbank&log$=prottop&blast_rank=11&RID=0CKUKZPH013"",""XP_002156827.1"")"
