Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1 [Gallus gallus],Gallus gallus,263,263,93%,3e-86,45.05,308,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001188317.2?report=genbank&log$=prottop&blast_rank=1&RID=0YY7GAM7013"",""NP_001188317.2"")"
ADP-ribosyl cyclase CD38 [Gallus gallus],Gallus gallus,262,262,93%,1e-85,44.71,308,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ADQ89191.1?report=genbank&log$=prottop&blast_rank=2&RID=0YY7GAM7013"",""ADQ89191.1"")"
ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1 [Xenopus tropicalis],Xenopus tropicalis,220,220,82%,5e-70,40.73,253,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001011230.1?report=genbank&log$=prottop&blast_rank=3&RID=0YY7GAM7013"",""NP_001011230.1"")"
hypothetical protein XENTR_v10000392 [Xenopus tropicalis],Xenopus tropicalis,220,220,83%,2e-69,40.40,300,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAE8629195.1?report=genbank&log$=prottop&blast_rank=4&RID=0YY7GAM7013"",""KAE8629195.1"")"
hypothetical protein XENTR_v10000392 [Xenopus tropicalis],Xenopus tropicalis,206,206,77%,4e-64,40.60,279,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAE8629196.1?report=genbank&log$=prottop&blast_rank=5&RID=0YY7GAM7013"",""KAE8629196.1"")"
LOW QUALITY PROTEIN: ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2-like [Carcharodon carcharias],Carcharodon carcharias,184,184,77%,1e-55,37.77,291,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041038273.1?report=genbank&log$=prottop&blast_rank=6&RID=0YY7GAM7013"",""XP_041038273.1"")"
hypothetical protein XENTR_v10000392 [Xenopus tropicalis],Xenopus tropicalis,180,180,54%,1e-54,48.17,224,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAE8629197.1?report=genbank&log$=prottop&blast_rank=7&RID=0YY7GAM7013"",""KAE8629197.1"")"
ADP-ribosyl cyclase 2 isoform X3 [Gallus gallus],Gallus gallus,177,177,83%,8e-53,32.94,280,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015141241.2?report=genbank&log$=prottop&blast_rank=8&RID=0YY7GAM7013"",""XP_015141241.2"")"
ADP-ribosyl cyclase 2 isoform X2 [Gallus gallus],Gallus gallus,177,177,83%,2e-52,32.94,295,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015141240.2?report=genbank&log$=prottop&blast_rank=9&RID=0YY7GAM7013"",""XP_015141240.2"")"
ADP-ribosyl cyclase 2 precursor [Gallus gallus],Gallus gallus,177,177,83%,2e-52,32.94,316,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001186972.2?report=genbank&log$=prottop&blast_rank=10&RID=0YY7GAM7013"",""NP_001186972.2"")"
ADP-ribosyl cyclase CD157 [Gallus gallus],Gallus gallus,176,176,83%,3e-52,32.94,316,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ADQ89192.1?report=genbank&log$=prottop&blast_rank=11&RID=0YY7GAM7013"",""ADQ89192.1"")"
ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2 [Xenopus tropicalis],Xenopus tropicalis,173,173,83%,5e-51,33.73,303,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004911290.1?report=genbank&log$=prottop&blast_rank=12&RID=0YY7GAM7013"",""XP_004911290.1"")"
ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1-like [Danio rerio],Danio rerio,157,157,74%,2e-45,34.07,259,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_021325948.1?report=genbank&log$=prottop&blast_rank=13&RID=0YY7GAM7013"",""XP_021325948.1"")"
hypothetical protein XENTR_v10000392 [Xenopus tropicalis],Xenopus tropicalis,155,155,48%,2e-45,45.89,208,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAE8629200.1?report=genbank&log$=prottop&blast_rank=14&RID=0YY7GAM7013"",""KAE8629200.1"")"
