Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
calcium/calmodulin-dependent protein kinase type II alpha chain isoform X2 [Octopus vulgaris],Octopus vulgaris,798,798,99%,0.0,70.90,512,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QHX41518.1?report=genbank&log$=prottop&blast_rank=1&RID=6Z5R389001N"",""QHX41518.1"")"
PREDICTED: calcium/calmodulin-dependent protein kinase type II delta chain [Saccoglossus kowalevskii],Saccoglossus kowalevskii,789,789,99%,0.0,70.40,477,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002734696.1?report=genbank&log$=prottop&blast_rank=2&RID=6Z5R389001N"",""XP_002734696.1"")"
calcium/calmodulin-dependent protein kinase type II delta chain-like isoform X18 [Branchiostoma floridae],Branchiostoma floridae,784,784,99%,0.0,70.59,523,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035669855.1?report=genbank&log$=prottop&blast_rank=3&RID=6Z5R389001N"",""XP_035669855.1"")"
calcium/calmodulin-dependent protein kinase type II delta chain-like isoform X17 [Branchiostoma floridae],Branchiostoma floridae,781,781,99%,0.0,69.00,538,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035669854.1?report=genbank&log$=prottop&blast_rank=4&RID=6Z5R389001N"",""XP_035669854.1"")"
calcium/calmodulin-dependent protein kinase type II delta chain-like isoform X22 [Branchiostoma floridae],Branchiostoma floridae,780,780,99%,0.0,69.85,498,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035669859.1?report=genbank&log$=prottop&blast_rank=5&RID=6Z5R389001N"",""XP_035669859.1"")"
calcium/calmodulin-dependent protein kinase type II delta chain-like isoform X24 [Branchiostoma floridae],Branchiostoma floridae,778,778,99%,0.0,70.40,491,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035669861.1?report=genbank&log$=prottop&blast_rank=6&RID=6Z5R389001N"",""XP_035669861.1"")"
calcium/calmodulin-dependent protein kinase type II delta chain-like isoform X19 [Branchiostoma floridae],Branchiostoma floridae,777,777,99%,0.0,68.28,513,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035669856.1?report=genbank&log$=prottop&blast_rank=7&RID=6Z5R389001N"",""XP_035669856.1"")"
calcium/calmodulin-dependent protein kinase type II alpha chain isoform X1 [Octopus vulgaris],Octopus vulgaris,776,776,99%,0.0,65.81,555,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QHX41517.1?report=genbank&log$=prottop&blast_rank=8&RID=6Z5R389001N"",""QHX41517.1"")"
calcium/calmodulin-dependent protein kinase type II delta chain-like isoform X20 [Branchiostoma floridae],Branchiostoma floridae,775,775,99%,0.0,70.26,507,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035669857.1?report=genbank&log$=prottop&blast_rank=9&RID=6Z5R389001N"",""XP_035669857.1"")"
calcium/calmodulin-dependent protein kinase type II delta chain-like isoform X21 [Branchiostoma floridae],Branchiostoma floridae,775,775,99%,0.0,68.82,506,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035669858.1?report=genbank&log$=prottop&blast_rank=10&RID=6Z5R389001N"",""XP_035669858.1"")"
