Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
myosin regulatory light polypeptide 9-like [Asterias rubens],Asterias rubens,300,300,100%,3e-103,83.14,176,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033644784.1?report=genbank&log$=prottop&blast_rank=1&RID=0CK7J83D013"",""XP_033644784.1"")"
myosin regulatory light chain 12B-like isoform X2 [Branchiostoma floridae],Branchiostoma floridae,300,300,100%,5e-103,83.72,202,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035666183.1?report=genbank&log$=prottop&blast_rank=2&RID=0CK7J83D013"",""XP_035666183.1"")"
MYL12B [Branchiostoma lanceolatum],Branchiostoma lanceolatum,299,299,100%,7e-103,83.72,172,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1252893.1?report=genbank&log$=prottop&blast_rank=3&RID=0CK7J83D013"",""CAH1252893.1"")"
myosin regulatory light chain 12B-like isoform X5 [Branchiostoma floridae],Branchiostoma floridae,298,298,100%,9e-103,83.72,172,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035666186.1?report=genbank&log$=prottop&blast_rank=4&RID=0CK7J83D013"",""XP_035666186.1"")"
PREDICTED: myosin regulatory light polypeptide 9-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,288,288,100%,2e-98,84.30,175,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002740099.1?report=genbank&log$=prottop&blast_rank=5&RID=0CK7J83D013"",""XP_002740099.1"")"
PREDICTED: myosin regulatory light polypeptide 9-like [Octopus bimaculoides],Octopus bimaculoides,285,285,96%,3e-97,80.72,172,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014786046.1?report=genbank&log$=prottop&blast_rank=6&RID=0CK7J83D013"",""XP_014786046.1"")"
myosin regulatory light chain 12A [Ciona intestinalis],Ciona intestinalis,281,281,100%,5e-96,79.77,173,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002123809.1?report=genbank&log$=prottop&blast_rank=7&RID=0CK7J83D013"",""XP_002123809.1"")"
MYL12B [Branchiostoma lanceolatum],Branchiostoma lanceolatum,281,281,100%,2e-95,76.16,184,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1252892.1?report=genbank&log$=prottop&blast_rank=8&RID=0CK7J83D013"",""CAH1252892.1"")"
MYL12B [Branchiostoma lanceolatum],Branchiostoma lanceolatum,280,280,100%,2e-95,76.16,176,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1252894.1?report=genbank&log$=prottop&blast_rank=9&RID=0CK7J83D013"",""CAH1252894.1"")"
myosin regulatory light chain 12B-like isoform X1 [Branchiostoma floridae],Branchiostoma floridae,280,280,100%,5e-95,75.58,206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035666182.1?report=genbank&log$=prottop&blast_rank=10&RID=0CK7J83D013"",""XP_035666182.1"")"
myosin regulatory light chain 12B-like isoform X4 [Branchiostoma floridae],Branchiostoma floridae,278,278,100%,7e-95,75.58,176,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035666185.1?report=genbank&log$=prottop&blast_rank=11&RID=0CK7J83D013"",""XP_035666185.1"")"
