Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
PREDICTED: atrial natriuretic peptide receptor 1-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,960,960,97%,0.0,47.61,1104,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006816520.1?report=genbank&log$=prottop&blast_rank=1&RID=0CJ2XZAC013"",""XP_006816520.1"")"
NPR1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,955,955,98%,0.0,47.29,1052,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1254271.1?report=genbank&log$=prottop&blast_rank=2&RID=0CJ2XZAC013"",""CAH1254271.1"")"
atrial natriuretic peptide receptor 1-like [Branchiostoma floridae],Branchiostoma floridae,915,915,97%,0.0,46.25,1018,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035665611.1?report=genbank&log$=prottop&blast_rank=3&RID=0CJ2XZAC013"",""XP_035665611.1"")"
PREDICTED: atrial natriuretic peptide receptor 1-like isoform X1 [Octopus bimaculoides],Octopus bimaculoides,897,897,97%,0.0,45.54,1129,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014768314.1?report=genbank&log$=prottop&blast_rank=4&RID=0CJ2XZAC013"",""XP_014768314.1"")"
PREDICTED: atrial natriuretic peptide receptor 1-like isoform X2 [Octopus bimaculoides],Octopus bimaculoides,880,880,97%,0.0,44.56,1103,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014768315.1?report=genbank&log$=prottop&blast_rank=5&RID=0CJ2XZAC013"",""XP_014768315.1"")"
PREDICTED: atrial natriuretic peptide receptor 1-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,878,878,76%,0.0,53.28,833,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002737310.2?report=genbank&log$=prottop&blast_rank=6&RID=0CJ2XZAC013"",""XP_002737310.2"")"
PREDICTED: atrial natriuretic peptide receptor 1-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,857,857,95%,0.0,43.85,1035,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002734779.1?report=genbank&log$=prottop&blast_rank=7&RID=0CJ2XZAC013"",""XP_002734779.1"")"
PREDICTED: atrial natriuretic peptide receptor 1-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,853,853,75%,0.0,52.74,855,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006813370.1?report=genbank&log$=prottop&blast_rank=8&RID=0CJ2XZAC013"",""XP_006813370.1"")"
atrial natriuretic peptide receptor 1-like [Asterias rubens],Asterias rubens,844,844,79%,0.0,50.23,829,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033624202.1?report=genbank&log$=prottop&blast_rank=9&RID=0CJ2XZAC013"",""XP_033624202.1"")"
atrial natriuretic peptide receptor 1 isoform X1 [Ciona intestinalis],Ciona intestinalis,840,840,96%,0.0,43.11,1163,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026696075.1?report=genbank&log$=prottop&blast_rank=10&RID=0CJ2XZAC013"",""XP_026696075.1"")"
PREDICTED: atrial natriuretic peptide receptor 1-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,836,836,97%,0.0,43.88,1068,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006816519.1?report=genbank&log$=prottop&blast_rank=11&RID=0CJ2XZAC013"",""XP_006816519.1"")"
atrial natriuretic peptide receptor 1 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,826,826,78%,0.0,49.77,820,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030828282.1?report=genbank&log$=prottop&blast_rank=12&RID=0CJ2XZAC013"",""XP_030828282.1"")"
atrial natriuretic peptide receptor 1-like [Ciona intestinalis],Ciona intestinalis,808,808,95%,0.0,41.84,1254,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002124200.4?report=genbank&log$=prottop&blast_rank=13&RID=0CJ2XZAC013"",""XP_002124200.4"")"
PREDICTED: atrial natriuretic peptide receptor 1-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,807,807,95%,0.0,42.53,1051,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006816521.1?report=genbank&log$=prottop&blast_rank=14&RID=0CJ2XZAC013"",""XP_006816521.1"")"
atrial natriuretic peptide receptor 1-like [Asterias rubens],Asterias rubens,768,768,85%,0.0,43.86,894,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033625132.1?report=genbank&log$=prottop&blast_rank=15&RID=0CJ2XZAC013"",""XP_033625132.1"")"
PREDICTED: atrial natriuretic peptide receptor 1-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,767,767,99%,0.0,40.77,1090,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006823424.1?report=genbank&log$=prottop&blast_rank=16&RID=0CJ2XZAC013"",""XP_006823424.1"")"
atrial natriuretic peptide receptor 1-like [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,753,753,95%,0.0,40.72,1043,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011679773.2?report=genbank&log$=prottop&blast_rank=17&RID=0CJ2XZAC013"",""XP_011679773.2"")"
atrial natriuretic peptide receptor 1-like [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,750,750,97%,0.0,39.86,1030,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030853875.1?report=genbank&log$=prottop&blast_rank=18&RID=0CJ2XZAC013"",""XP_030853875.1"")"
atrial natriuretic peptide receptor 1-like [Asterias rubens],Asterias rubens,733,733,99%,0.0,39.05,1033,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033625244.1?report=genbank&log$=prottop&blast_rank=19&RID=0CJ2XZAC013"",""XP_033625244.1"")"
atrial natriuretic peptide receptor 1-like [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,721,721,78%,0.0,44.87,823,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030828915.1?report=genbank&log$=prottop&blast_rank=20&RID=0CJ2XZAC013"",""XP_030828915.1"")"
atrial natriuretic peptide receptor 1-like [Asterias rubens],Asterias rubens,706,706,95%,0.0,39.05,1043,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033625080.1?report=genbank&log$=prottop&blast_rank=21&RID=0CJ2XZAC013"",""XP_033625080.1"")"
atrial natriuretic peptide receptor 1 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,705,705,96%,0.0,38.59,1050,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030856213.1?report=genbank&log$=prottop&blast_rank=22&RID=0CJ2XZAC013"",""XP_030856213.1"")"
atrial natriuretic peptide receptor 1-like [Asterias rubens],Asterias rubens,703,703,78%,0.0,42.97,811,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033625115.1?report=genbank&log$=prottop&blast_rank=23&RID=0CJ2XZAC013"",""XP_033625115.1"")"
atrial natriuretic peptide receptor 1-like [Asterias rubens],Asterias rubens,700,700,96%,0.0,38.33,1017,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033624556.1?report=genbank&log$=prottop&blast_rank=24&RID=0CJ2XZAC013"",""XP_033624556.1"")"
NPR2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,696,696,99%,0.0,38.48,1136,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1273966.1?report=genbank&log$=prottop&blast_rank=25&RID=0CJ2XZAC013"",""CAH1273966.1"")"
NPR2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,694,694,97%,0.0,38.25,1086,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1244889.1?report=genbank&log$=prottop&blast_rank=26&RID=0CJ2XZAC013"",""CAH1244889.1"")"
speract receptor-like [Branchiostoma floridae],Branchiostoma floridae,693,693,90%,0.0,39.98,1153,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035695815.1?report=genbank&log$=prottop&blast_rank=27&RID=0CJ2XZAC013"",""XP_035695815.1"")"
NPR2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,689,689,97%,0.0,38.07,1086,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1244890.1?report=genbank&log$=prottop&blast_rank=28&RID=0CJ2XZAC013"",""CAH1244890.1"")"
NPR1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,689,689,97%,0.0,37.62,1081,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1251539.1?report=genbank&log$=prottop&blast_rank=29&RID=0CJ2XZAC013"",""CAH1251539.1"")"
atrial natriuretic peptide receptor 1-like [Asterias rubens],Asterias rubens,685,685,99%,0.0,37.31,1036,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033624554.1?report=genbank&log$=prottop&blast_rank=30&RID=0CJ2XZAC013"",""XP_033624554.1"")"
atrial natriuretic peptide receptor 1-like [Asterias rubens],Asterias rubens,685,685,90%,0.0,39.40,931,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033624405.1?report=genbank&log$=prottop&blast_rank=31&RID=0CJ2XZAC013"",""XP_033624405.1"")"
PREDICTED: atrial natriuretic peptide receptor 1-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,683,683,90%,0.0,38.33,1084,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006815711.1?report=genbank&log$=prottop&blast_rank=32&RID=0CJ2XZAC013"",""XP_006815711.1"")"
atrial natriuretic peptide receptor 1-like isoform X1 [Branchiostoma floridae],Branchiostoma floridae,682,682,97%,0.0,37.79,1081,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035670931.1?report=genbank&log$=prottop&blast_rank=33&RID=0CJ2XZAC013"",""XP_035670931.1"")"
NPR1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,677,677,97%,0.0,38.14,1076,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1251538.1?report=genbank&log$=prottop&blast_rank=34&RID=0CJ2XZAC013"",""CAH1251538.1"")"
NPR1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,676,676,90%,0.0,40.79,1049,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1244880.1?report=genbank&log$=prottop&blast_rank=35&RID=0CJ2XZAC013"",""CAH1244880.1"")"
atrial natriuretic peptide receptor 1-like [Asterias rubens],Asterias rubens,675,675,92%,0.0,39.77,969,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033638736.1?report=genbank&log$=prottop&blast_rank=36&RID=0CJ2XZAC013"",""XP_033638736.1"")"
COS1.2a [Ciona intestinalis],Ciona intestinalis,674,674,49%,0.0,60.47,632,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAB02587.1?report=genbank&log$=prottop&blast_rank=37&RID=0CJ2XZAC013"",""CAB02587.1"")"
COS1.2b [Ciona intestinalis],Ciona intestinalis,674,674,49%,0.0,60.47,632,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAB02588.1?report=genbank&log$=prottop&blast_rank=38&RID=0CJ2XZAC013"",""CAB02588.1"")"
atrial natriuretic peptide receptor 1-like isoform X2 [Branchiostoma floridae],Branchiostoma floridae,673,673,97%,0.0,38.37,1077,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035670933.1?report=genbank&log$=prottop&blast_rank=39&RID=0CJ2XZAC013"",""XP_035670933.1"")"
NPR1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,670,670,97%,0.0,38.50,995,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1257745.1?report=genbank&log$=prottop&blast_rank=40&RID=0CJ2XZAC013"",""CAH1257745.1"")"
PREDICTED: atrial natriuretic peptide receptor 1-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,666,666,97%,0.0,37.58,1052,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002733692.2?report=genbank&log$=prottop&blast_rank=41&RID=0CJ2XZAC013"",""XP_002733692.2"")"
speract receptor-like [Acropora millepora],Acropora millepora,664,738,97%,0.0,37.16,1571,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_044184619.1?report=genbank&log$=prottop&blast_rank=42&RID=0CJ2XZAC013"",""XP_044184619.1"")"
guanylate cyclase 32E-like isoform X2 [Acropora millepora],Acropora millepora,662,735,97%,0.0,38.50,1570,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_044184618.1?report=genbank&log$=prottop&blast_rank=43&RID=0CJ2XZAC013"",""XP_044184618.1"")"
atrial natriuretic peptide receptor 1-like [Branchiostoma floridae],Branchiostoma floridae,661,661,99%,0.0,35.78,1092,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035674523.1?report=genbank&log$=prottop&blast_rank=44&RID=0CJ2XZAC013"",""XP_035674523.1"")"
guanylate cyclase 32E-like [Asterias rubens],Asterias rubens,659,659,89%,0.0,40.47,1267,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033630928.1?report=genbank&log$=prottop&blast_rank=45&RID=0CJ2XZAC013"",""XP_033630928.1"")"
guanylate cyclase 32E-like isoform X1 [Acropora millepora],Acropora millepora,659,732,97%,0.0,38.66,1571,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_044184617.1?report=genbank&log$=prottop&blast_rank=46&RID=0CJ2XZAC013"",""XP_044184617.1"")"
atrial natriuretic peptide receptor 2-like isoform X1 [Acropora millepora],Acropora millepora,657,657,95%,0.0,37.65,1094,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029193317.2?report=genbank&log$=prottop&blast_rank=47&RID=0CJ2XZAC013"",""XP_029193317.2"")"
atrial natriuretic peptide receptor 2-like [Acropora millepora],Acropora millepora,651,651,90%,0.0,38.53,1002,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_044184625.1?report=genbank&log$=prottop&blast_rank=48&RID=0CJ2XZAC013"",""XP_044184625.1"")"
PREDICTED: speract receptor-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,649,649,87%,0.0,40.04,1157,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006817693.1?report=genbank&log$=prottop&blast_rank=49&RID=0CJ2XZAC013"",""XP_006817693.1"")"
PREDICTED: guanylate cyclase 32E [Saccoglossus kowalevskii],Saccoglossus kowalevskii,648,648,90%,0.0,38.33,1352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006811765.1?report=genbank&log$=prottop&blast_rank=50&RID=0CJ2XZAC013"",""XP_006811765.1"")"
PREDICTED: guanylate cyclase 32E-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,647,647,86%,0.0,39.92,1165,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006817694.1?report=genbank&log$=prottop&blast_rank=51&RID=0CJ2XZAC013"",""XP_006817694.1"")"
PREDICTED: atrial natriuretic peptide receptor 1-like [Priapulus caudatus],Priapulus caudatus,647,647,56%,0.0,51.58,575,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014662884.1?report=genbank&log$=prottop&blast_rank=52&RID=0CJ2XZAC013"",""XP_014662884.1"")"
NPR1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,646,646,97%,0.0,35.45,1094,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1277317.1?report=genbank&log$=prottop&blast_rank=53&RID=0CJ2XZAC013"",""CAH1277317.1"")"
receptor guanylyl cyclase-like protein [Saccoglossus kowalevskii],Saccoglossus kowalevskii,644,644,45%,0.0,63.42,479,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001161643.1?report=genbank&log$=prottop&blast_rank=54&RID=0CJ2XZAC013"",""NP_001161643.1"")"
PREDICTED: atrial natriuretic peptide receptor 1-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,642,642,91%,0.0,38.25,1068,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006816871.1?report=genbank&log$=prottop&blast_rank=55&RID=0CJ2XZAC013"",""XP_006816871.1"")"
speract receptor [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,642,642,79%,0.0,42.79,1082,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011672290.2?report=genbank&log$=prottop&blast_rank=56&RID=0CJ2XZAC013"",""XP_011672290.2"")"
PREDICTED: atrial natriuretic peptide receptor 1-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,642,642,91%,0.0,38.28,980,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006811144.1?report=genbank&log$=prottop&blast_rank=57&RID=0CJ2XZAC013"",""XP_006811144.1"")"
PREDICTED: atrial natriuretic peptide receptor 1-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,637,637,90%,0.0,37.85,1041,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006814973.1?report=genbank&log$=prottop&blast_rank=58&RID=0CJ2XZAC013"",""XP_006814973.1"")"
