Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
cytochrome c oxidase subunit I [Pan troglodytes verus],Pan troglodytes verus,918,918,100%,0.0,99.42,513,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AMB65392.1?report=genbank&log$=prottop&blast_rank=1&RID=6CM31VX6016"",""AMB65392.1"")"
cytochrome c oxidase subunit I [Pan troglodytes ellioti],Pan troglodytes ellioti,916,916,100%,0.0,99.22,513,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACY65572.1?report=genbank&log$=prottop&blast_rank=2&RID=6CM31VX6016"",""ACY65572.1"")"
cytochrome c oxidase subunit 1 [Pan troglodytes ellioti],Pan troglodytes ellioti,916,916,100%,0.0,99.03,513,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AEQ36141.1?report=genbank&log$=prottop&blast_rank=3&RID=6CM31VX6016"",""AEQ36141.1"")"
cytochrome c oxidase subunit 1 [Pan troglodytes],Pan troglodytes,916,916,100%,0.0,99.22,513,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ABU47836.1?report=genbank&log$=prottop&blast_rank=4&RID=6CM31VX6016"",""ABU47836.1"")"
cytochrome c oxidase subunit I [Pan troglodytes ellioti],Pan troglodytes ellioti,916,916,100%,0.0,99.03,513,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AIV00481.1?report=genbank&log$=prottop&blast_rank=5&RID=6CM31VX6016"",""AIV00481.1"")"
cytochrome c oxidase subunit 1 [Pan troglodytes verus],Pan troglodytes verus,915,915,100%,0.0,99.03,513,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AEQ36264.1?report=genbank&log$=prottop&blast_rank=6&RID=6CM31VX6016"",""AEQ36264.1"")"
cytochrome c oxidase subunit I [Pan troglodytes verus],Pan troglodytes verus,915,915,100%,0.0,99.03,513,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACY65559.1?report=genbank&log$=prottop&blast_rank=7&RID=6CM31VX6016"",""ACY65559.1"")"
cytochrome c oxidase subunit I [Pan troglodytes troglodytes],Pan troglodytes troglodytes,915,915,100%,0.0,99.03,513,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACY65520.1?report=genbank&log$=prottop&blast_rank=8&RID=6CM31VX6016"",""ACY65520.1"")"
cytochrome c oxidase subunit 1 [Pan troglodytes troglodytes],Pan troglodytes troglodytes,915,915,100%,0.0,99.03,516,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AEQ35734.1?report=genbank&log$=prottop&blast_rank=9&RID=6CM31VX6016"",""AEQ35734.1"")"
cytochrome c oxidase subunit 1 [Pan troglodytes schweinfurthii],Pan troglodytes schweinfurthii,915,915,100%,0.0,99.03,513,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ADF88041.1?report=genbank&log$=prottop&blast_rank=10&RID=6CM31VX6016"",""ADF88041.1"")"
cytochrome c oxidase subunit 1 [Pan troglodytes verus],Pan troglodytes verus,914,914,100%,0.0,99.03,513,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AER24474.1?report=genbank&log$=prottop&blast_rank=11&RID=6CM31VX6016"",""AER24474.1"")"
cytochrome c oxidase subunit 1 [Pan troglodytes troglodytes],Pan troglodytes troglodytes,914,914,100%,0.0,98.83,513,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AEQ35682.1?report=genbank&log$=prottop&blast_rank=12&RID=6CM31VX6016"",""AEQ35682.1"")"
cytochrome c oxidase subunit I [Pan troglodytes],Pan troglodytes,914,914,100%,0.0,98.83,513,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_008188.1?report=genbank&log$=prottop&blast_rank=13&RID=6CM31VX6016"",""NP_008188.1"")"
cytochrome c oxidase subunit 1 [Pan troglodytes ellioti],Pan troglodytes ellioti,914,914,100%,0.0,99.03,513,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ADF88158.1?report=genbank&log$=prottop&blast_rank=14&RID=6CM31VX6016"",""ADF88158.1"")"
cytochrome c oxidase subunit I [Pan troglodytes troglodytes],Pan troglodytes troglodytes,914,914,100%,0.0,98.83,513,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AEO20682.1?report=genbank&log$=prottop&blast_rank=15&RID=6CM31VX6016"",""AEO20682.1"")"
cytochrome c oxidase subunit 1 [Pan troglodytes schweinfurthii],Pan troglodytes schweinfurthii,914,914,100%,0.0,99.03,513,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AEQ36102.1?report=genbank&log$=prottop&blast_rank=16&RID=6CM31VX6016"",""AEQ36102.1"")"
cytochrome c oxidase subunit I [Pan troglodytes troglodytes],Pan troglodytes troglodytes,914,914,100%,0.0,98.83,513,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AEO20656.1?report=genbank&log$=prottop&blast_rank=17&RID=6CM31VX6016"",""AEO20656.1"")"
cytochrome c oxidase subunit 1 [Pan troglodytes schweinfurthii],Pan troglodytes schweinfurthii,913,913,100%,0.0,98.83,513,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AEQ36025.1?report=genbank&log$=prottop&blast_rank=18&RID=6CM31VX6016"",""AEQ36025.1"")"
