Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
prostaglandin G/H synthase 2-like [Branchiostoma floridae],Branchiostoma floridae,667,667,93%,0.0,55.46,710,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035685091.1?report=genbank&log$=prottop&blast_rank=1&RID=0MWC10EP016"",""XP_035685091.1"")"
PTGS2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,649,649,94%,0.0,54.70,811,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1272830.1?report=genbank&log$=prottop&blast_rank=2&RID=0MWC10EP016"",""CAH1272830.1"")"
LOW QUALITY PROTEIN: prostaglandin G/H synthase 2-like [Branchiostoma floridae],Branchiostoma floridae,637,637,96%,0.0,51.01,652,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035693456.1?report=genbank&log$=prottop&blast_rank=3&RID=0MWC10EP016"",""XP_035693456.1"")"
prostaglandin G/H synthase 2 [Octopus vulgaris],Octopus vulgaris,626,626,94%,0.0,52.19,612,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QHX41555.1?report=genbank&log$=prottop&blast_rank=4&RID=0MWC10EP016"",""QHX41555.1"")"
PREDICTED: prostaglandin G/H synthase 2-like [Octopus bimaculoides],Octopus bimaculoides,625,625,94%,0.0,52.01,612,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014768109.1?report=genbank&log$=prottop&blast_rank=5&RID=0MWC10EP016"",""XP_014768109.1"")"
prostaglandin G/H synthase 2-like [Ciona intestinalis],Ciona intestinalis,580,580,99%,0.0,46.12,623,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002123273.1?report=genbank&log$=prottop&blast_rank=6&RID=0MWC10EP016"",""XP_002123273.1"")"
prostaglandin G/H synthase 2 isoform X1 [Ciona intestinalis],Ciona intestinalis,578,578,96%,0.0,45.97,653,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002127674.1?report=genbank&log$=prottop&blast_rank=7&RID=0MWC10EP016"",""XP_002127674.1"")"
PTGS2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,551,551,76%,0.0,54.09,498,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1263434.1?report=genbank&log$=prottop&blast_rank=8&RID=0MWC10EP016"",""CAH1263434.1"")"
prostaglandin G/H synthase 2 isoform X2 [Ciona intestinalis],Ciona intestinalis,501,501,96%,4e-169,41.85,605,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026689600.1?report=genbank&log$=prottop&blast_rank=9&RID=0MWC10EP016"",""XP_026689600.1"")"
PREDICTED: prostaglandin G/H synthase 2-like [Priapulus caudatus],Priapulus caudatus,441,505,72%,9e-148,53.72,466,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014668726.1?report=genbank&log$=prottop&blast_rank=10&RID=0MWC10EP016"",""XP_014668726.1"")"
PREDICTED: prostaglandin G/H synthase 1-like [Octopus bimaculoides],Octopus bimaculoides,348,348,90%,9e-110,34.18,593,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014768111.1?report=genbank&log$=prottop&blast_rank=11&RID=0MWC10EP016"",""XP_014768111.1"")"
PREDICTED: prostaglandin G/H synthase 2-like [Priapulus caudatus],Priapulus caudatus,308,308,40%,5e-99,58.68,253,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014673630.1?report=genbank&log$=prottop&blast_rank=12&RID=0MWC10EP016"",""XP_014673630.1"")"
