Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
cytosolic phospholipase A2-like [Branchiostoma floridae],Branchiostoma floridae,259,316,75%,2e-72,30.39,767,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035685090.1?report=genbank&log$=prottop&blast_rank=1&RID=0MV6FWJM013"",""XP_035685090.1"")"
PLA2G4A [Branchiostoma lanceolatum],Branchiostoma lanceolatum,254,311,73%,1e-70,30.23,785,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1272832.1?report=genbank&log$=prottop&blast_rank=2&RID=0MV6FWJM013"",""CAH1272832.1"")"
cytosolic phospholipase A2-like [Acropora millepora],Acropora millepora,243,307,75%,1e-66,28.13,745,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029185280.2?report=genbank&log$=prottop&blast_rank=3&RID=0MV6FWJM013"",""XP_029185280.2"")"
PREDICTED: cytosolic phospholipase A2-like [Priapulus caudatus],Priapulus caudatus,232,280,83%,7e-62,28.74,896,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014668727.1?report=genbank&log$=prottop&blast_rank=4&RID=0MV6FWJM013"",""XP_014668727.1"")"
PREDICTED: cytosolic phospholipase A2-like isoform X5 [Priapulus caudatus],Priapulus caudatus,192,353,78%,1e-48,37.76,826,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014670507.1?report=genbank&log$=prottop&blast_rank=5&RID=0MV6FWJM013"",""XP_014670507.1"")"
PREDICTED: cytosolic phospholipase A2-like isoform X3 [Priapulus caudatus],Priapulus caudatus,192,353,78%,1e-48,37.76,829,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014670505.1?report=genbank&log$=prottop&blast_rank=6&RID=0MV6FWJM013"",""XP_014670505.1"")"
PREDICTED: cytosolic phospholipase A2-like isoform X4 [Priapulus caudatus],Priapulus caudatus,188,299,63%,1e-47,37.33,728,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014670506.1?report=genbank&log$=prottop&blast_rank=7&RID=0MV6FWJM013"",""XP_014670506.1"")"
PREDICTED: cytosolic phospholipase A2-like isoform X1 [Priapulus caudatus],Priapulus caudatus,188,349,78%,3e-47,37.33,835,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014670499.1?report=genbank&log$=prottop&blast_rank=8&RID=0MV6FWJM013"",""XP_014670499.1"")"
PREDICTED: cytosolic phospholipase A2-like isoform X2 [Priapulus caudatus],Priapulus caudatus,188,349,79%,3e-47,37.33,832,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014670504.1?report=genbank&log$=prottop&blast_rank=9&RID=0MV6FWJM013"",""XP_014670504.1"")"
hypothetical protein OCBIM_22033016mg [Octopus bimaculoides],Octopus bimaculoides,186,280,55%,1e-46,35.43,803,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF76715.1?report=genbank&log$=prottop&blast_rank=10&RID=0MV6FWJM013"",""KOF76715.1"")"
PREDICTED: cytosolic phospholipase A2-like isoform X2 [Octopus bimaculoides],Octopus bimaculoides,186,339,65%,2e-46,35.43,880,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014780744.1?report=genbank&log$=prottop&blast_rank=11&RID=0MV6FWJM013"",""XP_014780744.1"")"
PREDICTED: cytosolic phospholipase A2-like isoform X1 [Octopus bimaculoides],Octopus bimaculoides,186,339,65%,2e-46,35.43,901,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014780743.1?report=genbank&log$=prottop&blast_rank=12&RID=0MV6FWJM013"",""XP_014780743.1"")"
cytosolic phospholipase A2-like isoform X2 [Acropora millepora],Acropora millepora,166,233,53%,7e-41,31.88,600,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029185675.2?report=genbank&log$=prottop&blast_rank=13&RID=0MV6FWJM013"",""XP_029185675.2"")"
cytosolic phospholipase A2-like isoform X1 [Acropora millepora],Acropora millepora,166,320,78%,3e-40,31.88,779,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029185674.2?report=genbank&log$=prottop&blast_rank=14&RID=0MV6FWJM013"",""XP_029185674.2"")"
cytosolic phospholipase A2 isoform X6 [Ciona intestinalis],Ciona intestinalis,164,335,66%,4e-39,35.18,899,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018669045.1?report=genbank&log$=prottop&blast_rank=15&RID=0MV6FWJM013"",""XP_018669045.1"")"
cytosolic phospholipase A2 isoform X5 [Ciona intestinalis],Ciona intestinalis,164,335,66%,4e-39,35.18,901,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018669044.1?report=genbank&log$=prottop&blast_rank=16&RID=0MV6FWJM013"",""XP_018669044.1"")"
cytosolic phospholipase A2 isoform X4 [Ciona intestinalis],Ciona intestinalis,164,335,66%,5e-39,35.18,916,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002127884.2?report=genbank&log$=prottop&blast_rank=17&RID=0MV6FWJM013"",""XP_002127884.2"")"
cytosolic phospholipase A2 isoform X3 [Ciona intestinalis],Ciona intestinalis,164,335,66%,5e-39,35.18,943,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018669043.1?report=genbank&log$=prottop&blast_rank=18&RID=0MV6FWJM013"",""XP_018669043.1"")"
