Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
GUCY1B3 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,709,709,100%,0.0,67.66,614,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1267968.1?report=genbank&log$=prottop&blast_rank=1&RID=6ZP391SM013"",""CAH1267968.1"")"
guanylate cyclase soluble subunit beta-1-like [Branchiostoma floridae],Branchiostoma floridae,705,705,100%,0.0,67.26,614,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035681741.1?report=genbank&log$=prottop&blast_rank=2&RID=6ZP391SM013"",""XP_035681741.1"")"
guanylate cyclase soluble subunit beta-1-like [Asterias rubens],Asterias rubens,640,640,99%,0.0,61.58,605,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033632257.1?report=genbank&log$=prottop&blast_rank=3&RID=6ZP391SM013"",""XP_033632257.1"")"
guanylate cyclase soluble subunit beta-1 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,609,609,99%,0.0,57.14,604,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_786686.3?report=genbank&log$=prottop&blast_rank=4&RID=6ZP391SM013"",""XP_786686.3"")"
guanylate cyclase soluble subunit beta-1-like isoform X2 [Ciona intestinalis],Ciona intestinalis,607,607,100%,0.0,52.84,693,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026696428.1?report=genbank&log$=prottop&blast_rank=5&RID=6ZP391SM013"",""XP_026696428.1"")"
guanylate cyclase soluble subunit beta-1 [Hydra vulgaris],Hydra vulgaris,438,438,99%,2e-144,44.07,749,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012553640.1?report=genbank&log$=prottop&blast_rank=6&RID=6ZP391SM013"",""XP_012553640.1"")"
guanylate cyclase soluble subunit beta-1-like isoform X1 [Ciona intestinalis],Ciona intestinalis,422,639,98%,2e-138,59.77,706,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002122297.2?report=genbank&log$=prottop&blast_rank=7&RID=6ZP391SM013"",""XP_002122297.2"")"
PREDICTED: LOW QUALITY PROTEIN: guanylate cyclase soluble subunit beta-1-like [Priapulus caudatus],Priapulus caudatus,376,376,52%,7e-126,64.66,328,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014670677.1?report=genbank&log$=prottop&blast_rank=8&RID=6ZP391SM013"",""XP_014670677.1"")"
GUCY1B3 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,389,389,100%,7e-125,37.76,798,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1244445.1?report=genbank&log$=prottop&blast_rank=9&RID=6ZP391SM013"",""CAH1244445.1"")"
guanylate cyclase soluble subunit beta-2 isoform X2 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,387,387,100%,2e-124,39.40,735,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030837424.1?report=genbank&log$=prottop&blast_rank=10&RID=6ZP391SM013"",""XP_030837424.1"")"
guanylate cyclase soluble subunit beta-2-like isoform X2 [Asterias rubens],Asterias rubens,373,373,100%,2e-118,38.73,806,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033638030.1?report=genbank&log$=prottop&blast_rank=11&RID=6ZP391SM013"",""XP_033638030.1"")"
guanylate cyclase soluble subunit beta-2 isoform X1 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,365,365,100%,5e-116,37.88,755,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030837423.1?report=genbank&log$=prottop&blast_rank=12&RID=6ZP391SM013"",""XP_030837423.1"")"
guanylate cyclase soluble subunit beta-1-like [Branchiostoma floridae],Branchiostoma floridae,357,357,99%,1e-113,36.66,674,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035681658.1?report=genbank&log$=prottop&blast_rank=13&RID=6ZP391SM013"",""XP_035681658.1"")"
GUCY1A2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,356,356,99%,2e-112,37.36,751,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1267965.1?report=genbank&log$=prottop&blast_rank=14&RID=6ZP391SM013"",""CAH1267965.1"")"
PREDICTED: guanylate cyclase soluble subunit beta-1-like [Priapulus caudatus],Priapulus caudatus,345,345,95%,2e-110,37.90,549,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014678463.1?report=genbank&log$=prottop&blast_rank=15&RID=6ZP391SM013"",""XP_014678463.1"")"
guanylate cyclase soluble subunit alpha-2-like isoform X2 [Branchiostoma floridae],Branchiostoma floridae,346,346,99%,7e-108,38.51,816,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035681740.1?report=genbank&log$=prottop&blast_rank=16&RID=6ZP391SM013"",""XP_035681740.1"")"
GUCY1A2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,345,345,99%,1e-107,38.63,820,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1267967.1?report=genbank&log$=prottop&blast_rank=17&RID=6ZP391SM013"",""CAH1267967.1"")"
GUCY1A2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,345,345,99%,7e-107,38.63,911,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1267966.1?report=genbank&log$=prottop&blast_rank=18&RID=6ZP391SM013"",""CAH1267966.1"")"
guanylate cyclase soluble subunit alpha-2-like isoform X1 [Branchiostoma floridae],Branchiostoma floridae,345,345,99%,8e-107,38.51,911,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035681739.1?report=genbank&log$=prottop&blast_rank=19&RID=6ZP391SM013"",""XP_035681739.1"")"
guanylate cyclase soluble subunit beta-2-like [Asterias rubens],Asterias rubens,342,342,100%,2e-106,37.25,798,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033641505.1?report=genbank&log$=prottop&blast_rank=20&RID=6ZP391SM013"",""XP_033641505.1"")"
soluble guanylate cyclase 88E-like isoform X5 [Asterias rubens],Asterias rubens,342,342,99%,2e-106,37.59,824,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033645722.1?report=genbank&log$=prottop&blast_rank=21&RID=6ZP391SM013"",""XP_033645722.1"")"
guanylate cyclase soluble subunit beta-2-like [Branchiostoma floridae],Branchiostoma floridae,337,337,99%,4e-106,37.06,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035692500.1?report=genbank&log$=prottop&blast_rank=22&RID=6ZP391SM013"",""XP_035692500.1"")"
soluble guanylate cyclase 88E-like isoform X4 [Asterias rubens],Asterias rubens,338,338,99%,1e-104,36.65,836,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033645721.1?report=genbank&log$=prottop&blast_rank=23&RID=6ZP391SM013"",""XP_033645721.1"")"
soluble guanylate cyclase 88E-like isoform X2 [Asterias rubens],Asterias rubens,337,337,99%,5e-104,36.56,850,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033645719.1?report=genbank&log$=prottop&blast_rank=24&RID=6ZP391SM013"",""XP_033645719.1"")"
PREDICTED: guanylate cyclase soluble subunit beta-2-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,334,334,99%,8e-104,37.29,786,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002737042.1?report=genbank&log$=prottop&blast_rank=25&RID=6ZP391SM013"",""XP_002737042.1"")"
SLC25A14 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,333,333,99%,2e-101,35.94,1010,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1244847.1?report=genbank&log$=prottop&blast_rank=26&RID=6ZP391SM013"",""CAH1244847.1"")"
LOW QUALITY PROTEIN: soluble guanylate cyclase 88E-like [Acropora millepora],Acropora millepora,327,327,99%,3e-101,37.62,770,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029199792.2?report=genbank&log$=prottop&blast_rank=27&RID=6ZP391SM013"",""XP_029199792.2"")"
guanylate cyclase soluble subunit alpha-2-like [Asterias rubens],Asterias rubens,324,324,99%,8e-101,36.82,694,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033632418.1?report=genbank&log$=prottop&blast_rank=28&RID=6ZP391SM013"",""XP_033632418.1"")"
guanylate cyclase soluble subunit alpha-2-like [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,322,322,99%,1e-100,36.96,634,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030836089.1?report=genbank&log$=prottop&blast_rank=29&RID=6ZP391SM013"",""XP_030836089.1"")"
Soluble guanylate cyclase gcy-35 [Caenorhabditis elegans],Caenorhabditis elegans,323,323,99%,2e-100,36.52,688,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001252131.1?report=genbank&log$=prottop&blast_rank=30&RID=6ZP391SM013"",""NP_001252131.1"")"
Soluble guanylate cyclase gcy-36 [Caenorhabditis elegans],Caenorhabditis elegans,311,311,99%,3e-96,34.64,675,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_510557.3?report=genbank&log$=prottop&blast_rank=31&RID=6ZP391SM013"",""NP_510557.3"")"
guanylate cyclase soluble subunit beta-2-like [Branchiostoma floridae],Branchiostoma floridae,306,306,74%,2e-95,42.13,540,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035694144.1?report=genbank&log$=prottop&blast_rank=32&RID=6ZP391SM013"",""XP_035694144.1"")"
PREDICTED: guanylate cyclase soluble subunit beta-2-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,303,303,71%,1e-94,43.21,529,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006824413.1?report=genbank&log$=prottop&blast_rank=33&RID=6ZP391SM013"",""XP_006824413.1"")"
soluble guanylate cyclase [Caenorhabditis elegans],Caenorhabditis elegans,296,296,100%,4e-90,34.38,684,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAC35530.1?report=genbank&log$=prottop&blast_rank=34&RID=6ZP391SM013"",""CAC35530.1"")"
Soluble guanylate cyclase gcy-32 [Caenorhabditis elegans],Caenorhabditis elegans,296,296,100%,4e-90,34.25,684,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_506452.5?report=genbank&log$=prottop&blast_rank=35&RID=6ZP391SM013"",""NP_506452.5"")"
Soluble guanylate cyclase gcy-34 [Caenorhabditis elegans],Caenorhabditis elegans,292,292,99%,2e-88,34.25,686,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_506319.1?report=genbank&log$=prottop&blast_rank=36&RID=6ZP391SM013"",""NP_506319.1"")"
guanylate cyclase soluble subunit beta-2-like isoform X3 [Asterias rubens],Asterias rubens,291,291,71%,2e-88,43.49,670,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033638031.1?report=genbank&log$=prottop&blast_rank=37&RID=6ZP391SM013"",""XP_033638031.1"")"
guanylate cyclase soluble subunit beta-2-like isoform X1 [Asterias rubens],Asterias rubens,290,402,94%,1e-86,43.49,830,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033638028.1?report=genbank&log$=prottop&blast_rank=38&RID=6ZP391SM013"",""XP_033638028.1"")"
PREDICTED: guanylate cyclase soluble subunit beta-2-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,283,283,100%,2e-86,31.58,578,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006822272.1?report=genbank&log$=prottop&blast_rank=39&RID=6ZP391SM013"",""XP_006822272.1"")"
PREDICTED: soluble guanylate cyclase 88E-like [Priapulus caudatus],Priapulus caudatus,275,275,99%,2e-82,33.40,626,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014663659.1?report=genbank&log$=prottop&blast_rank=40&RID=6ZP391SM013"",""XP_014663659.1"")"
PREDICTED: guanylate cyclase soluble subunit beta-1-like [Amphimedon queenslandica],Amphimedon queenslandica,281,382,95%,2e-82,41.58,910,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011407966.2?report=genbank&log$=prottop&blast_rank=41&RID=6ZP391SM013"",""XP_011407966.2"")"
uncharacterized protein LOC100197914 [Hydra vulgaris],Hydra vulgaris,278,278,99%,2e-79,34.05,1651,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012563239.2?report=genbank&log$=prottop&blast_rank=42&RID=6ZP391SM013"",""XP_012563239.2"")"
PREDICTED: soluble guanylate cyclase 88E-like [Amphimedon queenslandica],Amphimedon queenslandica,271,271,99%,3e-79,33.73,877,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003387397.1?report=genbank&log$=prottop&blast_rank=43&RID=6ZP391SM013"",""XP_003387397.1"")"
soluble guanylate cyclase [Salpingoeca rosetta],Salpingoeca rosetta,268,268,97%,1e-77,33.90,953,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004988344.1?report=genbank&log$=prottop&blast_rank=44&RID=6ZP391SM013"",""XP_004988344.1"")"
Guanylate cyclase [Caenorhabditis elegans],Caenorhabditis elegans,262,262,99%,2e-77,34.23,665,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001317860.1?report=genbank&log$=prottop&blast_rank=45&RID=6ZP391SM013"",""NP_001317860.1"")"
Soluble guanylate cyclase gcy-31 [Caenorhabditis elegans],Caenorhabditis elegans,263,263,99%,2e-77,34.23,702,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001024889.1?report=genbank&log$=prottop&blast_rank=46&RID=6ZP391SM013"",""NP_001024889.1"")"
guanylyl cyclase a-subunit [Salpingoeca rosetta],Salpingoeca rosetta,263,263,98%,2e-76,31.55,801,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004997522.1?report=genbank&log$=prottop&blast_rank=47&RID=6ZP391SM013"",""XP_004997522.1"")"
soluble guanylate cyclase 88E-like [Branchiostoma floridae],Branchiostoma floridae,259,259,99%,4e-76,31.29,670,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035682203.1?report=genbank&log$=prottop&blast_rank=48&RID=6ZP391SM013"",""XP_035682203.1"")"
guanylate cyclase soluble subunit beta-2-like [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,257,345,94%,1e-75,40.55,645,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030834771.1?report=genbank&log$=prottop&blast_rank=49&RID=6ZP391SM013"",""XP_030834771.1"")"
guanylate cyclase soluble subunit beta-2-like [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,259,347,94%,2e-75,40.82,764,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030852589.1?report=genbank&log$=prottop&blast_rank=50&RID=6ZP391SM013"",""XP_030852589.1"")"
guanylate cyclase soluble subunit beta-2-like [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,253,253,72%,1e-74,40.27,570,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030834764.1?report=genbank&log$=prottop&blast_rank=51&RID=6ZP391SM013"",""XP_030834764.1"")"
guanylate cyclase soluble subunit beta-2-like [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,256,344,94%,2e-74,40.55,765,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030834778.1?report=genbank&log$=prottop&blast_rank=52&RID=6ZP391SM013"",""XP_030834778.1"")"
LOW QUALITY PROTEIN: soluble guanylate cyclase 88E-like [Acropora millepora],Acropora millepora,251,251,99%,2e-73,31.13,627,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029181790.2?report=genbank&log$=prottop&blast_rank=53&RID=6ZP391SM013"",""XP_029181790.2"")"
guanylate cyclase soluble subunit alpha-2 isoform X1 [Ciona intestinalis],Ciona intestinalis,246,246,72%,1e-72,36.55,536,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026691493.1?report=genbank&log$=prottop&blast_rank=54&RID=6ZP391SM013"",""XP_026691493.1"")"
guanylate cyclase soluble subunit alpha-2 isoform X2 [Ciona intestinalis],Ciona intestinalis,245,245,72%,2e-72,37.70,518,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026691494.1?report=genbank&log$=prottop&blast_rank=55&RID=6ZP391SM013"",""XP_026691494.1"")"
soluble guanylate cyclase 88E-like [Acropora millepora],Acropora millepora,246,246,99%,4e-71,30.50,687,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029180681.2?report=genbank&log$=prottop&blast_rank=56&RID=6ZP391SM013"",""XP_029180681.2"")"
Soluble guanylate cyclase gcy-37 [Caenorhabditis elegans],Caenorhabditis elegans,246,246,99%,5e-71,29.62,708,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_500171.2?report=genbank&log$=prottop&blast_rank=57&RID=6ZP391SM013"",""NP_500171.2"")"
soluble guanylate cyclase 88E-like [Ciona intestinalis],Ciona intestinalis,246,246,98%,3e-70,32.63,848,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026694132.1?report=genbank&log$=prottop&blast_rank=58&RID=6ZP391SM013"",""XP_026694132.1"")"
NO-insensitive guanylyl cyclase III [Salpingoeca rosetta],Salpingoeca rosetta,244,244,99%,3e-70,30.59,709,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004993125.1?report=genbank&log$=prottop&blast_rank=59&RID=6ZP391SM013"",""XP_004993125.1"")"
GUCY1B3 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,241,241,99%,2e-69,28.91,696,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1266943.1?report=genbank&log$=prottop&blast_rank=60&RID=6ZP391SM013"",""CAH1266943.1"")"
uncharacterized protein MONBRDRAFT_37136 [Monosiga brevicollis MX1],Monosiga brevicollis MX1,243,243,96%,1e-68,30.81,938,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_001745999.1?report=genbank&log$=prottop&blast_rank=61&RID=6ZP391SM013"",""XP_001745999.1"")"
NO-insensitive guanylyl cyclase III [Salpingoeca rosetta],Salpingoeca rosetta,238,238,98%,5e-68,29.37,697,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004989181.1?report=genbank&log$=prottop&blast_rank=62&RID=6ZP391SM013"",""XP_004989181.1"")"
soluble guanylate cyclase 88E-like [Ciona intestinalis],Ciona intestinalis,236,236,98%,1e-67,31.59,676,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_009858122.1?report=genbank&log$=prottop&blast_rank=63&RID=6ZP391SM013"",""XP_009858122.1"")"
soluble guanylate cyclase 88E-like isoform X3 [Branchiostoma floridae],Branchiostoma floridae,235,357,98%,2e-66,42.76,787,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035673438.1?report=genbank&log$=prottop&blast_rank=64&RID=6ZP391SM013"",""XP_035673438.1"")"
soluble guanylate cyclase 88E [Ciona intestinalis],Ciona intestinalis,231,231,99%,6e-65,31.69,779,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018668823.1?report=genbank&log$=prottop&blast_rank=65&RID=6ZP391SM013"",""XP_018668823.1"")"
soluble guanylate cyclase 88E-like isoform X6 [Asterias rubens],Asterias rubens,229,364,98%,7e-65,42.14,708,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033645723.1?report=genbank&log$=prottop&blast_rank=66&RID=6ZP391SM013"",""XP_033645723.1"")"
GUCY1B3 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,227,227,56%,2e-64,41.52,626,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1258421.1?report=genbank&log$=prottop&blast_rank=67&RID=6ZP391SM013"",""CAH1258421.1"")"
GUCY1B3 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,226,226,56%,2e-64,41.52,620,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1258422.1?report=genbank&log$=prottop&blast_rank=68&RID=6ZP391SM013"",""CAH1258422.1"")"
soluble guanylate cyclase 88E-like isoform X3 [Asterias rubens],Asterias rubens,229,363,98%,1e-63,42.14,847,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033645720.1?report=genbank&log$=prottop&blast_rank=69&RID=6ZP391SM013"",""XP_033645720.1"")"
soluble guanylate cyclase 88E-like isoform X1 [Asterias rubens],Asterias rubens,229,363,98%,1e-63,42.14,862,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033645717.1?report=genbank&log$=prottop&blast_rank=70&RID=6ZP391SM013"",""XP_033645717.1"")"
soluble guanylate cyclase 88E-like isoform X2 [Branchiostoma floridae],Branchiostoma floridae,228,350,98%,2e-63,39.80,804,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035673437.1?report=genbank&log$=prottop&blast_rank=71&RID=6ZP391SM013"",""XP_035673437.1"")"
soluble guanylate cyclase 88E isoform X2 [Ciona intestinalis],Ciona intestinalis,227,227,98%,2e-63,32.89,806,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018668041.1?report=genbank&log$=prottop&blast_rank=72&RID=6ZP391SM013"",""XP_018668041.1"")"
soluble guanylate cyclase 88E-like isoform X1 [Branchiostoma floridae],Branchiostoma floridae,227,349,98%,2e-63,39.80,808,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035673436.1?report=genbank&log$=prottop&blast_rank=73&RID=6ZP391SM013"",""XP_035673436.1"")"
GUCY1B3 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,227,348,98%,3e-63,39.47,833,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1257257.1?report=genbank&log$=prottop&blast_rank=74&RID=6ZP391SM013"",""CAH1257257.1"")"
GUCY1B3 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,227,344,98%,3e-63,39.80,847,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1257256.1?report=genbank&log$=prottop&blast_rank=75&RID=6ZP391SM013"",""CAH1257256.1"")"
GUCY1B3 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,227,322,98%,5e-63,41.52,852,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1258420.1?report=genbank&log$=prottop&blast_rank=76&RID=6ZP391SM013"",""CAH1258420.1"")"
soluble guanylate cyclase 88E isoform X1 [Ciona intestinalis],Ciona intestinalis,225,225,98%,1e-62,32.40,820,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026691019.1?report=genbank&log$=prottop&blast_rank=77&RID=6ZP391SM013"",""XP_026691019.1"")"
GUCY1B3 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,223,339,97%,2e-62,43.54,728,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1256866.1?report=genbank&log$=prottop&blast_rank=78&RID=6ZP391SM013"",""CAH1256866.1"")"
GUCY1B3 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,223,339,97%,2e-62,43.54,740,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1256864.1?report=genbank&log$=prottop&blast_rank=79&RID=6ZP391SM013"",""CAH1256864.1"")"
GUCY1B3 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,223,338,97%,3e-62,43.54,765,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1256860.1?report=genbank&log$=prottop&blast_rank=80&RID=6ZP391SM013"",""CAH1256860.1"")"
GUCY1B3 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,225,338,95%,3e-62,45.19,882,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1258114.1?report=genbank&log$=prottop&blast_rank=81&RID=6ZP391SM013"",""CAH1258114.1"")"
soluble guanylate cyclase 88E [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,220,220,53%,5e-62,44.53,615,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030845137.1?report=genbank&log$=prottop&blast_rank=82&RID=6ZP391SM013"",""XP_030845137.1"")"
GUCY1B3 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,223,338,97%,5e-62,43.54,777,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1256859.1?report=genbank&log$=prottop&blast_rank=83&RID=6ZP391SM013"",""CAH1256859.1"")"
soluble guanylate cyclase gcy-31-like [Branchiostoma floridae],Branchiostoma floridae,224,337,95%,5e-62,45.19,883,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035671910.1?report=genbank&log$=prottop&blast_rank=84&RID=6ZP391SM013"",""XP_035671910.1"")"
uncharacterized protein MONBRDRAFT_33782 [Monosiga brevicollis MX1],Monosiga brevicollis MX1,222,222,99%,7e-62,29.59,742,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_001748626.1?report=genbank&log$=prottop&blast_rank=85&RID=6ZP391SM013"",""XP_001748626.1"")"
soluble guanylate cyclase 88E-like isoform X3 [Branchiostoma floridae],Branchiostoma floridae,221,336,97%,2e-61,43.17,772,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035673582.1?report=genbank&log$=prottop&blast_rank=86&RID=6ZP391SM013"",""XP_035673582.1"")"
soluble guanylate cyclase 88E-like isoform X5 [Branchiostoma floridae],Branchiostoma floridae,218,332,97%,4e-60,41.73,745,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035673584.1?report=genbank&log$=prottop&blast_rank=87&RID=6ZP391SM013"",""XP_035673584.1"")"
soluble guanylate cyclase 88E-like isoform X4 [Branchiostoma floridae],Branchiostoma floridae,218,332,99%,5e-60,41.73,767,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035673583.1?report=genbank&log$=prottop&blast_rank=88&RID=6ZP391SM013"",""XP_035673583.1"")"
soluble guanylate cyclase 88E-like isoform X1 [Branchiostoma floridae],Branchiostoma floridae,217,331,97%,7e-60,41.73,779,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035673579.1?report=genbank&log$=prottop&blast_rank=89&RID=6ZP391SM013"",""XP_035673579.1"")"
