Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
guanine nucleotide-binding protein G(s) subunit alpha-like [Acropora millepora],Acropora millepora,613,613,36%,0.0,74.80,376,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029204512.2?report=genbank&log$=prottop&blast_rank=1&RID=0CN5P4UN013"",""XP_029204512.2"")"
PREDICTED: guanine nucleotide-binding protein G(s) subunit alpha-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,608,608,36%,0.0,73.96,379,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002734471.1?report=genbank&log$=prottop&blast_rank=2&RID=0CN5P4UN013"",""XP_002734471.1"")"
guanine nucleotide-binding protein G(s) subunit alpha-like [Branchiostoma floridae],Branchiostoma floridae,597,597,38%,0.0,72.15,382,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035679491.1?report=genbank&log$=prottop&blast_rank=3&RID=0CN5P4UN013"",""XP_035679491.1"")"
GNAS [Branchiostoma lanceolatum],Branchiostoma lanceolatum,593,593,38%,0.0,71.65,382,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1268782.1?report=genbank&log$=prottop&blast_rank=4&RID=0CN5P4UN013"",""CAH1268782.1"")"
G protein alpha subunit s class [Octopus vulgaris],Octopus vulgaris,583,583,36%,0.0,71.50,377,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAA93639.1?report=genbank&log$=prottop&blast_rank=5&RID=0CN5P4UN013"",""BAA93639.1"")"
guanine nucleotide-binding protein G(s) alpha subunit [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,575,575,35%,0.0,72.39,379,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001001474.1?report=genbank&log$=prottop&blast_rank=6&RID=0CN5P4UN013"",""NP_001001474.1"")"
PREDICTED: guanine nucleotide-binding protein G(s) subunit alpha-like [Priapulus caudatus],Priapulus caudatus,572,572,36%,0.0,70.26,379,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014664667.1?report=genbank&log$=prottop&blast_rank=7&RID=0CN5P4UN013"",""XP_014664667.1"")"
PREDICTED: guanine nucleotide-binding protein G(s) subunit alpha-like [Priapulus caudatus],Priapulus caudatus,570,570,37%,0.0,67.87,384,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014665617.1?report=genbank&log$=prottop&blast_rank=8&RID=0CN5P4UN013"",""XP_014665617.1"")"
heterotrimeric G protein alpha subunit [Caenorhabditis elegans],Caenorhabditis elegans,537,537,36%,0.0,65.18,375,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAG32094.1?report=genbank&log$=prottop&blast_rank=9&RID=0CN5P4UN013"",""AAG32094.1"")"
"G protein, Subunit Alpha [Caenorhabditis elegans]",Caenorhabditis elegans,537,537,36%,0.0,65.18,378,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001367988.1?report=genbank&log$=prottop&blast_rank=10&RID=0CN5P4UN013"",""NP_001367988.1"")"
PREDICTED: guanine nucleotide-binding protein G(s) subunit alpha-like [Octopus bimaculoides],Octopus bimaculoides,531,531,32%,1e-179,72.32,321,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014770345.1?report=genbank&log$=prottop&blast_rank=11&RID=0CN5P4UN013"",""XP_014770345.1"")"
guanine nucleotide-binding protein G(s) subunit alpha-like [Ciona intestinalis],Ciona intestinalis,523,523,36%,3e-175,65.08,381,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002124602.2?report=genbank&log$=prottop&blast_rank=12&RID=0CN5P4UN013"",""XP_002124602.2"")"
G protein a subunit 1 [Hydra vulgaris],Hydra vulgaris,495,495,32%,1e-165,70.03,321,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAA81693.1?report=genbank&log$=prottop&blast_rank=13&RID=0CN5P4UN013"",""BAA81693.1"")"
PREDICTED: guanine nucleotide-binding protein G(s) subunit alpha-like [Amphimedon queenslandica],Amphimedon queenslandica,486,486,36%,3e-161,59.64,386,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003382513.1?report=genbank&log$=prottop&blast_rank=14&RID=0CN5P4UN013"",""XP_003382513.1"")"
PREDICTED: guanine nucleotide-binding protein G(s) subunit alpha [Hydra vulgaris],Hydra vulgaris,479,479,27%,1e-159,74.91,287,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002154528.3?report=genbank&log$=prottop&blast_rank=15&RID=0CN5P4UN013"",""XP_002154528.3"")"
"G protein, Subunit Alpha [Caenorhabditis elegans]",Caenorhabditis elegans,458,458,27%,9e-152,71.23,285,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001368357.1?report=genbank&log$=prottop&blast_rank=16&RID=0CN5P4UN013"",""NP_001368357.1"")"
PREDICTED: guanine nucleotide-binding protein G(s) subunit alpha-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,408,408,37%,3e-130,48.37,428,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006819306.1?report=genbank&log$=prottop&blast_rank=17&RID=0CN5P4UN013"",""XP_006819306.1"")"
hypothetical protein OCBIM_22008570mg [Octopus bimaculoides],Octopus bimaculoides,392,392,20%,1e-124,82.46,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF91516.1?report=genbank&log$=prottop&blast_rank=18&RID=0CN5P4UN013"",""KOF91516.1"")"
guanine nucleotide-binding protein G(s) subunit alpha-like [Asterias rubens],Asterias rubens,369,369,35%,9e-116,47.65,403,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033642587.1?report=genbank&log$=prottop&blast_rank=19&RID=0CN5P4UN013"",""XP_033642587.1"")"
guanine nucleotide-binding protein G(s) subunit alpha [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,363,363,36%,4e-113,46.34,430,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030842619.1?report=genbank&log$=prottop&blast_rank=20&RID=0CN5P4UN013"",""XP_030842619.1"")"
guanine nucleotide-binding protein G(s) subunit alpha-like [Asterias rubens],Asterias rubens,333,333,16%,2e-105,86.78,174,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033626084.1?report=genbank&log$=prottop&blast_rank=21&RID=0CN5P4UN013"",""XP_033626084.1"")"
guanine nucleotide-binding protein G(s) subunit alpha-like [Branchiostoma floridae],Branchiostoma floridae,317,317,26%,5e-98,59.41,270,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035675996.1?report=genbank&log$=prottop&blast_rank=22&RID=0CN5P4UN013"",""XP_035675996.1"")"
guanine nucleotide-binding protein G(o) subunit alpha [Salpingoeca rosetta],Salpingoeca rosetta,275,275,36%,3e-81,41.69,359,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004991325.1?report=genbank&log$=prottop&blast_rank=23&RID=0CN5P4UN013"",""XP_004991325.1"")"
PREDICTED: guanine nucleotide-binding protein G(o) subunit alpha isoform X1 [Octopus bimaculoides],Octopus bimaculoides,274,274,36%,7e-81,42.52,358,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014788266.1?report=genbank&log$=prottop&blast_rank=24&RID=0CN5P4UN013"",""XP_014788266.1"")"
