Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
PREDICTED: 5'-AMP-activated protein kinase subunit beta-2-like isoform X3 [Octopus bimaculoides],Octopus bimaculoides,276,276,100%,6e-91,54.29,266,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014774819.1?report=genbank&log$=prottop&blast_rank=1&RID=081U9JTH016"",""XP_014774819.1"")"
5'-AMP-activated protein kinase subunit beta-2-like isoform X1 [Branchiostoma floridae],Branchiostoma floridae,276,276,94%,8e-91,54.87,279,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035671463.1?report=genbank&log$=prottop&blast_rank=2&RID=081U9JTH016"",""XP_035671463.1"")"
5'-AMP-activated protein kinase subunit beta-2-like isoform X2 [Branchiostoma floridae],Branchiostoma floridae,276,276,94%,9e-91,55.07,278,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035671484.1?report=genbank&log$=prottop&blast_rank=3&RID=081U9JTH016"",""XP_035671484.1"")"
5'-AMP-activated protein kinase subunit beta-2-like [Asterias rubens],Asterias rubens,271,271,71%,9e-89,65.13,269,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033627084.1?report=genbank&log$=prottop&blast_rank=4&RID=081U9JTH016"",""XP_033627084.1"")"
5'-AMP-activated protein kinase subunit beta-1-like isoform X2 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,271,271,72%,1e-88,63.96,275,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030854808.1?report=genbank&log$=prottop&blast_rank=5&RID=081U9JTH016"",""XP_030854808.1"")"
PREDICTED: 5'-AMP-activated protein kinase subunit beta-2-like isoform X1 [Octopus bimaculoides],Octopus bimaculoides,266,266,100%,1e-86,51.35,282,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014774817.1?report=genbank&log$=prottop&blast_rank=6&RID=081U9JTH016"",""XP_014774817.1"")"
5'-AMP-activated protein kinase subunit beta-1 isoform X1 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,265,265,72%,4e-86,61.65,284,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003729299.1?report=genbank&log$=prottop&blast_rank=7&RID=081U9JTH016"",""XP_003729299.1"")"
PREDICTED: 5'-AMP-activated protein kinase subunit beta-2-like isoform X4 [Octopus bimaculoides],Octopus bimaculoides,263,263,100%,5e-86,53.21,258,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014774820.1?report=genbank&log$=prottop&blast_rank=8&RID=081U9JTH016"",""XP_014774820.1"")"
PREDICTED: 5'-AMP-activated protein kinase subunit beta-2-like isoform X2 [Octopus bimaculoides],Octopus bimaculoides,253,253,100%,7e-82,50.34,274,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014774818.1?report=genbank&log$=prottop&blast_rank=9&RID=081U9JTH016"",""XP_014774818.1"")"
5'-AMP-activated protein kinase subunit beta-1 [Ciona intestinalis],Ciona intestinalis,235,235,71%,8e-75,59.18,257,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002129192.1?report=genbank&log$=prottop&blast_rank=10&RID=081U9JTH016"",""XP_002129192.1"")"
