Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
MAP2K1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,585,585,99%,0.0,71.19,463,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1254160.1?report=genbank&log$=prottop&blast_rank=1&RID=0MSE14P0013"",""CAH1254160.1"")"
MAP2K1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,582,582,93%,0.0,75.39,417,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1254161.1?report=genbank&log$=prottop&blast_rank=2&RID=0MSE14P0013"",""CAH1254161.1"")"
PREDICTED: dual specificity mitogen-activated protein kinase kinase 1-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,566,566,97%,0.0,71.79,416,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006815199.1?report=genbank&log$=prottop&blast_rank=3&RID=0MSE14P0013"",""XP_006815199.1"")"
LOW QUALITY PROTEIN: dual specificity mitogen-activated protein kinase kinase 1-like [Branchiostoma floridae],Branchiostoma floridae,549,549,88%,0.0,75.62,361,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035665490.1?report=genbank&log$=prottop&blast_rank=4&RID=0MSE14P0013"",""XP_035665490.1"")"
PREDICTED: dual specificity mitogen-activated protein kinase kinase 1-like [Priapulus caudatus],Priapulus caudatus,546,546,95%,0.0,69.01,395,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014672551.1?report=genbank&log$=prottop&blast_rank=5&RID=0MSE14P0013"",""XP_014672551.1"")"
dual specificity mitogen-activated protein kinase kinase 1-like [Asterias rubens],Asterias rubens,540,540,97%,0.0,68.11,402,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033634889.1?report=genbank&log$=prottop&blast_rank=6&RID=0MSE14P0013"",""XP_033634889.1"")"
dual specificity mitogen-activated protein kinase kinase 1-like [Acropora millepora],Acropora millepora,530,530,89%,0.0,72.73,387,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_044163145.1?report=genbank&log$=prottop&blast_rank=7&RID=0MSE14P0013"",""XP_044163145.1"")"
dual specificity mitogen-activated protein kinase kinase 1 isoform X1 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,519,519,95%,0.0,66.75,425,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_781505.3?report=genbank&log$=prottop&blast_rank=8&RID=0MSE14P0013"",""XP_781505.3"")"
PREDICTED: dual specificity mitogen-activated protein kinase kinase 1-like isoform X1 [Octopus bimaculoides],Octopus bimaculoides,517,517,96%,0.0,65.64,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014786474.1?report=genbank&log$=prottop&blast_rank=9&RID=0MSE14P0013"",""XP_014786474.1"")"
dual specificity mitogen-activated protein kinase kinase 1 isoform X2 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,516,516,95%,0.0,67.11,412,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011677450.1?report=genbank&log$=prottop&blast_rank=10&RID=0MSE14P0013"",""XP_011677450.1"")"
PREDICTED: dual specificity mitogen-activated protein kinase kinase 1-like isoform X2 [Octopus bimaculoides],Octopus bimaculoides,511,511,90%,7e-180,68.42,368,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014786475.1?report=genbank&log$=prottop&blast_rank=11&RID=0MSE14P0013"",""XP_014786475.1"")"
mitogen-activated protein kinase kinase [Ciona intestinalis],Ciona intestinalis,469,469,98%,2e-163,61.38,377,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001071954.1?report=genbank&log$=prottop&blast_rank=12&RID=0MSE14P0013"",""NP_001071954.1"")"
Dual specificity mitogen-activated protein kinase kinase mek-2 [Caenorhabditis elegans],Caenorhabditis elegans,396,396,88%,2e-134,55.65,387,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_491087.1?report=genbank&log$=prottop&blast_rank=13&RID=0MSE14P0013"",""NP_491087.1"")"
