Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
G protein-activated inward rectifier potassium channel 1 [Gallus gallus],Gallus gallus,952,952,100%,0.0,91.42,492,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_990735.2?report=genbank&log$=prottop&blast_rank=1&RID=0ZC5BA4801R"",""NP_990735.2"")"
"RecName: Full=G protein-activated inward rectifier potassium channel 1; Short=GIRK-1; AltName: Full=Inward rectifier K(+) channel Kir3.1; AltName: Full=Potassium channel, inwardly rectifying subfamily J member 3 [Gallus gallus]",Gallus gallus,949,949,100%,0.0,91.02,492,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q90854.1?report=genbank&log$=prottop&blast_rank=2&RID=0ZC5BA4801R"",""Q90854.1"")"
G protein-activated inward rectifier potassium channel 1 [Xenopus tropicalis],Xenopus tropicalis,946,946,100%,0.0,90.82,489,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002936698.1?report=genbank&log$=prottop&blast_rank=3&RID=0ZC5BA4801R"",""XP_002936698.1"")"
G protein-activated inward rectifier potassium channel 1 isoform X1 [Carcharodon carcharias],Carcharodon carcharias,917,917,100%,0.0,87.94,493,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041057223.1?report=genbank&log$=prottop&blast_rank=4&RID=0ZC5BA4801R"",""XP_041057223.1"")"
G protein-activated inward rectifier potassium channel 1 [Danio rerio],Danio rerio,863,863,100%,0.0,83.10,490,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002663356.2?report=genbank&log$=prottop&blast_rank=5&RID=0ZC5BA4801R"",""XP_002663356.2"")"
G protein-activated inward rectifier potassium channel 1 [Danio rerio],Danio rerio,811,811,100%,0.0,75.96,539,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_005165913.1?report=genbank&log$=prottop&blast_rank=6&RID=0ZC5BA4801R"",""XP_005165913.1"")"
G protein-activated inward rectifier potassium channel 1-like [Carcharodon carcharias],Carcharodon carcharias,759,759,100%,0.0,72.98,495,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041029426.1?report=genbank&log$=prottop&blast_rank=7&RID=0ZC5BA4801R"",""XP_041029426.1"")"
G protein-activated inward rectifier potassium channel 1 [Petromyzon marinus],Petromyzon marinus,758,758,99%,0.0,71.81,514,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032801947.1?report=genbank&log$=prottop&blast_rank=8&RID=0ZC5BA4801R"",""XP_032801947.1"")"
G protein-activated inward rectifier potassium channel 1 [Danio rerio],Danio rerio,736,736,99%,0.0,71.48,504,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_698251.1?report=genbank&log$=prottop&blast_rank=9&RID=0ZC5BA4801R"",""XP_698251.1"")"
G protein-activated inward rectifier potassium channel 1 [Danio rerio],Danio rerio,710,710,99%,0.0,68.79,505,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_001340328.2?report=genbank&log$=prottop&blast_rank=10&RID=0ZC5BA4801R"",""XP_001340328.2"")"
G protein-activated inward rectifier potassium channel 1 [Gallus gallus],Gallus gallus,679,679,91%,0.0,72.08,447,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_040547854.1?report=genbank&log$=prottop&blast_rank=11&RID=0ZC5BA4801R"",""XP_040547854.1"")"
