Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
voltage-dependent L-type calcium channel subunit alpha-1D isoform X1 [Ciona intestinalis],Ciona intestinalis,2123,2123,97%,0.0,52.94,2268,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026689962.1?report=genbank&log$=prottop&blast_rank=1&RID=04XUWY88016"",""XP_026689962.1"")"
voltage-dependent L-type calcium channel subunit alpha-1D isoform X5 [Ciona intestinalis],Ciona intestinalis,2120,2120,96%,0.0,53.12,2117,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018667169.1?report=genbank&log$=prottop&blast_rank=2&RID=04XUWY88016"",""XP_018667169.1"")"
voltage-dependent L-type calcium channel subunit alpha-1D isoform X2 [Ciona intestinalis],Ciona intestinalis,2106,2106,97%,0.0,52.71,2266,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026689963.1?report=genbank&log$=prottop&blast_rank=3&RID=04XUWY88016"",""XP_026689963.1"")"
voltage-dependent L-type calcium channel subunit alpha-1D isoform X3 [Ciona intestinalis],Ciona intestinalis,2095,2095,97%,0.0,52.53,2259,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026689964.1?report=genbank&log$=prottop&blast_rank=4&RID=04XUWY88016"",""XP_026689964.1"")"
voltage-dependent L-type calcium channel subunit alpha-1D isoform X4 [Ciona intestinalis],Ciona intestinalis,2044,2044,97%,0.0,51.62,2239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026689965.1?report=genbank&log$=prottop&blast_rank=5&RID=04XUWY88016"",""XP_026689965.1"")"
PREDICTED: LOW QUALITY PROTEIN: muscle calcium channel subunit alpha-1-like [Octopus bimaculoides],Octopus bimaculoides,2042,2042,97%,0.0,53.04,2190,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014774811.1?report=genbank&log$=prottop&blast_rank=6&RID=04XUWY88016"",""XP_014774811.1"")"
voltage-dependent L-type calcium channel subunit alpha-1D-like [Branchiostoma floridae],Branchiostoma floridae,1957,2037,88%,0.0,60.76,2477,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035676519.1?report=genbank&log$=prottop&blast_rank=7&RID=04XUWY88016"",""XP_035676519.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1949,2025,87%,0.0,61.44,1959,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264648.1?report=genbank&log$=prottop&blast_rank=8&RID=04XUWY88016"",""CAH1264648.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1944,2020,87%,0.0,61.09,1999,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264647.1?report=genbank&log$=prottop&blast_rank=9&RID=04XUWY88016"",""CAH1264647.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1928,2005,88%,0.0,60.11,2091,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264656.1?report=genbank&log$=prottop&blast_rank=10&RID=04XUWY88016"",""CAH1264656.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1925,2000,87%,0.0,60.09,2342,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264649.1?report=genbank&log$=prottop&blast_rank=11&RID=04XUWY88016"",""CAH1264649.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1913,1989,87%,0.0,60.05,2447,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264645.1?report=genbank&log$=prottop&blast_rank=12&RID=04XUWY88016"",""CAH1264645.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1903,1979,87%,0.0,60.78,2204,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264642.1?report=genbank&log$=prottop&blast_rank=13&RID=04XUWY88016"",""CAH1264642.1"")"
