Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
voltage-dependent L-type calcium channel subunit beta-2 isoform X2 [Ciona intestinalis],Ciona intestinalis,523,523,65%,3e-180,63.55,478,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_009861365.1?report=genbank&log$=prottop&blast_rank=1&RID=04YTMV3P016"",""XP_009861365.1"")"
voltage-dependent L-type calcium channel subunit beta-1-like isoform X12 [Branchiostoma floridae],Branchiostoma floridae,526,526,67%,3e-180,65.04,568,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661505.1?report=genbank&log$=prottop&blast_rank=2&RID=04YTMV3P016"",""XP_035661505.1"")"
voltage-dependent L-type calcium channel subunit beta-2 isoform X1 [Ciona intestinalis],Ciona intestinalis,523,523,65%,7e-180,63.55,506,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002129248.1?report=genbank&log$=prottop&blast_rank=3&RID=04YTMV3P016"",""XP_002129248.1"")"
voltage-dependent L-type calcium channel subunit beta-1-like isoform X5 [Branchiostoma floridae],Branchiostoma floridae,520,520,67%,1e-177,62.44,585,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661497.1?report=genbank&log$=prottop&blast_rank=4&RID=04YTMV3P016"",""XP_035661497.1"")"
voltage-dependent L-type calcium channel subunit beta-1-like isoform X4 [Branchiostoma floridae],Branchiostoma floridae,519,519,67%,3e-177,61.57,591,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661496.1?report=genbank&log$=prottop&blast_rank=5&RID=04YTMV3P016"",""XP_035661496.1"")"
voltage-dependent L-type calcium channel subunit beta-1-like isoform X8 [Branchiostoma floridae],Branchiostoma floridae,518,518,67%,4e-177,62.56,581,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661501.1?report=genbank&log$=prottop&blast_rank=6&RID=04YTMV3P016"",""XP_035661501.1"")"
CACNB2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,509,509,67%,3e-175,63.64,469,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1249482.1?report=genbank&log$=prottop&blast_rank=7&RID=04YTMV3P016"",""CAH1249482.1"")"
voltage-dependent L-type calcium channel subunit beta-1-like isoform X3 [Branchiostoma floridae],Branchiostoma floridae,511,511,67%,3e-174,60.59,598,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661495.1?report=genbank&log$=prottop&blast_rank=8&RID=04YTMV3P016"",""XP_035661495.1"")"
voltage-dependent L-type calcium channel subunit beta-1-like isoform X13 [Branchiostoma floridae],Branchiostoma floridae,508,508,67%,2e-173,63.64,566,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661506.1?report=genbank&log$=prottop&blast_rank=9&RID=04YTMV3P016"",""XP_035661506.1"")"
voltage-dependent L-type calcium channel subunit beta-1 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,505,505,63%,5e-171,64.48,650,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030830388.1?report=genbank&log$=prottop&blast_rank=10&RID=04YTMV3P016"",""XP_030830388.1"")"
voltage-dependent L-type calcium channel subunit beta-1-like isoform X7 [Branchiostoma floridae],Branchiostoma floridae,502,502,67%,1e-170,61.08,583,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661500.1?report=genbank&log$=prottop&blast_rank=11&RID=04YTMV3P016"",""XP_035661500.1"")"
PREDICTED: voltage-dependent L-type calcium channel subunit beta-2-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,506,506,71%,1e-170,60.18,707,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006812820.1?report=genbank&log$=prottop&blast_rank=12&RID=04YTMV3P016"",""XP_006812820.1"")"
voltage-dependent L-type calcium channel subunit beta-1-like isoform X2 [Asterias rubens],Asterias rubens,506,506,62%,2e-170,64.07,701,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033629179.1?report=genbank&log$=prottop&blast_rank=13&RID=04YTMV3P016"",""XP_033629179.1"")"
CACNB2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,501,501,67%,3e-170,61.19,579,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1249475.1?report=genbank&log$=prottop&blast_rank=14&RID=04YTMV3P016"",""CAH1249475.1"")"
voltage-dependent L-type calcium channel subunit beta-1-like isoform X3 [Asterias rubens],Asterias rubens,505,505,62%,3e-170,64.48,700,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033629180.1?report=genbank&log$=prottop&blast_rank=15&RID=04YTMV3P016"",""XP_033629180.1"")"
CACNB2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,500,500,67%,6e-170,60.42,586,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1249473.1?report=genbank&log$=prottop&blast_rank=16&RID=04YTMV3P016"",""CAH1249473.1"")"
CACNB2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,490,490,62%,2e-168,63.97,433,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1249484.1?report=genbank&log$=prottop&blast_rank=17&RID=04YTMV3P016"",""CAH1249484.1"")"
CACNB2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,494,494,67%,3e-167,59.27,596,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1249472.1?report=genbank&log$=prottop&blast_rank=18&RID=04YTMV3P016"",""CAH1249472.1"")"
CACNB2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,489,489,63%,2e-166,63.90,527,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1249478.1?report=genbank&log$=prottop&blast_rank=19&RID=04YTMV3P016"",""CAH1249478.1"")"
CACNB2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,484,484,62%,1e-165,61.25,447,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1249481.1?report=genbank&log$=prottop&blast_rank=20&RID=04YTMV3P016"",""CAH1249481.1"")"
CACNB2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,482,482,62%,5e-165,61.36,446,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1249483.1?report=genbank&log$=prottop&blast_rank=21&RID=04YTMV3P016"",""CAH1249483.1"")"
GuKc domain-containing protein [Caenorhabditis elegans],Caenorhabditis elegans,484,484,66%,1e-164,61.75,526,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_491193.2?report=genbank&log$=prottop&blast_rank=22&RID=04YTMV3P016"",""NP_491193.2"")"
CACNB2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,477,477,63%,2e-162,59.28,476,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1249486.1?report=genbank&log$=prottop&blast_rank=23&RID=04YTMV3P016"",""CAH1249486.1"")"
CACNB2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,476,476,62%,2e-162,59.32,460,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1249480.1?report=genbank&log$=prottop&blast_rank=24&RID=04YTMV3P016"",""CAH1249480.1"")"
CACNB2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,476,476,62%,3e-162,59.32,463,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1249485.1?report=genbank&log$=prottop&blast_rank=25&RID=04YTMV3P016"",""CAH1249485.1"")"
PREDICTED: voltage-dependent L-type calcium channel subunit beta-1-like isoform X6 [Octopus bimaculoides],Octopus bimaculoides,480,480,67%,4e-162,58.64,569,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014776323.1?report=genbank&log$=prottop&blast_rank=26&RID=04YTMV3P016"",""XP_014776323.1"")"
PREDICTED: voltage-dependent L-type calcium channel subunit beta-1-like isoform X5 [Octopus bimaculoides],Octopus bimaculoides,476,476,67%,8e-161,57.77,573,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014776322.1?report=genbank&log$=prottop&blast_rank=27&RID=04YTMV3P016"",""XP_014776322.1"")"
PREDICTED: voltage-dependent L-type calcium channel subunit beta-1-like isoform X4 [Octopus bimaculoides],Octopus bimaculoides,474,474,67%,1e-159,56.85,580,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014776321.1?report=genbank&log$=prottop&blast_rank=28&RID=04YTMV3P016"",""XP_014776321.1"")"
hypothetical protein OCBIM_22024598mg [Octopus bimaculoides],Octopus bimaculoides,468,468,64%,2e-158,59.10,528,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF82969.1?report=genbank&log$=prottop&blast_rank=29&RID=04YTMV3P016"",""KOF82969.1"")"
hypothetical protein OCBIM_22024598mg [Octopus bimaculoides],Octopus bimaculoides,468,468,64%,3e-158,58.96,529,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF82967.1?report=genbank&log$=prottop&blast_rank=30&RID=04YTMV3P016"",""KOF82967.1"")"
hypothetical protein OCBIM_22024598mg [Octopus bimaculoides],Octopus bimaculoides,468,468,64%,6e-158,58.96,544,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF82970.1?report=genbank&log$=prottop&blast_rank=31&RID=04YTMV3P016"",""KOF82970.1"")"
PREDICTED: voltage-dependent L-type calcium channel subunit beta-1-like isoform X3 [Octopus bimaculoides],Octopus bimaculoides,471,471,64%,1e-157,59.70,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014776320.1?report=genbank&log$=prottop&blast_rank=32&RID=04YTMV3P016"",""XP_014776320.1"")"
PREDICTED: voltage-dependent L-type calcium channel subunit beta-1-like isoform X2 [Octopus bimaculoides],Octopus bimaculoides,469,469,64%,1e-156,58.96,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014776319.1?report=genbank&log$=prottop&blast_rank=33&RID=04YTMV3P016"",""XP_014776319.1"")"
PREDICTED: voltage-dependent L-type calcium channel subunit beta-1-like isoform X1 [Octopus bimaculoides],Octopus bimaculoides,466,466,64%,2e-155,58.15,671,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014776317.1?report=genbank&log$=prottop&blast_rank=34&RID=04YTMV3P016"",""XP_014776317.1"")"
PREDICTED: voltage-dependent L-type calcium channel subunit beta-2-like isoform X11 [Octopus bimaculoides],Octopus bimaculoides,461,461,64%,4e-155,57.66,532,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014776328.1?report=genbank&log$=prottop&blast_rank=35&RID=04YTMV3P016"",""XP_014776328.1"")"
