Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
PREDICTED: cytosolic phospholipase A2-like [Priapulus caudatus],Priapulus caudatus,277,329,75%,1e-77,32.51,896,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014668727.1?report=genbank&log$=prottop&blast_rank=1&RID=0MW1SA5101R"",""XP_014668727.1"")"
PREDICTED: cytosolic phospholipase A2-like isoform X2 [Octopus bimaculoides],Octopus bimaculoides,225,414,75%,2e-59,38.32,880,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014780744.1?report=genbank&log$=prottop&blast_rank=2&RID=0MW1SA5101R"",""XP_014780744.1"")"
PREDICTED: cytosolic phospholipase A2-like isoform X1 [Octopus bimaculoides],Octopus bimaculoides,225,411,70%,3e-59,38.32,901,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014780743.1?report=genbank&log$=prottop&blast_rank=3&RID=0MW1SA5101R"",""XP_014780743.1"")"
hypothetical protein OCBIM_22033016mg [Octopus bimaculoides],Octopus bimaculoides,222,357,57%,9e-59,40.00,803,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF76715.1?report=genbank&log$=prottop&blast_rank=4&RID=0MW1SA5101R"",""KOF76715.1"")"
cytosolic phospholipase A2-like [Acropora millepora],Acropora millepora,217,407,78%,2e-57,36.75,745,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029185280.2?report=genbank&log$=prottop&blast_rank=5&RID=0MW1SA5101R"",""XP_029185280.2"")"
cytosolic phospholipase A2-like isoform X2 [Acropora millepora],Acropora millepora,206,282,54%,3e-54,36.00,600,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029185675.2?report=genbank&log$=prottop&blast_rank=6&RID=0MW1SA5101R"",""XP_029185675.2"")"
cytosolic phospholipase A2-like isoform X1 [Acropora millepora],Acropora millepora,207,412,74%,8e-54,36.00,779,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029185674.2?report=genbank&log$=prottop&blast_rank=7&RID=0MW1SA5101R"",""XP_029185674.2"")"
cytosolic phospholipase A2 isoform X4 [Ciona intestinalis],Ciona intestinalis,202,408,73%,2e-51,34.52,916,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002127884.2?report=genbank&log$=prottop&blast_rank=8&RID=0MW1SA5101R"",""XP_002127884.2"")"
cytosolic phospholipase A2 isoform X3 [Ciona intestinalis],Ciona intestinalis,202,407,73%,3e-51,34.52,943,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018669043.1?report=genbank&log$=prottop&blast_rank=9&RID=0MW1SA5101R"",""XP_018669043.1"")"
cytosolic phospholipase A2 isoform X6 [Ciona intestinalis],Ciona intestinalis,201,407,76%,3e-51,34.52,899,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018669045.1?report=genbank&log$=prottop&blast_rank=10&RID=0MW1SA5101R"",""XP_018669045.1"")"
cytosolic phospholipase A2 isoform X5 [Ciona intestinalis],Ciona intestinalis,201,407,73%,4e-51,34.52,901,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018669044.1?report=genbank&log$=prottop&blast_rank=11&RID=0MW1SA5101R"",""XP_018669044.1"")"
cytosolic phospholipase A2-like [Branchiostoma floridae],Branchiostoma floridae,198,415,69%,1e-50,40.53,767,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035685090.1?report=genbank&log$=prottop&blast_rank=12&RID=0MW1SA5101R"",""XP_035685090.1"")"
cytosolic phospholipase A2 isoform X2 [Ciona intestinalis],Ciona intestinalis,201,406,73%,1e-50,34.52,1088,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018669042.1?report=genbank&log$=prottop&blast_rank=13&RID=0MW1SA5101R"",""XP_018669042.1"")"
cytosolic phospholipase A2 isoform X1 [Ciona intestinalis],Ciona intestinalis,201,406,73%,1e-50,34.52,1115,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026691972.1?report=genbank&log$=prottop&blast_rank=14&RID=0MW1SA5101R"",""XP_026691972.1"")"
PLA2G4A [Branchiostoma lanceolatum],Branchiostoma lanceolatum,197,415,85%,4e-50,32.51,785,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1272832.1?report=genbank&log$=prottop&blast_rank=15&RID=0MW1SA5101R"",""CAH1272832.1"")"
PREDICTED: cytosolic phospholipase A2-like isoform X5 [Priapulus caudatus],Priapulus caudatus,190,389,73%,1e-47,36.88,826,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014670507.1?report=genbank&log$=prottop&blast_rank=16&RID=0MW1SA5101R"",""XP_014670507.1"")"
PREDICTED: cytosolic phospholipase A2-like isoform X3 [Priapulus caudatus],Priapulus caudatus,190,385,73%,1e-47,36.88,829,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014670505.1?report=genbank&log$=prottop&blast_rank=17&RID=0MW1SA5101R"",""XP_014670505.1"")"
PREDICTED: cytosolic phospholipase A2-like isoform X4 [Priapulus caudatus],Priapulus caudatus,186,332,60%,1e-46,35.95,728,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014670506.1?report=genbank&log$=prottop&blast_rank=18&RID=0MW1SA5101R"",""XP_014670506.1"")"
PREDICTED: cytosolic phospholipase A2-like isoform X2 [Priapulus caudatus],Priapulus caudatus,186,385,73%,2e-46,35.95,832,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014670504.1?report=genbank&log$=prottop&blast_rank=19&RID=0MW1SA5101R"",""XP_014670504.1"")"
PREDICTED: cytosolic phospholipase A2-like isoform X1 [Priapulus caudatus],Priapulus caudatus,186,381,73%,2e-46,35.95,835,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014670499.1?report=genbank&log$=prottop&blast_rank=20&RID=0MW1SA5101R"",""XP_014670499.1"")"
cytosolic phospholipase A2 isoform X2 [Ciona intestinalis],Ciona intestinalis,135,135,33%,6e-30,32.98,772,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002129582.1?report=genbank&log$=prottop&blast_rank=21&RID=0MW1SA5101R"",""XP_002129582.1"")"
cytosolic phospholipase A2 isoform X1 [Ciona intestinalis],Ciona intestinalis,130,130,33%,2e-28,33.10,776,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026692097.1?report=genbank&log$=prottop&blast_rank=22&RID=0MW1SA5101R"",""XP_026692097.1"")"
Cytosolic phospholipase A2 zeta [Fusarium culmorum],Fusarium culmorum,130,130,49%,2e-28,27.48,821,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PTD11214.1?report=genbank&log$=prottop&blast_rank=23&RID=0MW1SA5101R"",""PTD11214.1"")"
hypothetical protein AN6211.2 [Aspergillus nidulans FGSC A4],Aspergillus nidulans FGSC A4,111,111,48%,2e-22,26.98,837,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_663815.1?report=genbank&log$=prottop&blast_rank=24&RID=0MW1SA5101R"",""XP_663815.1"")"
cytosolic phospholipase A2 [Ciona intestinalis],Ciona intestinalis,89.0,89.0,47%,1e-15,23.76,485,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002125337.3?report=genbank&log$=prottop&blast_rank=25&RID=0MW1SA5101R"",""XP_002125337.3"")"
hypothetical protein HYE67_001462 [Fusarium culmorum],Fusarium culmorum,69.7,69.7,47%,2e-09,24.58,708,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QPC59231.1?report=genbank&log$=prottop&blast_rank=26&RID=0MW1SA5101R"",""QPC59231.1"")"
hypothetical protein HYE67_002981 [Fusarium culmorum],Fusarium culmorum,67.4,67.4,53%,1e-08,23.47,766,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QPC60750.1?report=genbank&log$=prottop&blast_rank=27&RID=0MW1SA5101R"",""QPC60750.1"")"
Lysophospholipase 1 [Fusarium culmorum],Fusarium culmorum,67.0,67.0,53%,1e-08,23.47,766,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PTD04098.1?report=genbank&log$=prottop&blast_rank=28&RID=0MW1SA5101R"",""PTD04098.1"")"
SX2_G0022910.mRNA.1.CDS.1 [Saccharomyces cerevisiae],Saccharomyces cerevisiae,65.5,65.5,24%,4e-08,27.38,1391,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAD6642019.1?report=genbank&log$=prottop&blast_rank=29&RID=0MW1SA5101R"",""CAD6642019.1"")"
Plb1p [Saccharomyces cerevisiae YJM1078],Saccharomyces cerevisiae YJM1078,63.9,63.9,24%,1e-07,25.00,660,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AJP40715.1?report=genbank&log$=prottop&blast_rank=30&RID=0MW1SA5101R"",""AJP40715.1"")"
EM14S01-3B_G0022350.mRNA.1.CDS.1 [Saccharomyces cerevisiae],Saccharomyces cerevisiae,63.9,63.9,24%,1e-07,25.40,1363,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAD6638928.1?report=genbank&log$=prottop&blast_rank=31&RID=0MW1SA5101R"",""CAD6638928.1"")"
XXYS1_4_G0024940.mRNA.1.CDS.1 [Saccharomyces cerevisiae],Saccharomyces cerevisiae,63.9,63.9,24%,1e-07,25.40,1363,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAD6641134.1?report=genbank&log$=prottop&blast_rank=32&RID=0MW1SA5101R"",""CAD6641134.1"")"
hypothetical protein DDB_G0274273 [Dictyostelium discoideum AX4],Dictyostelium discoideum AX4,62.0,62.0,11%,2e-07,31.91,320,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_643975.1?report=genbank&log$=prottop&blast_rank=33&RID=0MW1SA5101R"",""XP_643975.1"")"
lysophospholipase [Saccharomyces cerevisiae],Saccharomyces cerevisiae,63.2,63.2,24%,2e-07,24.60,664,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAA61611.1?report=genbank&log$=prottop&blast_rank=34&RID=0MW1SA5101R"",""AAA61611.1"")"
Plb1p [Saccharomyces cerevisiae YJM450],Saccharomyces cerevisiae YJM450,63.2,63.2,24%,2e-07,24.60,664,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AJS66243.1?report=genbank&log$=prottop&blast_rank=35&RID=0MW1SA5101R"",""AJS66243.1"")"
