Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
protein kinase C beta2 [Eptatretus burgeri],Eptatretus burgeri,1067,1067,97%,0.0,76.03,667,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AYD75722.1?report=genbank&log$=prottop&blast_rank=1&RID=04UXHDFZ016"",""AYD75722.1"")"
protein kinase C beta1 [Eptatretus burgeri],Eptatretus burgeri,1042,1042,97%,0.0,74.12,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AYD75721.1?report=genbank&log$=prottop&blast_rank=2&RID=04UXHDFZ016"",""AYD75721.1"")"
protein kinase C alpha type-like isoform X4 [Branchiostoma floridae],Branchiostoma floridae,1006,1006,98%,0.0,72.35,686,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035694811.1?report=genbank&log$=prottop&blast_rank=3&RID=04UXHDFZ016"",""XP_035694811.1"")"
PRKCB [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1004,1004,98%,0.0,72.82,684,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1273977.1?report=genbank&log$=prottop&blast_rank=4&RID=04UXHDFZ016"",""CAH1273977.1"")"
protein kinase C alpha type-like isoform X3 [Branchiostoma floridae],Branchiostoma floridae,999,999,98%,0.0,72.11,690,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035694810.1?report=genbank&log$=prottop&blast_rank=5&RID=04UXHDFZ016"",""XP_035694810.1"")"
protein kinase C alpha type-like isoform X1 [Branchiostoma floridae],Branchiostoma floridae,998,998,98%,0.0,72.11,693,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035694807.1?report=genbank&log$=prottop&blast_rank=6&RID=04UXHDFZ016"",""XP_035694807.1"")"
protein kinase C alpha type-like isoform X2 [Branchiostoma floridae],Branchiostoma floridae,998,998,98%,0.0,72.11,692,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035694808.1?report=genbank&log$=prottop&blast_rank=7&RID=04UXHDFZ016"",""XP_035694808.1"")"
PRKCB [Branchiostoma lanceolatum],Branchiostoma lanceolatum,998,998,98%,0.0,73.04,693,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1273978.1?report=genbank&log$=prottop&blast_rank=8&RID=04UXHDFZ016"",""CAH1273978.1"")"
PRKCB [Branchiostoma lanceolatum],Branchiostoma lanceolatum,996,996,97%,0.0,73.63,663,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1273979.1?report=genbank&log$=prottop&blast_rank=9&RID=04UXHDFZ016"",""CAH1273979.1"")"
PREDICTED: protein kinase C beta type-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,996,996,96%,0.0,73.16,666,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002731384.1?report=genbank&log$=prottop&blast_rank=10&RID=04UXHDFZ016"",""XP_002731384.1"")"
Protein kinase C [Caenorhabditis elegans],Caenorhabditis elegans,962,962,96%,0.0,68.49,751,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001360727.1?report=genbank&log$=prottop&blast_rank=11&RID=04UXHDFZ016"",""NP_001360727.1"")"
Protein kinase C [Caenorhabditis elegans],Caenorhabditis elegans,959,959,96%,0.0,68.49,725,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001123122.1?report=genbank&log$=prottop&blast_rank=12&RID=04UXHDFZ016"",""NP_001123122.1"")"
Protein kinase C-like 2 [Caenorhabditis elegans],Caenorhabditis elegans,959,959,96%,0.0,68.49,680,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001024516.1?report=genbank&log$=prottop&blast_rank=13&RID=04UXHDFZ016"",""NP_001024516.1"")"
protein kinase C2 A isoform [Caenorhabditis elegans],Caenorhabditis elegans,958,958,96%,0.0,68.49,680,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAB40868.1?report=genbank&log$=prottop&blast_rank=14&RID=04UXHDFZ016"",""AAB40868.1"")"
Protein kinase C-like 2 [Caenorhabditis elegans],Caenorhabditis elegans,958,958,96%,0.0,68.34,753,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001359883.1?report=genbank&log$=prottop&blast_rank=15&RID=04UXHDFZ016"",""NP_001359883.1"")"
Protein kinase C [Caenorhabditis elegans],Caenorhabditis elegans,956,956,96%,0.0,68.34,727,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001360728.1?report=genbank&log$=prottop&blast_rank=16&RID=04UXHDFZ016"",""NP_001360728.1"")"
Protein kinase C-like 2 [Caenorhabditis elegans],Caenorhabditis elegans,955,955,96%,0.0,68.34,682,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001024517.1?report=genbank&log$=prottop&blast_rank=17&RID=04UXHDFZ016"",""NP_001024517.1"")"
protein kinase C2 B isoform [Caenorhabditis elegans],Caenorhabditis elegans,955,955,96%,0.0,68.34,682,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAB40869.1?report=genbank&log$=prottop&blast_rank=18&RID=04UXHDFZ016"",""AAB40869.1"")"
protein kinase C alpha type isoform X2 [Ciona intestinalis],Ciona intestinalis,922,922,97%,0.0,65.96,666,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002122914.1?report=genbank&log$=prottop&blast_rank=19&RID=04UXHDFZ016"",""XP_002122914.1"")"
protein kinase C alpha type isoform X1 [Ciona intestinalis],Ciona intestinalis,920,920,97%,0.0,65.71,671,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_009858098.1?report=genbank&log$=prottop&blast_rank=20&RID=04UXHDFZ016"",""XP_009858098.1"")"
calcium-dependent protein kinase C isoform X3 [Ciona intestinalis],Ciona intestinalis,915,915,97%,0.0,65.46,665,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018666856.1?report=genbank&log$=prottop&blast_rank=21&RID=04UXHDFZ016"",""XP_018666856.1"")"
protein kinase C beta type-like [Hydra vulgaris],Hydra vulgaris,878,878,97%,0.0,62.86,670,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001296610.1?report=genbank&log$=prottop&blast_rank=22&RID=04UXHDFZ016"",""NP_001296610.1"")"
protein kinase C alpha type-like isoform X1 [Acropora millepora],Acropora millepora,871,871,96%,0.0,64.80,686,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029190959.1?report=genbank&log$=prottop&blast_rank=23&RID=04UXHDFZ016"",""XP_029190959.1"")"
protein kinase C [Hydra vulgaris],Hydra vulgaris,866,866,96%,0.0,62.37,674,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAA73362.1?report=genbank&log$=prottop&blast_rank=24&RID=04UXHDFZ016"",""CAA73362.1"")"
