Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
myosin light chain kinase 3-like isoform X1 [Ciona intestinalis],Ciona intestinalis,350,350,41%,1e-107,52.43,781,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_009858067.2?report=genbank&log$=prottop&blast_rank=1&RID=0CJS7YK4013"",""XP_009858067.2"")"
myosin light chain kinase family member 4-like [Branchiostoma floridae],Branchiostoma floridae,333,333,40%,2e-105,58.67,424,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035674748.1?report=genbank&log$=prottop&blast_rank=2&RID=0CJS7YK4013"",""XP_035674748.1"")"
"PREDICTED: myosin light chain kinase, smooth muscle-like isoform X3 [Octopus bimaculoides]",Octopus bimaculoides,314,314,41%,5e-99,51.97,363,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014785561.1?report=genbank&log$=prottop&blast_rank=3&RID=0CJS7YK4013"",""XP_014785561.1"")"
hypothetical protein OCBIM_22003654mg [Octopus bimaculoides],Octopus bimaculoides,314,314,41%,5e-99,52.35,355,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF70028.1?report=genbank&log$=prottop&blast_rank=4&RID=0CJS7YK4013"",""KOF70028.1"")"
"PREDICTED: myosin light chain kinase, smooth muscle-like isoform X2 [Octopus bimaculoides]",Octopus bimaculoides,315,315,41%,6e-99,52.35,381,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014785560.1?report=genbank&log$=prottop&blast_rank=5&RID=0CJS7YK4013"",""XP_014785560.1"")"
"PREDICTED: myosin light chain kinase 2, skeletal/cardiac muscle-like [Priapulus caudatus]",Priapulus caudatus,313,313,42%,7e-99,50.87,332,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014671846.1?report=genbank&log$=prottop&blast_rank=6&RID=0CJS7YK4013"",""XP_014671846.1"")"
"PREDICTED: myosin light chain kinase, smooth muscle-like isoform X1 [Octopus bimaculoides]",Octopus bimaculoides,315,315,41%,8e-99,52.35,392,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014785559.1?report=genbank&log$=prottop&blast_rank=7&RID=0CJS7YK4013"",""XP_014785559.1"")"
"myosin light chain kinase, smooth muscle-like isoform X1 [Asterias rubens]",Asterias rubens,340,659,42%,9e-99,53.19,3506,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033628654.1?report=genbank&log$=prottop&blast_rank=8&RID=0CJS7YK4013"",""XP_033628654.1"")"
hypothetical protein OCBIM_22003654mg [Octopus bimaculoides],Octopus bimaculoides,312,312,40%,9e-99,52.36,326,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF70027.1?report=genbank&log$=prottop&blast_rank=9&RID=0CJS7YK4013"",""KOF70027.1"")"
"myosin light chain kinase, smooth muscle-like isoform X2 [Asterias rubens]",Asterias rubens,340,658,42%,1e-98,53.19,3235,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033628655.1?report=genbank&log$=prottop&blast_rank=10&RID=0CJS7YK4013"",""XP_033628655.1"")"
"PREDICTED: myosin light chain kinase, smooth muscle-like isoform X4 [Octopus bimaculoides]",Octopus bimaculoides,313,313,40%,1e-98,52.36,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014785562.1?report=genbank&log$=prottop&blast_rank=11&RID=0CJS7YK4013"",""XP_014785562.1"")"
myosin light chain kinase-like protein [Saccoglossus kowalevskii],Saccoglossus kowalevskii,313,313,46%,8e-98,48.55,433,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001161592.1?report=genbank&log$=prottop&blast_rank=12&RID=0CJS7YK4013"",""NP_001161592.1"")"
PREDICTED: myosin light chain kinase-like protein isoform X1 [Saccoglossus kowalevskii],Saccoglossus kowalevskii,309,309,46%,7e-96,48.55,458,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006823003.1?report=genbank&log$=prottop&blast_rank=13&RID=0CJS7YK4013"",""XP_006823003.1"")"
MYLK3 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,304,304,38%,1e-93,49.52,467,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1256670.1?report=genbank&log$=prottop&blast_rank=14&RID=0CJS7YK4013"",""CAH1256670.1"")"
"myosin light chain kinase, smooth muscle isoform X4 [Strongylocentrotus purpuratus]",Strongylocentrotus purpuratus,324,324,40%,2e-93,54.74,2750,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011667919.2?report=genbank&log$=prottop&blast_rank=15&RID=0CJS7YK4013"",""XP_011667919.2"")"
"myosin light chain kinase, smooth muscle isoform X5 [Strongylocentrotus purpuratus]",Strongylocentrotus purpuratus,324,324,40%,2e-93,54.74,2749,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011667920.2?report=genbank&log$=prottop&blast_rank=16&RID=0CJS7YK4013"",""XP_011667920.2"")"
"PREDICTED: myosin light chain kinase, smooth muscle-like [Priapulus caudatus]",Priapulus caudatus,298,298,37%,3e-93,53.36,324,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014663585.1?report=genbank&log$=prottop&blast_rank=17&RID=0CJS7YK4013"",""XP_014663585.1"")"
"myosin light chain kinase, smooth muscle isoform X2 [Strongylocentrotus purpuratus]",Strongylocentrotus purpuratus,323,630,41%,5e-93,54.74,3052,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030830852.1?report=genbank&log$=prottop&blast_rank=18&RID=0CJS7YK4013"",""XP_030830852.1"")"
"myosin light chain kinase, smooth muscle isoform X1 [Strongylocentrotus purpuratus]",Strongylocentrotus purpuratus,323,630,41%,5e-93,54.74,3053,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030830851.1?report=genbank&log$=prottop&blast_rank=19&RID=0CJS7YK4013"",""XP_030830851.1"")"
