Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
voltage-dependent L-type calcium channel subunit alpha-1S [Gallus gallus],Gallus gallus,2926,2926,98%,0.0,79.22,1836,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001384628.1?report=genbank&log$=prottop&blast_rank=1&RID=0YZ1Y17Z01R"",""NP_001384628.1"")"
voltage-dependent L-type calcium channel subunit alpha-1S [Gallus gallus],Gallus gallus,2905,2905,98%,0.0,78.40,1817,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001384627.1?report=genbank&log$=prottop&blast_rank=2&RID=0YZ1Y17Z01R"",""NP_001384627.1"")"
voltage-dependent L-type calcium channel subunit alpha-1S isoform X1 [Gallus gallus],Gallus gallus,2870,2870,88%,0.0,84.18,1665,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015154178.3?report=genbank&log$=prottop&blast_rank=3&RID=0YZ1Y17Z01R"",""XP_015154178.3"")"
voltage-dependent L-type calcium channel subunit alpha-1S [Xenopus tropicalis],Xenopus tropicalis,2709,2709,87%,0.0,79.61,1689,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_031752682.1?report=genbank&log$=prottop&blast_rank=4&RID=0YZ1Y17Z01R"",""XP_031752682.1"")"
voltage-dependent L-type calcium channel subunit alpha-1S-like [Carcharodon carcharias],Carcharodon carcharias,2528,2528,97%,0.0,71.31,1793,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041052076.1?report=genbank&log$=prottop&blast_rank=5&RID=0YZ1Y17Z01R"",""XP_041052076.1"")"
"calcium channel, voltage-dependent, L type, alpha 1S subunit, a isoform X1 [Danio rerio]",Danio rerio,2483,2483,87%,0.0,74.11,1778,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_005168332.1?report=genbank&log$=prottop&blast_rank=6&RID=0YZ1Y17Z01R"",""XP_005168332.1"")"
"calcium channel, voltage-dependent, L type, alpha 1S subunit, a [Danio rerio]",Danio rerio,2483,2483,87%,0.0,74.11,1777,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001139622.1?report=genbank&log$=prottop&blast_rank=7&RID=0YZ1Y17Z01R"",""NP_001139622.1"")"
"calcium channel, voltage-dependent, L type, alpha 1S subunit, b [Danio rerio]",Danio rerio,2409,2409,87%,0.0,72.90,1847,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_999891.1?report=genbank&log$=prottop&blast_rank=8&RID=0YZ1Y17Z01R"",""NP_999891.1"")"
voltage-dependent L-type calcium channel subunit alpha-1C [Carcharodon carcharias],Carcharodon carcharias,2295,2295,87%,0.0,69.04,2154,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041071499.1?report=genbank&log$=prottop&blast_rank=9&RID=0YZ1Y17Z01R"",""XP_041071499.1"")"
voltage-dependent L-type calcium channel subunit alpha-1C isoform X28 [Gallus gallus],Gallus gallus,2288,2288,86%,0.0,69.93,2163,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_040507878.1?report=genbank&log$=prottop&blast_rank=10&RID=0YZ1Y17Z01R"",""XP_040507878.1"")"
voltage-dependent L-type calcium channel subunit alpha-1C isoform X30 [Gallus gallus],Gallus gallus,2286,2286,86%,0.0,69.93,2163,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_040507887.1?report=genbank&log$=prottop&blast_rank=11&RID=0YZ1Y17Z01R"",""XP_040507887.1"")"
