Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
voltage-dependent L-type calcium channel subunit beta-2 isoform X1 [Ciona intestinalis],Ciona intestinalis,622,622,52%,0.0,70.73,506,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002129248.1?report=genbank&log$=prottop&blast_rank=1&RID=6J8E7JA6013"",""XP_002129248.1"")"
voltage-dependent L-type calcium channel subunit beta-2 isoform X2 [Ciona intestinalis],Ciona intestinalis,622,622,52%,0.0,70.73,478,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_009861365.1?report=genbank&log$=prottop&blast_rank=2&RID=6J8E7JA6013"",""XP_009861365.1"")"
voltage-dependent L-type calcium channel subunit beta-1-like isoform X3 [Asterias rubens],Asterias rubens,558,558,49%,0.0,68.49,700,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033629180.1?report=genbank&log$=prottop&blast_rank=3&RID=6J8E7JA6013"",""XP_033629180.1"")"
voltage-dependent L-type calcium channel subunit beta-1-like isoform X2 [Asterias rubens],Asterias rubens,555,555,49%,0.0,68.15,701,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033629179.1?report=genbank&log$=prottop&blast_rank=4&RID=6J8E7JA6013"",""XP_033629179.1"")"
PREDICTED: voltage-dependent L-type calcium channel subunit beta-2-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,553,553,49%,0.0,67.74,707,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006812820.1?report=genbank&log$=prottop&blast_rank=5&RID=6J8E7JA6013"",""XP_006812820.1"")"
voltage-dependent L-type calcium channel subunit beta-1 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,548,548,50%,0.0,68.69,650,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030830388.1?report=genbank&log$=prottop&blast_rank=6&RID=6J8E7JA6013"",""XP_030830388.1"")"
voltage-dependent L-type calcium channel subunit beta-1-like isoform X5 [Branchiostoma floridae],Branchiostoma floridae,547,547,49%,0.0,66.99,585,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661497.1?report=genbank&log$=prottop&blast_rank=7&RID=6J8E7JA6013"",""XP_035661497.1"")"
voltage-dependent L-type calcium channel subunit beta-1-like isoform X12 [Branchiostoma floridae],Branchiostoma floridae,547,547,49%,0.0,67.58,568,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661505.1?report=genbank&log$=prottop&blast_rank=8&RID=6J8E7JA6013"",""XP_035661505.1"")"
voltage-dependent L-type calcium channel subunit beta-3-like isoform X1 [Asterias rubens],Asterias rubens,546,546,49%,0.0,63.47,736,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033629178.1?report=genbank&log$=prottop&blast_rank=9&RID=6J8E7JA6013"",""XP_033629178.1"")"
voltage-dependent L-type calcium channel subunit beta-1-like isoform X14 [Branchiostoma floridae],Branchiostoma floridae,538,538,49%,0.0,63.43,508,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661507.1?report=genbank&log$=prottop&blast_rank=10&RID=6J8E7JA6013"",""XP_035661507.1"")"
voltage-dependent L-type calcium channel subunit beta-1-like isoform X8 [Branchiostoma floridae],Branchiostoma floridae,538,538,49%,0.0,65.46,581,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661501.1?report=genbank&log$=prottop&blast_rank=11&RID=6J8E7JA6013"",""XP_035661501.1"")"
voltage-dependent L-type calcium channel subunit beta-1-like isoform X3 [Branchiostoma floridae],Branchiostoma floridae,538,538,49%,0.0,64.93,598,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661495.1?report=genbank&log$=prottop&blast_rank=12&RID=6J8E7JA6013"",""XP_035661495.1"")"
voltage-dependent L-type calcium channel subunit beta-3-like isoform X11 [Branchiostoma floridae],Branchiostoma floridae,535,535,49%,5e-180,63.32,569,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661504.1?report=genbank&log$=prottop&blast_rank=13&RID=6J8E7JA6013"",""XP_035661504.1"")"
voltage-dependent L-type calcium channel subunit beta-3-like isoform X10 [Branchiostoma floridae],Branchiostoma floridae,534,534,49%,8e-180,63.32,572,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661503.1?report=genbank&log$=prottop&blast_rank=14&RID=6J8E7JA6013"",""XP_035661503.1"")"
