Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
protein kinase C beta2 [Eptatretus burgeri],Eptatretus burgeri,1068,1068,98%,0.0,76.75,667,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AYD75722.1?report=genbank&log$=prottop&blast_rank=1&RID=04UW1K5X013"",""AYD75722.1"")"
protein kinase C beta1 [Eptatretus burgeri],Eptatretus burgeri,1039,1039,97%,0.0,74.66,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AYD75721.1?report=genbank&log$=prottop&blast_rank=2&RID=04UW1K5X013"",""AYD75721.1"")"
PRKCB [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1013,1013,97%,0.0,75.04,684,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1273977.1?report=genbank&log$=prottop&blast_rank=3&RID=04UW1K5X013"",""CAH1273977.1"")"
protein kinase C alpha type-like isoform X4 [Branchiostoma floridae],Branchiostoma floridae,1012,1012,96%,0.0,75.12,686,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035694811.1?report=genbank&log$=prottop&blast_rank=4&RID=04UW1K5X013"",""XP_035694811.1"")"
protein kinase C alpha type-like isoform X3 [Branchiostoma floridae],Branchiostoma floridae,1011,1011,96%,0.0,74.81,690,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035694810.1?report=genbank&log$=prottop&blast_rank=5&RID=04UW1K5X013"",""XP_035694810.1"")"
protein kinase C alpha type-like isoform X2 [Branchiostoma floridae],Branchiostoma floridae,1009,1009,96%,0.0,74.81,692,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035694808.1?report=genbank&log$=prottop&blast_rank=6&RID=04UW1K5X013"",""XP_035694808.1"")"
protein kinase C alpha type-like isoform X1 [Branchiostoma floridae],Branchiostoma floridae,1009,1009,96%,0.0,74.81,693,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035694807.1?report=genbank&log$=prottop&blast_rank=7&RID=04UW1K5X013"",""XP_035694807.1"")"
PRKCB [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1008,1008,97%,0.0,74.88,693,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1273978.1?report=genbank&log$=prottop&blast_rank=8&RID=04UW1K5X013"",""CAH1273978.1"")"
PRKCB [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1007,1007,97%,0.0,74.88,663,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1273979.1?report=genbank&log$=prottop&blast_rank=9&RID=04UW1K5X013"",""CAH1273979.1"")"
PREDICTED: protein kinase C beta type-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,1001,1001,96%,0.0,74.88,666,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002731384.1?report=genbank&log$=prottop&blast_rank=10&RID=04UW1K5X013"",""XP_002731384.1"")"
Protein kinase C [Caenorhabditis elegans],Caenorhabditis elegans,970,970,96%,0.0,70.21,751,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001360727.1?report=genbank&log$=prottop&blast_rank=11&RID=04UW1K5X013"",""NP_001360727.1"")"
Protein kinase C [Caenorhabditis elegans],Caenorhabditis elegans,969,969,98%,0.0,68.92,725,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001123122.1?report=genbank&log$=prottop&blast_rank=12&RID=04UW1K5X013"",""NP_001123122.1"")"
Protein kinase C-like 2 [Caenorhabditis elegans],Caenorhabditis elegans,968,968,96%,0.0,70.21,680,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001024516.1?report=genbank&log$=prottop&blast_rank=13&RID=04UW1K5X013"",""NP_001024516.1"")"
protein kinase C2 A isoform [Caenorhabditis elegans],Caenorhabditis elegans,968,968,96%,0.0,70.21,680,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAB40868.1?report=genbank&log$=prottop&blast_rank=14&RID=04UW1K5X013"",""AAB40868.1"")"
Protein kinase C-like 2 [Caenorhabditis elegans],Caenorhabditis elegans,957,957,96%,0.0,69.98,753,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001359883.1?report=genbank&log$=prottop&blast_rank=15&RID=04UW1K5X013"",""NP_001359883.1"")"
Protein kinase C [Caenorhabditis elegans],Caenorhabditis elegans,956,956,98%,0.0,68.69,727,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001360728.1?report=genbank&log$=prottop&blast_rank=16&RID=04UW1K5X013"",""NP_001360728.1"")"
Protein kinase C-like 2 [Caenorhabditis elegans],Caenorhabditis elegans,955,955,96%,0.0,69.98,682,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001024517.1?report=genbank&log$=prottop&blast_rank=17&RID=04UW1K5X013"",""NP_001024517.1"")"
protein kinase C2 B isoform [Caenorhabditis elegans],Caenorhabditis elegans,955,955,96%,0.0,69.98,682,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAB40869.1?report=genbank&log$=prottop&blast_rank=18&RID=04UW1K5X013"",""AAB40869.1"")"
protein kinase C alpha type isoform X2 [Ciona intestinalis],Ciona intestinalis,930,930,96%,0.0,67.38,666,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002122914.1?report=genbank&log$=prottop&blast_rank=19&RID=04UW1K5X013"",""XP_002122914.1"")"
protein kinase C alpha type isoform X1 [Ciona intestinalis],Ciona intestinalis,928,928,96%,0.0,67.33,671,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_009858098.1?report=genbank&log$=prottop&blast_rank=20&RID=04UW1K5X013"",""XP_009858098.1"")"
calcium-dependent protein kinase C isoform X3 [Ciona intestinalis],Ciona intestinalis,921,921,96%,0.0,66.72,665,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018666856.1?report=genbank&log$=prottop&blast_rank=21&RID=04UW1K5X013"",""XP_018666856.1"")"
protein kinase C beta type-like [Hydra vulgaris],Hydra vulgaris,900,900,97%,0.0,65.41,670,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001296610.1?report=genbank&log$=prottop&blast_rank=22&RID=04UW1K5X013"",""NP_001296610.1"")"
protein kinase C alpha type-like isoform X1 [Acropora millepora],Acropora millepora,889,889,98%,0.0,66.27,686,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029190959.1?report=genbank&log$=prottop&blast_rank=23&RID=04UW1K5X013"",""XP_029190959.1"")"
