Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
proto-oncogene tyrosine-protein kinase Src-like isoform X1 [Ciona intestinalis],Ciona intestinalis,687,687,91%,0.0,65.89,544,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018672695.1?report=genbank&log$=prottop&blast_rank=1&RID=0CVVWV01016"",""XP_018672695.1"")"
proto-oncogene tyrosine-protein kinase Src-like isoform X4 [Ciona intestinalis],Ciona intestinalis,681,681,85%,0.0,70.09,519,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026695957.1?report=genbank&log$=prottop&blast_rank=2&RID=0CVVWV01016"",""XP_026695957.1"")"
proto-oncogene tyrosine-protein kinase Src-like isoform X3 [Ciona intestinalis],Ciona intestinalis,681,681,91%,0.0,64.85,543,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018672697.1?report=genbank&log$=prottop&blast_rank=3&RID=0CVVWV01016"",""XP_018672697.1"")"
proto-oncogene tyrosine-protein kinase Src-like isoform X2 [Ciona intestinalis],Ciona intestinalis,674,674,91%,0.0,64.73,544,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018672696.1?report=genbank&log$=prottop&blast_rank=4&RID=0CVVWV01016"",""XP_018672696.1"")"
tyrosine-protein kinase Fyn-like [Branchiostoma floridae],Branchiostoma floridae,653,653,93%,0.0,62.65,536,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035658611.1?report=genbank&log$=prottop&blast_rank=5&RID=0CVVWV01016"",""XP_035658611.1"")"
FYN [Branchiostoma lanceolatum],Branchiostoma lanceolatum,653,653,86%,0.0,65.75,537,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1253438.1?report=genbank&log$=prottop&blast_rank=6&RID=0CVVWV01016"",""CAH1253438.1"")"
FYN [Branchiostoma lanceolatum],Branchiostoma lanceolatum,650,650,86%,0.0,65.12,537,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1253440.1?report=genbank&log$=prottop&blast_rank=7&RID=0CVVWV01016"",""CAH1253440.1"")"
FYN [Branchiostoma lanceolatum],Branchiostoma lanceolatum,632,632,86%,0.0,60.35,576,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1253439.1?report=genbank&log$=prottop&blast_rank=8&RID=0CVVWV01016"",""CAH1253439.1"")"
tyrosine-protein kinase Fgr-like [Ciona intestinalis],Ciona intestinalis,629,629,92%,0.0,61.02,526,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002126540.1?report=genbank&log$=prottop&blast_rank=9&RID=0CVVWV01016"",""XP_002126540.1"")"
tyrosine-protein kinase SRK2-like [Acropora millepora],Acropora millepora,625,625,89%,0.0,62.58,511,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029199183.1?report=genbank&log$=prottop&blast_rank=10&RID=0CVVWV01016"",""XP_029199183.1"")"
