Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
PREDICTED: guanine nucleotide-binding protein G(o) subunit alpha isoform X2 [Octopus bimaculoides],Octopus bimaculoides,632,632,100%,0.0,84.75,354,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014788274.1?report=genbank&log$=prottop&blast_rank=1&RID=0CVM2TVY013"",""XP_014788274.1"")"
PREDICTED: guanine nucleotide-binding protein G(o) subunit alpha isoform X1 [Octopus bimaculoides],Octopus bimaculoides,627,627,100%,0.0,83.80,358,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014788266.1?report=genbank&log$=prottop&blast_rank=2&RID=0CVM2TVY013"",""XP_014788266.1"")"
G protein a subunit o class [Octopus vulgaris],Octopus vulgaris,627,627,100%,0.0,84.18,354,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAA93637.1?report=genbank&log$=prottop&blast_rank=3&RID=0CVM2TVY013"",""BAA93637.1"")"
guanine nucleotide-binding protein G(o) subunit alpha-like [Branchiostoma floridae],Branchiostoma floridae,627,627,100%,0.0,81.92,354,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035679471.1?report=genbank&log$=prottop&blast_rank=4&RID=0CVM2TVY013"",""XP_035679471.1"")"
Guanine nucleotide-binding protein G(o) subunit alpha [Caenorhabditis elegans],Caenorhabditis elegans,626,626,100%,0.0,82.20,354,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_492108.1?report=genbank&log$=prottop&blast_rank=5&RID=0CVM2TVY013"",""NP_492108.1"")"
GNAO1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,624,624,100%,0.0,81.36,354,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1269639.1?report=genbank&log$=prottop&blast_rank=6&RID=0CVM2TVY013"",""CAH1269639.1"")"
G-o protein alpha subunit [Caenorhabditis elegans],Caenorhabditis elegans,622,622,100%,0.0,81.64,354,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAA28059.1?report=genbank&log$=prottop&blast_rank=7&RID=0CVM2TVY013"",""AAA28059.1"")"
PREDICTED: guanine nucleotide-binding protein G(o) subunit alpha [Priapulus caudatus],Priapulus caudatus,614,614,100%,0.0,81.36,354,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014677622.1?report=genbank&log$=prottop&blast_rank=8&RID=0CVM2TVY013"",""XP_014677622.1"")"
PREDICTED: guanine nucleotide-binding protein G(o) subunit alpha [Priapulus caudatus],Priapulus caudatus,606,606,100%,0.0,81.07,354,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014680859.1?report=genbank&log$=prottop&blast_rank=9&RID=0CVM2TVY013"",""XP_014680859.1"")"
PREDICTED: guanine nucleotide-binding protein G(o) subunit alpha-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,602,602,100%,0.0,79.38,354,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006825080.1?report=genbank&log$=prottop&blast_rank=10&RID=0CVM2TVY013"",""XP_006825080.1"")"
