Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"nitric oxide synthase, brain-like isoform X4 [Branchiostoma floridae]",Branchiostoma floridae,1243,1243,97%,0.0,53.48,1463,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035691852.1?report=genbank&log$=prottop&blast_rank=1&RID=0AJ30M8A013"",""XP_035691852.1"")"
"nitric oxide synthase, brain-like isoform X2 [Branchiostoma floridae]",Branchiostoma floridae,1240,1240,97%,0.0,52.98,1475,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035691850.1?report=genbank&log$=prottop&blast_rank=2&RID=0AJ30M8A013"",""XP_035691850.1"")"
"nitric oxide synthase, brain-like isoform X1 [Branchiostoma floridae]",Branchiostoma floridae,1239,1239,97%,0.0,52.85,1476,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035691848.1?report=genbank&log$=prottop&blast_rank=3&RID=0AJ30M8A013"",""XP_035691848.1"")"
"nitric oxide synthase, brain-like isoform X3 [Branchiostoma floridae]",Branchiostoma floridae,1238,1238,97%,0.0,52.85,1473,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035691851.1?report=genbank&log$=prottop&blast_rank=4&RID=0AJ30M8A013"",""XP_035691851.1"")"
NOS1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1237,1237,96%,0.0,53.37,1463,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1232929.1?report=genbank&log$=prottop&blast_rank=5&RID=0AJ30M8A013"",""CAH1232929.1"")"
NOS1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1233,1233,96%,0.0,52.83,1471,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1232927.1?report=genbank&log$=prottop&blast_rank=6&RID=0AJ30M8A013"",""CAH1232927.1"")"
NOS1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1233,1233,96%,0.0,52.83,1474,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1232928.1?report=genbank&log$=prottop&blast_rank=7&RID=0AJ30M8A013"",""CAH1232928.1"")"
"nitric oxide synthase, brain-like [Asterias rubens]",Asterias rubens,1200,1200,94%,0.0,52.30,1685,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033628503.1?report=genbank&log$=prottop&blast_rank=8&RID=0AJ30M8A013"",""XP_033628503.1"")"
"nitric oxide synthase, brain isoform X2 [Strongylocentrotus purpuratus]",Strongylocentrotus purpuratus,1173,1173,98%,0.0,48.56,1801,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030847312.1?report=genbank&log$=prottop&blast_rank=9&RID=0AJ30M8A013"",""XP_030847312.1"")"
"LOW QUALITY PROTEIN: nitric oxide synthase, endothelial-like [Acropora millepora]",Acropora millepora,1172,1172,94%,0.0,50.78,1483,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029190735.2?report=genbank&log$=prottop&blast_rank=10&RID=0AJ30M8A013"",""XP_029190735.2"")"
