Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
mitogen-activated protein kinase [Ciona intestinalis],Ciona intestinalis,555,555,93%,0.0,40.58,813,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001071698.1?report=genbank&log$=prottop&blast_rank=1&RID=04PKJABC013"",""NP_001071698.1"")"
mitogen-activated protein kinase 7-like [Branchiostoma floridae],Branchiostoma floridae,534,627,57%,2e-172,65.10,1130,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035692155.1?report=genbank&log$=prottop&blast_rank=2&RID=04PKJABC013"",""XP_035692155.1"")"
MAPK7 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,527,623,64%,8e-170,65.00,1132,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1232433.1?report=genbank&log$=prottop&blast_rank=3&RID=04PKJABC013"",""CAH1232433.1"")"
uncharacterized protein LOC114960587 [Acropora millepora],Acropora millepora,502,502,43%,2e-160,63.94,1110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029194842.2?report=genbank&log$=prottop&blast_rank=4&RID=04PKJABC013"",""XP_029194842.2"")"
PREDICTED: mitogen-activated protein kinase 7-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,474,628,69%,9e-150,60.28,1101,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006818890.1?report=genbank&log$=prottop&blast_rank=5&RID=04PKJABC013"",""XP_006818890.1"")"
cyclin-dependent kinase-like 5 isoform X1 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,462,522,57%,2e-144,58.33,1199,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030847564.1?report=genbank&log$=prottop&blast_rank=6&RID=04PKJABC013"",""XP_030847564.1"")"
cyclin-dependent kinase-like 5 isoform X2 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,462,522,57%,2e-144,58.33,1198,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030847565.1?report=genbank&log$=prottop&blast_rank=7&RID=04PKJABC013"",""XP_030847565.1"")"
PREDICTED: mitogen-activated protein kinase 7-like [Octopus bimaculoides],Octopus bimaculoides,457,457,47%,4e-142,55.95,1216,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014785606.1?report=genbank&log$=prottop&blast_rank=8&RID=04PKJABC013"",""XP_014785606.1"")"
PREDICTED: mitogen-activated protein kinase 7-like [Amphimedon queenslandica],Amphimedon queenslandica,447,447,44%,2e-141,55.77,901,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003389469.1?report=genbank&log$=prottop&blast_rank=9&RID=04PKJABC013"",""XP_003389469.1"")"
mitogen-activated protein kinase 7-like [Asterias rubens],Asterias rubens,448,540,56%,6e-140,57.10,1117,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033627623.1?report=genbank&log$=prottop&blast_rank=10&RID=04PKJABC013"",""XP_033627623.1"")"
PREDICTED: uncharacterized protein LOC100213301 [Hydra vulgaris],Hydra vulgaris,447,447,42%,2e-139,59.77,1122,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012556163.1?report=genbank&log$=prottop&blast_rank=11&RID=04PKJABC013"",""XP_012556163.1"")"
PREDICTED: mitogen-activated protein kinase 7-like [Priapulus caudatus],Priapulus caudatus,436,436,54%,9e-138,50.33,857,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014677031.1?report=genbank&log$=prottop&blast_rank=12&RID=04PKJABC013"",""XP_014677031.1"")"
extracellular signal-regulated protein kinase [Dictyostelium discoideum],Dictyostelium discoideum,381,381,41%,2e-122,53.35,415,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAA59387.1?report=genbank&log$=prottop&blast_rank=13&RID=04PKJABC013"",""AAA59387.1"")"
extracellular signal-regulated protein kinase [Dictyostelium discoideum AX4],Dictyostelium discoideum AX4,382,382,41%,2e-121,52.49,529,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_637704.1?report=genbank&log$=prottop&blast_rank=14&RID=04PKJABC013"",""XP_637704.1"")"
mitogen-activated protein kinase 1-like [Acropora millepora],Acropora millepora,359,359,42%,1e-114,52.33,363,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029188819.1?report=genbank&log$=prottop&blast_rank=15&RID=04PKJABC013"",""XP_029188819.1"")"
TPA: MPKBMitogen-activated protein kinase; [Source:UniProtKB/TrEMBL;Acc:Q9UVK6] [Aspergillus nidulans FGSC A4],Aspergillus nidulans FGSC A4,357,357,41%,7e-114,53.20,354,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CBF75537.1?report=genbank&log$=prottop&blast_rank=16&RID=04PKJABC013"",""CBF75537.1"")"
CMGC/MAPK protein kinase [Salpingoeca rosetta],Salpingoeca rosetta,374,374,42%,8e-114,49.71,900,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004991146.1?report=genbank&log$=prottop&blast_rank=17&RID=04PKJABC013"",""XP_004991146.1"")"
hypothetical protein AN3719.2 [Aspergillus nidulans FGSC A4],Aspergillus nidulans FGSC A4,356,356,41%,1e-113,52.75,361,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_661323.1?report=genbank&log$=prottop&blast_rank=18&RID=04PKJABC013"",""XP_661323.1"")"
PREDICTED: mitogen-activated protein kinase 1-like [Amphimedon queenslandica],Amphimedon queenslandica,352,352,41%,3e-112,50.73,356,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003388915.1?report=genbank&log$=prottop&blast_rank=19&RID=04PKJABC013"",""XP_003388915.1"")"
mitogen-activated protein kinase 1-like [Branchiostoma floridae],Branchiostoma floridae,352,352,41%,4e-112,51.03,358,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035691013.1?report=genbank&log$=prottop&blast_rank=20&RID=04PKJABC013"",""XP_035691013.1"")"
Slt2p [Saccharomyces cerevisiae YJM1078],Saccharomyces cerevisiae YJM1078,356,356,43%,6e-112,48.60,484,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AJP39127.1?report=genbank&log$=prottop&blast_rank=21&RID=04PKJABC013"",""AJP39127.1"")"
MAP kinase [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,351,351,41%,1e-111,50.58,369,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_999813.1?report=genbank&log$=prottop&blast_rank=22&RID=04PKJABC013"",""NP_999813.1"")"
mitogen-activated protein kinase [Ciona intestinalis],Ciona intestinalis,350,350,40%,3e-111,52.54,350,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001071697.1?report=genbank&log$=prottop&blast_rank=23&RID=04PKJABC013"",""NP_001071697.1"")"
Mitogen-activated protein kinase [Fusarium culmorum],Fusarium culmorum,348,348,41%,1e-110,51.74,355,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PTD04958.1?report=genbank&log$=prottop&blast_rank=24&RID=04PKJABC013"",""PTD04958.1"")"
EM14S01-3B_G0054420.mRNA.1.CDS.1 [Saccharomyces cerevisiae],Saccharomyces cerevisiae,352,352,43%,2e-110,48.32,474,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAD6627624.1?report=genbank&log$=prottop&blast_rank=25&RID=04PKJABC013"",""CAD6627624.1"")"
SLT2 [Saccharomyces cerevisiae],Saccharomyces cerevisiae,352,352,43%,2e-110,48.32,476,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KZV10752.1?report=genbank&log$=prottop&blast_rank=26&RID=04PKJABC013"",""KZV10752.1"")"
XXYS1_4_G0000810.mRNA.1.CDS.1 [Saccharomyces cerevisiae],Saccharomyces cerevisiae,352,352,43%,2e-110,48.32,478,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAD6629613.1?report=genbank&log$=prottop&blast_rank=27&RID=04PKJABC013"",""CAD6629613.1"")"
Slt2p [Saccharomyces cerevisiae AWRI796],Saccharomyces cerevisiae AWRI796,352,352,43%,2e-110,48.32,484,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EGA74741.1?report=genbank&log$=prottop&blast_rank=28&RID=04PKJABC013"",""EGA74741.1"")"
Slt2p [Saccharomyces cerevisiae YJM1399],Saccharomyces cerevisiae YJM1399,352,352,43%,2e-110,48.32,478,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AJU18371.1?report=genbank&log$=prottop&blast_rank=29&RID=04PKJABC013"",""AJU18371.1"")"
Slt2p [Saccharomyces cerevisiae YJM1386],Saccharomyces cerevisiae YJM1386,352,352,43%,2e-110,48.32,482,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AJU17352.1?report=genbank&log$=prottop&blast_rank=30&RID=04PKJABC013"",""AJU17352.1"")"
