Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
ROCK2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1416,1416,99%,0.0,53.13,1410,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1253529.1?report=genbank&log$=prottop&blast_rank=1&RID=0CM40SFU013"",""CAH1253529.1"")"
ROCK2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1415,1415,96%,0.0,54.19,1466,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1253530.1?report=genbank&log$=prottop&blast_rank=2&RID=0CM40SFU013"",""CAH1253530.1"")"
ROCK2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1390,1390,96%,0.0,52.17,1470,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1253531.1?report=genbank&log$=prottop&blast_rank=3&RID=0CM40SFU013"",""CAH1253531.1"")"
rho-associated protein kinase 2 isoform X3 [Ciona intestinalis],Ciona intestinalis,1275,1275,98%,0.0,49.85,1382,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018667972.1?report=genbank&log$=prottop&blast_rank=4&RID=0CM40SFU013"",""XP_018667972.1"")"
rho-associated protein kinase 2 isoform X1 [Ciona intestinalis],Ciona intestinalis,1274,1274,98%,0.0,49.85,1523,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026691088.1?report=genbank&log$=prottop&blast_rank=5&RID=0CM40SFU013"",""XP_026691088.1"")"
rho-associated protein kinase 2 isoform X2 [Ciona intestinalis],Ciona intestinalis,1265,1265,98%,0.0,50.29,1516,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026691089.1?report=genbank&log$=prottop&blast_rank=6&RID=0CM40SFU013"",""XP_026691089.1"")"
rho-associated protein kinase 2-like isoform X1 [Acropora millepora],Acropora millepora,1257,1257,98%,0.0,48.77,1390,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029194534.2?report=genbank&log$=prottop&blast_rank=7&RID=0CM40SFU013"",""XP_029194534.2"")"
rho-associated protein kinase 2-like isoform X2 [Acropora millepora],Acropora millepora,1256,1256,98%,0.0,48.73,1387,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029194535.2?report=genbank&log$=prottop&blast_rank=8&RID=0CM40SFU013"",""XP_029194535.2"")"
rho kinase isoform X2 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,1193,1193,98%,0.0,47.62,1363,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030838507.1?report=genbank&log$=prottop&blast_rank=9&RID=0CM40SFU013"",""XP_030838507.1"")"
rho kinase isoform X1 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,1192,1192,98%,0.0,47.51,1367,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030838506.1?report=genbank&log$=prottop&blast_rank=10&RID=0CM40SFU013"",""XP_030838506.1"")"
