Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
myosin regulatory light chain 12B-like isoform X2 [Branchiostoma floridae],Branchiostoma floridae,281,281,100%,2e-95,83.72,202,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035666183.1?report=genbank&log$=prottop&blast_rank=1&RID=6ZXE759N01N"",""XP_035666183.1"")"
MYL12B [Branchiostoma lanceolatum],Branchiostoma lanceolatum,280,280,100%,2e-95,83.72,172,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1252893.1?report=genbank&log$=prottop&blast_rank=2&RID=6ZXE759N01N"",""CAH1252893.1"")"
myosin regulatory light chain 12B-like isoform X5 [Branchiostoma floridae],Branchiostoma floridae,280,280,100%,3e-95,83.72,172,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035666186.1?report=genbank&log$=prottop&blast_rank=3&RID=6ZXE759N01N"",""XP_035666186.1"")"
PREDICTED: myosin regulatory light polypeptide 9-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,275,275,89%,2e-93,86.36,175,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002740099.1?report=genbank&log$=prottop&blast_rank=4&RID=6ZXE759N01N"",""XP_002740099.1"")"
myosin regulatory light polypeptide 9-like [Asterias rubens],Asterias rubens,269,269,100%,3e-91,80.23,176,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033644784.1?report=genbank&log$=prottop&blast_rank=5&RID=6ZXE759N01N"",""XP_033644784.1"")"
PREDICTED: myosin regulatory light chain 12B-like [Priapulus caudatus],Priapulus caudatus,266,266,89%,9e-90,82.47,172,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014671255.1?report=genbank&log$=prottop&blast_rank=6&RID=6ZXE759N01N"",""XP_014671255.1"")"
MYL12B [Branchiostoma lanceolatum],Branchiostoma lanceolatum,261,261,100%,7e-88,76.74,176,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1252894.1?report=genbank&log$=prottop&blast_rank=7&RID=6ZXE759N01N"",""CAH1252894.1"")"
MYL12B [Branchiostoma lanceolatum],Branchiostoma lanceolatum,261,261,100%,8e-88,76.74,184,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1252892.1?report=genbank&log$=prottop&blast_rank=8&RID=6ZXE759N01N"",""CAH1252892.1"")"
myosin regulatory light chain 12B-like isoform X1 [Branchiostoma floridae],Branchiostoma floridae,261,261,100%,2e-87,76.16,206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035666182.1?report=genbank&log$=prottop&blast_rank=9&RID=6ZXE759N01N"",""XP_035666182.1"")"
myosin regulatory light chain 12B-like isoform X3 [Branchiostoma floridae],Branchiostoma floridae,259,259,100%,4e-87,76.16,184,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035666184.1?report=genbank&log$=prottop&blast_rank=10&RID=6ZXE759N01N"",""XP_035666184.1"")"
myosin regulatory light chain 12B-like isoform X4 [Branchiostoma floridae],Branchiostoma floridae,259,259,100%,4e-87,76.16,176,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035666185.1?report=genbank&log$=prottop&blast_rank=11&RID=6ZXE759N01N"",""XP_035666185.1"")"
myosin regulatory light chain 12A [Ciona intestinalis],Ciona intestinalis,257,257,89%,2e-86,80.00,173,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002123809.1?report=genbank&log$=prottop&blast_rank=12&RID=6ZXE759N01N"",""XP_002123809.1"")"
myosin regulatory light chain [Ephydatia muelleri],Ephydatia muelleri,252,252,88%,2e-84,76.97,171,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ALB75315.1?report=genbank&log$=prottop&blast_rank=13&RID=6ZXE759N01N"",""ALB75315.1"")"
myosin regulatory light chain 12B-like [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,248,248,87%,6e-83,79.47,169,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030838537.1?report=genbank&log$=prottop&blast_rank=14&RID=6ZXE759N01N"",""XP_030838537.1"")"
PREDICTED: myosin regulatory light chain 12B-like isoform X2 [Amphimedon queenslandica],Amphimedon queenslandica,248,248,87%,1e-82,77.63,172,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011409933.1?report=genbank&log$=prottop&blast_rank=15&RID=6ZXE759N01N"",""XP_011409933.1"")"
myosin regulatory light chain 12B [Hydra vulgaris],Hydra vulgaris,248,248,88%,1e-82,79.61,170,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002156446.1?report=genbank&log$=prottop&blast_rank=16&RID=6ZXE759N01N"",""XP_002156446.1"")"
myosin regulatory light chain RLC-A-like [Acropora millepora],Acropora millepora,243,243,89%,8e-81,74.03,172,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029200657.1?report=genbank&log$=prottop&blast_rank=17&RID=6ZXE759N01N"",""XP_029200657.1"")"
myosin regulatory light chain 12B-like [Acropora millepora],Acropora millepora,243,243,89%,1e-80,74.68,171,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029200658.1?report=genbank&log$=prottop&blast_rank=18&RID=6ZXE759N01N"",""XP_029200658.1"")"
Myosin regulatory light chain [Caenorhabditis elegans],Caenorhabditis elegans,241,241,89%,3e-80,74.36,172,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_497700.1?report=genbank&log$=prottop&blast_rank=19&RID=6ZXE759N01N"",""NP_497700.1"")"
PREDICTED: myosin regulatory light chain 12B-like isoform X1 [Amphimedon queenslandica],Amphimedon queenslandica,238,238,87%,2e-78,69.82,189,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_019864414.1?report=genbank&log$=prottop&blast_rank=20&RID=6ZXE759N01N"",""XP_019864414.1"")"
myosin regulatory light polypeptide 9-like [Acropora millepora],Acropora millepora,231,231,87%,4e-76,72.85,170,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029204021.1?report=genbank&log$=prottop&blast_rank=21&RID=6ZXE759N01N"",""XP_029204021.1"")"
myosin regulatory light chain 12A [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,228,228,88%,9e-75,70.59,180,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_783666.1?report=genbank&log$=prottop&blast_rank=22&RID=6ZXE759N01N"",""XP_783666.1"")"
myosin regulatory light chain 12B-like [Asterias rubens],Asterias rubens,228,228,88%,6e-74,69.28,223,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033633003.1?report=genbank&log$=prottop&blast_rank=23&RID=6ZXE759N01N"",""XP_033633003.1"")"
regulatory myosin light chain short version [Salpingoeca rosetta],Salpingoeca rosetta,222,222,88%,1e-72,69.48,169,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004998924.1?report=genbank&log$=prottop&blast_rank=24&RID=6ZXE759N01N"",""XP_004998924.1"")"
"PREDICTED: myosin regulatory light chain 2, smooth muscle major isoform-like [Saccoglossus kowalevskii]",Saccoglossus kowalevskii,208,208,88%,7e-67,62.75,178,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002742154.1?report=genbank&log$=prottop&blast_rank=25&RID=6ZXE759N01N"",""XP_002742154.1"")"
myosin regulatory light chain 12A-like [Acropora millepora],Acropora millepora,204,204,87%,2e-65,64.90,171,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029209303.1?report=genbank&log$=prottop&blast_rank=26&RID=6ZXE759N01N"",""XP_029209303.1"")"
myosin regulatory light chain sqh [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,204,204,88%,5e-65,64.71,191,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003727993.1?report=genbank&log$=prottop&blast_rank=27&RID=6ZXE759N01N"",""XP_003727993.1"")"
uncharacterized protein MONBRDRAFT_14254 [Monosiga brevicollis MX1],Monosiga brevicollis MX1,200,200,88%,6e-64,62.99,178,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_001743432.1?report=genbank&log$=prottop&blast_rank=28&RID=6ZXE759N01N"",""XP_001743432.1"")"
myosin regulatory light chain 12B-like [Acropora millepora],Acropora millepora,194,194,87%,1e-61,60.93,172,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029209315.1?report=genbank&log$=prottop&blast_rank=29&RID=6ZXE759N01N"",""XP_029209315.1"")"
"myosin regulatory light chain, smooth muscle isoform X3 [Ciona intestinalis]",Ciona intestinalis,176,176,86%,2e-54,56.08,171,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002125039.1?report=genbank&log$=prottop&blast_rank=30&RID=6ZXE759N01N"",""XP_002125039.1"")"
"PREDICTED: myosin regulatory light chain 2, ventricular/cardiac muscle isoform-like [Priapulus caudatus]",Priapulus caudatus,176,176,86%,3e-54,56.08,187,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014671068.1?report=genbank&log$=prottop&blast_rank=31&RID=6ZXE759N01N"",""XP_014671068.1"")"
myosin regulatory light chain 12B-like isoform X1 [Branchiostoma floridae],Branchiostoma floridae,175,175,88%,4e-54,52.90,173,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035666543.1?report=genbank&log$=prottop&blast_rank=32&RID=6ZXE759N01N"",""XP_035666543.1"")"
"myosin regulatory light chain, smooth muscle isoform X1 [Ciona intestinalis]",Ciona intestinalis,175,175,86%,5e-54,56.08,173,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026691391.1?report=genbank&log$=prottop&blast_rank=33&RID=6ZXE759N01N"",""XP_026691391.1"")"
MYL12B [Branchiostoma lanceolatum],Branchiostoma lanceolatum,175,175,88%,5e-54,52.90,173,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1254492.1?report=genbank&log$=prottop&blast_rank=34&RID=6ZXE759N01N"",""CAH1254492.1"")"
PREDICTED: myosin regulatory light chain sqh-like [Priapulus caudatus],Priapulus caudatus,171,171,87%,1e-52,55.63,171,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014665527.1?report=genbank&log$=prottop&blast_rank=35&RID=6ZXE759N01N"",""XP_014665527.1"")"
"myosin regulatory light chain, smooth muscle isoform X4 [Ciona intestinalis]",Ciona intestinalis,170,170,86%,5e-52,55.41,171,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002125168.1?report=genbank&log$=prottop&blast_rank=36&RID=6ZXE759N01N"",""XP_002125168.1"")"
"myosin regulatory light chain, smooth muscle isoform X2 [Ciona intestinalis]",Ciona intestinalis,169,169,86%,8e-52,55.41,173,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002125107.1?report=genbank&log$=prottop&blast_rank=37&RID=6ZXE759N01N"",""XP_002125107.1"")"
"myosin regulatory light chain, smooth muscle-like [Ciona intestinalis]",Ciona intestinalis,161,161,86%,2e-48,53.02,171,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002123134.1?report=genbank&log$=prottop&blast_rank=38&RID=6ZXE759N01N"",""XP_002123134.1"")"
myosin regulatory light chain 12B-like isoform X2 [Branchiostoma floridae],Branchiostoma floridae,160,160,86%,4e-48,55.03,168,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035673331.1?report=genbank&log$=prottop&blast_rank=39&RID=6ZXE759N01N"",""XP_035673331.1"")"
MYL12B [Branchiostoma lanceolatum],Branchiostoma lanceolatum,151,151,96%,1e-44,48.19,167,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1261933.1?report=genbank&log$=prottop&blast_rank=40&RID=6ZXE759N01N"",""CAH1261933.1"")"
"myosin regulatory light chain, smooth muscle-like [Branchiostoma floridae]",Branchiostoma floridae,151,151,86%,2e-44,49.33,171,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035666541.1?report=genbank&log$=prottop&blast_rank=41&RID=6ZXE759N01N"",""XP_035666541.1"")"
myosin regulatory light chain 12B-like isoform X1 [Branchiostoma floridae],Branchiostoma floridae,150,150,86%,4e-44,53.02,168,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035673330.1?report=genbank&log$=prottop&blast_rank=42&RID=6ZXE759N01N"",""XP_035673330.1"")"
MYL12A [Branchiostoma lanceolatum],Branchiostoma lanceolatum,150,150,86%,4e-44,49.33,174,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1255137.1?report=genbank&log$=prottop&blast_rank=43&RID=6ZXE759N01N"",""CAH1255137.1"")"
MYL12B [Branchiostoma lanceolatum],Branchiostoma lanceolatum,148,148,96%,2e-43,47.59,167,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1261932.1?report=genbank&log$=prottop&blast_rank=44&RID=6ZXE759N01N"",""CAH1261932.1"")"
myosin regulatory light polypeptide 9-like isoform X2 [Branchiostoma floridae],Branchiostoma floridae,148,148,86%,2e-43,47.30,167,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035687302.1?report=genbank&log$=prottop&blast_rank=45&RID=6ZXE759N01N"",""XP_035687302.1"")"
MYL12B [Branchiostoma lanceolatum],Branchiostoma lanceolatum,147,147,86%,3e-43,51.68,168,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1258513.1?report=genbank&log$=prottop&blast_rank=46&RID=6ZXE759N01N"",""CAH1258513.1"")"
myosin regulatory light chain 12A-like [Branchiostoma floridae],Branchiostoma floridae,147,147,84%,8e-43,51.35,169,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035673329.1?report=genbank&log$=prottop&blast_rank=47&RID=6ZXE759N01N"",""XP_035673329.1"")"
MYL12A [Branchiostoma lanceolatum],Branchiostoma lanceolatum,146,146,84%,9e-43,51.35,169,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1258514.1?report=genbank&log$=prottop&blast_rank=48&RID=6ZXE759N01N"",""CAH1258514.1"")"
myosin regulatory light polypeptide 9-like isoform X1 [Branchiostoma floridae],Branchiostoma floridae,145,145,96%,3e-42,45.78,167,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035687293.1?report=genbank&log$=prottop&blast_rank=49&RID=6ZXE759N01N"",""XP_035687293.1"")"
EF-hand domain-containing protein [Escherichia coli],Escherichia coli,140,140,83%,3e-40,47.59,170,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_126755809.1?report=genbank&log$=prottop&blast_rank=50&RID=6ZXE759N01N"",""WP_126755809.1"")"
EF-hand domain-containing protein [Escherichia coli],Escherichia coli,137,137,84%,3e-39,46.94,170,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_152921971.1?report=genbank&log$=prottop&blast_rank=51&RID=6ZXE759N01N"",""WP_152921971.1"")"
MYL9 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,138,138,85%,3e-39,45.03,176,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1255136.1?report=genbank&log$=prottop&blast_rank=52&RID=6ZXE759N01N"",""CAH1255136.1"")"
myosin regulatory light polypeptide 9-like [Acropora millepora],Acropora millepora,138,138,85%,3e-39,41.89,196,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029202152.2?report=genbank&log$=prottop&blast_rank=53&RID=6ZXE759N01N"",""XP_029202152.2"")"
Myosin regulatory light chain 1 [Caenorhabditis elegans],Caenorhabditis elegans,137,137,84%,4e-39,46.94,170,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_510829.2?report=genbank&log$=prottop&blast_rank=54&RID=6ZXE759N01N"",""NP_510829.2"")"
