Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"inositol 1,4,5-trisphosphate receptor-like [Asterias rubens]",Asterias rubens,3311,3311,99%,0.0,61.19,2752,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033643069.1?report=genbank&log$=prottop&blast_rank=1&RID=059R0MGP01R"",""XP_033643069.1"")"
ITPR1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,3306,3306,99%,0.0,60.63,2783,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1265900.1?report=genbank&log$=prottop&blast_rank=2&RID=059R0MGP01R"",""CAH1265900.1"")"
ITPR1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,3305,3305,99%,0.0,60.26,2802,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1265903.1?report=genbank&log$=prottop&blast_rank=3&RID=059R0MGP01R"",""CAH1265903.1"")"
ITPR1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,3304,3304,99%,0.0,60.13,2808,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1265902.1?report=genbank&log$=prottop&blast_rank=4&RID=059R0MGP01R"",""CAH1265902.1"")"
ITPR1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,3304,3304,99%,0.0,60.03,2816,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1265901.1?report=genbank&log$=prottop&blast_rank=5&RID=059R0MGP01R"",""CAH1265901.1"")"
ITPR1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,3296,3296,99%,0.0,59.93,2821,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1265898.1?report=genbank&log$=prottop&blast_rank=6&RID=059R0MGP01R"",""CAH1265898.1"")"
ITPR1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,3292,3292,99%,0.0,59.87,2822,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1265899.1?report=genbank&log$=prottop&blast_rank=7&RID=059R0MGP01R"",""CAH1265899.1"")"
ITPR1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,3272,3272,99%,0.0,58.99,2885,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1265904.1?report=genbank&log$=prottop&blast_rank=8&RID=059R0MGP01R"",""CAH1265904.1"")"
ITPR1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,3261,3261,99%,0.0,58.98,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1265905.1?report=genbank&log$=prottop&blast_rank=9&RID=059R0MGP01R"",""CAH1265905.1"")"
"inositol 1,4,5-trisphosphate receptor isoform X10 [Strongylocentrotus purpuratus]",Strongylocentrotus purpuratus,3197,3197,99%,0.0,58.68,2783,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030828261.1?report=genbank&log$=prottop&blast_rank=10&RID=059R0MGP01R"",""XP_030828261.1"")"
