Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
ITPR1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,3674,3674,99%,0.0,66.82,2783,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1265900.1?report=genbank&log$=prottop&blast_rank=1&RID=059PCN1801R"",""CAH1265900.1"")"
"inositol 1,4,5-trisphosphate receptor-like [Asterias rubens]",Asterias rubens,3657,3657,99%,0.0,66.80,2752,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033643069.1?report=genbank&log$=prottop&blast_rank=2&RID=059PCN1801R"",""XP_033643069.1"")"
ITPR1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,3652,3652,99%,0.0,66.01,2816,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1265901.1?report=genbank&log$=prottop&blast_rank=3&RID=059PCN1801R"",""CAH1265901.1"")"
ITPR1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,3650,3650,99%,0.0,65.84,2822,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1265899.1?report=genbank&log$=prottop&blast_rank=4&RID=059PCN1801R"",""CAH1265899.1"")"
ITPR1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,3650,3650,99%,0.0,66.00,2802,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1265903.1?report=genbank&log$=prottop&blast_rank=5&RID=059PCN1801R"",""CAH1265903.1"")"
ITPR1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,3649,3649,99%,0.0,65.86,2821,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1265898.1?report=genbank&log$=prottop&blast_rank=6&RID=059PCN1801R"",""CAH1265898.1"")"
ITPR1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,3618,3618,99%,0.0,65.31,2808,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1265902.1?report=genbank&log$=prottop&blast_rank=7&RID=059PCN1801R"",""CAH1265902.1"")"
ITPR1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,3606,3606,99%,0.0,64.41,2885,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1265904.1?report=genbank&log$=prottop&blast_rank=8&RID=059PCN1801R"",""CAH1265904.1"")"
ITPR1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,3605,3605,99%,0.0,64.52,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1265905.1?report=genbank&log$=prottop&blast_rank=9&RID=059PCN1801R"",""CAH1265905.1"")"
"inositol 1,4,5-trisphosphate receptor isoform X3 [Strongylocentrotus purpuratus]",Strongylocentrotus purpuratus,3540,3540,99%,0.0,63.81,2818,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030828254.1?report=genbank&log$=prottop&blast_rank=10&RID=059PCN1801R"",""XP_030828254.1"")"
"inositol 1,4,5-trisphosphate receptor isoform X7 [Strongylocentrotus purpuratus]",Strongylocentrotus purpuratus,3536,3536,99%,0.0,63.83,2804,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030828258.1?report=genbank&log$=prottop&blast_rank=11&RID=059PCN1801R"",""XP_030828258.1"")"
"inositol 1,4,5-trisphosphate receptor isoform X6 [Strongylocentrotus purpuratus]",Strongylocentrotus purpuratus,3531,3531,99%,0.0,63.72,2809,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030828257.1?report=genbank&log$=prottop&blast_rank=12&RID=059PCN1801R"",""XP_030828257.1"")"
"inositol 1,4,5-trisphosphate receptor isoform X1 [Strongylocentrotus purpuratus]",Strongylocentrotus purpuratus,3531,3531,99%,0.0,63.56,2820,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030828252.1?report=genbank&log$=prottop&blast_rank=13&RID=059PCN1801R"",""XP_030828252.1"")"
