Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
mitogen-activated protein kinase 1 [Gallus gallus],Gallus gallus,736,736,99%,0.0,98.33,368,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_989481.1?report=genbank&log$=prottop&blast_rank=1&RID=0YX64Z76013"",""NP_989481.1"")"
mitogen-activated protein kinase 1 [Xenopus tropicalis],Xenopus tropicalis,725,725,99%,0.0,96.40,361,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001017127.1?report=genbank&log$=prottop&blast_rank=2&RID=0YX64Z76013"",""NP_001017127.1"")"
Mitogen-activated protein kinase 1 [Danio rerio],Danio rerio,705,705,99%,0.0,92.86,369,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAH65868.1?report=genbank&log$=prottop&blast_rank=3&RID=0YX64Z76013"",""AAH65868.1"")"
mitogen-activated protein kinase 1 [Carcharodon carcharias],Carcharodon carcharias,704,704,99%,0.0,93.65,364,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041058004.1?report=genbank&log$=prottop&blast_rank=4&RID=0YX64Z76013"",""XP_041058004.1"")"
mitogen-activated protein kinase 1 [Danio rerio],Danio rerio,702,702,99%,0.0,92.58,369,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_878308.2?report=genbank&log$=prottop&blast_rank=5&RID=0YX64Z76013"",""NP_878308.2"")"
ERK2 [Danio rerio],Danio rerio,698,698,99%,0.0,92.03,369,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAB11813.1?report=genbank&log$=prottop&blast_rank=6&RID=0YX64Z76013"",""BAB11813.1"")"
extracellular signal-regulated kinase 2 [Danio rerio],Danio rerio,696,696,99%,0.0,92.03,369,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAY57805.1?report=genbank&log$=prottop&blast_rank=7&RID=0YX64Z76013"",""AAY57805.1"")"
mitogen-activated protein kinase 1 [Petromyzon marinus],Petromyzon marinus,681,681,98%,0.0,90.14,362,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032803009.1?report=genbank&log$=prottop&blast_rank=8&RID=0YX64Z76013"",""XP_032803009.1"")"
mitogen-activated protein kinase 3 [Danio rerio],Danio rerio,663,663,99%,0.0,87.19,392,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_958915.1?report=genbank&log$=prottop&blast_rank=9&RID=0YX64Z76013"",""NP_958915.1"")"
ERK1 [Danio rerio],Danio rerio,663,663,99%,0.0,87.19,391,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAB11812.1?report=genbank&log$=prottop&blast_rank=10&RID=0YX64Z76013"",""BAB11812.1"")"
mitogen-activated protein kinase 1-like isoform X2 [Petromyzon marinus],Petromyzon marinus,588,588,96%,0.0,77.46,373,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032836506.1?report=genbank&log$=prottop&blast_rank=11&RID=0YX64Z76013"",""XP_032836506.1"")"
hypothetical protein XENTR_v10002416 [Xenopus tropicalis],Xenopus tropicalis,580,580,79%,0.0,96.54,300,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAE8634728.1?report=genbank&log$=prottop&blast_rank=12&RID=0YX64Z76013"",""KAE8634728.1"")"
mitogen-activated protein kinase 1-like isoform X1 [Petromyzon marinus],Petromyzon marinus,566,566,96%,0.0,68.54,418,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032836504.1?report=genbank&log$=prottop&blast_rank=13&RID=0YX64Z76013"",""XP_032836504.1"")"
hypothetical protein XENTR_v10002416 [Xenopus tropicalis],Xenopus tropicalis,528,528,71%,0.0,98.05,305,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAE8634727.1?report=genbank&log$=prottop&blast_rank=14&RID=0YX64Z76013"",""KAE8634727.1"")"
