Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
PLCB3 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,973,973,94%,0.0,43.95,1307,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1262320.1?report=genbank&log$=prottop&blast_rank=1&RID=04UFZ0UK01R"",""CAH1262320.1"")"
PLCB3 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,968,968,94%,0.0,43.67,1314,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1262319.1?report=genbank&log$=prottop&blast_rank=2&RID=04UFZ0UK01R"",""CAH1262319.1"")"
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1-like isoform X5 [Acropora millepora]",Acropora millepora,841,841,92%,0.0,41.31,1217,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029211310.2?report=genbank&log$=prottop&blast_rank=3&RID=04UFZ0UK01R"",""XP_029211310.2"")"
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1-like isoform X4 [Acropora millepora]",Acropora millepora,836,836,92%,0.0,40.87,1228,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029211309.2?report=genbank&log$=prottop&blast_rank=4&RID=04UFZ0UK01R"",""XP_029211309.2"")"
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1-like [Branchiostoma floridae]",Branchiostoma floridae,832,832,87%,0.0,42.18,1227,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035690412.1?report=genbank&log$=prottop&blast_rank=5&RID=04UFZ0UK01R"",""XP_035690412.1"")"
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1-like isoform X7 [Acropora millepora]",Acropora millepora,827,827,69%,0.0,49.14,1229,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_044183478.1?report=genbank&log$=prottop&blast_rank=6&RID=04UFZ0UK01R"",""XP_044183478.1"")"
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1-like isoform X1 [Acropora millepora]",Acropora millepora,827,827,69%,0.0,49.14,1242,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029211305.2?report=genbank&log$=prottop&blast_rank=7&RID=04UFZ0UK01R"",""XP_029211305.2"")"
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1-like isoform X2 [Acropora millepora]",Acropora millepora,827,827,69%,0.0,49.14,1240,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029211307.2?report=genbank&log$=prottop&blast_rank=8&RID=04UFZ0UK01R"",""XP_029211307.2"")"
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1-like isoform X3 [Acropora millepora]",Acropora millepora,825,825,69%,0.0,49.14,1231,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029211308.2?report=genbank&log$=prottop&blast_rank=9&RID=04UFZ0UK01R"",""XP_029211308.2"")"
"PREDICTED: 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase classes I and II-like isoform X2 [Priapulus caudatus]",Priapulus caudatus,807,807,86%,0.0,40.62,1154,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014674758.1?report=genbank&log$=prottop&blast_rank=10&RID=04UFZ0UK01R"",""XP_014674758.1"")"
