Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
mesotocin receptor-like [Branchiostoma floridae],Branchiostoma floridae,266,266,96%,5e-84,38.26,363,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661732.1?report=genbank&log$=prottop&blast_rank=1&RID=0848YD4Y013"",""XP_035661732.1"")"
AVPR1B [Branchiostoma lanceolatum],Branchiostoma lanceolatum,265,265,83%,2e-82,41.99,460,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1249079.1?report=genbank&log$=prottop&blast_rank=2&RID=0848YD4Y013"",""CAH1249079.1"")"
RecName: Full=Annetocin receptor [Eisenia fetida],Eisenia fetida,259,259,91%,2e-80,40.15,420,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q75W84.1?report=genbank&log$=prottop&blast_rank=3&RID=0848YD4Y013"",""Q75W84.1"")"
AVPR1B [Branchiostoma lanceolatum],Branchiostoma lanceolatum,260,260,79%,3e-80,40.82,472,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1249255.1?report=genbank&log$=prottop&blast_rank=4&RID=0848YD4Y013"",""CAH1249255.1"")"
PREDICTED: cephalotocin receptor 2-like [Priapulus caudatus],Priapulus caudatus,256,256,95%,1e-78,39.63,457,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014669368.1?report=genbank&log$=prottop&blast_rank=5&RID=0848YD4Y013"",""XP_014669368.1"")"
oxytocin receptor [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,249,249,96%,5e-76,36.34,461,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030830858.1?report=genbank&log$=prottop&blast_rank=6&RID=0848YD4Y013"",""XP_030830858.1"")"
oxytocin receptor-like [Asterias rubens],Asterias rubens,246,246,99%,2e-75,35.68,428,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033628530.1?report=genbank&log$=prottop&blast_rank=7&RID=0848YD4Y013"",""XP_033628530.1"")"
GPCR vasopressin/oxytocin-type receptor [Asterias rubens],Asterias rubens,246,246,97%,3e-75,35.56,428,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QDJ94358.1?report=genbank&log$=prottop&blast_rank=8&RID=0848YD4Y013"",""QDJ94358.1"")"
RecName: Full=Cephalotocin receptor 1; AltName: Full=OC/CE-R 1; AltName: Full=OT/VP superfamily peptide receptor 1 [Octopus vulgaris],Octopus vulgaris,244,244,83%,1e-74,40.41,397,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q7YW31.1?report=genbank&log$=prottop&blast_rank=9&RID=0848YD4Y013"",""Q7YW31.1"")"
oxytocin receptor-like [Branchiostoma floridae],Branchiostoma floridae,224,224,71%,3e-68,40.91,320,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035660834.1?report=genbank&log$=prottop&blast_rank=10&RID=0848YD4Y013"",""XP_035660834.1"")"
cephalotocin receptor 2 [Octopus vulgaris],Octopus vulgaris,226,226,88%,2e-67,35.87,423,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAD67171.1?report=genbank&log$=prottop&blast_rank=11&RID=0848YD4Y013"",""BAD67171.1"")"
RecName: Full=Cephalotocin receptor 2 [Octopus vulgaris],Octopus vulgaris,226,226,88%,2e-67,35.87,426,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q5WA50.1?report=genbank&log$=prottop&blast_rank=12&RID=0848YD4Y013"",""Q5WA50.1"")"
PREDICTED: annetocin receptor-like [Priapulus caudatus],Priapulus caudatus,218,218,91%,3e-65,35.01,367,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014664152.1?report=genbank&log$=prottop&blast_rank=13&RID=0848YD4Y013"",""XP_014664152.1"")"
PREDICTED: cephalotocin receptor 1 [Octopus bimaculoides],Octopus bimaculoides,215,215,76%,2e-64,37.82,327,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014782556.1?report=genbank&log$=prottop&blast_rank=14&RID=0848YD4Y013"",""XP_014782556.1"")"
PREDICTED: vasopressin V1a receptor-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,214,214,78%,3e-63,38.97,413,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002735546.2?report=genbank&log$=prottop&blast_rank=15&RID=0848YD4Y013"",""XP_002735546.2"")"
vasopressin/oxytocin-related peptide receptor [Ciona intestinalis],Ciona intestinalis,213,213,87%,6e-63,36.03,404,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001129314.1?report=genbank&log$=prottop&blast_rank=16&RID=0848YD4Y013"",""NP_001129314.1"")"
hypothetical protein OCBIM_22029503mg [Octopus bimaculoides],Octopus bimaculoides,213,213,92%,2e-62,35.70,427,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF97435.1?report=genbank&log$=prottop&blast_rank=17&RID=0848YD4Y013"",""KOF97435.1"")"
PREDICTED: cephalotocin receptor 2 [Octopus bimaculoides],Octopus bimaculoides,213,213,92%,2e-62,35.70,425,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014788521.1?report=genbank&log$=prottop&blast_rank=18&RID=0848YD4Y013"",""XP_014788521.1"")"
