Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
protein kinase C beta2 [Eptatretus burgeri],Eptatretus burgeri,1100,1100,96%,0.0,79.42,667,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AYD75722.1?report=genbank&log$=prottop&blast_rank=1&RID=04URP884016"",""AYD75722.1"")"
protein kinase C beta1 [Eptatretus burgeri],Eptatretus burgeri,1073,1073,96%,0.0,77.03,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AYD75721.1?report=genbank&log$=prottop&blast_rank=2&RID=04URP884016"",""AYD75721.1"")"
PRKCB [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1045,1045,98%,0.0,76.55,684,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1273977.1?report=genbank&log$=prottop&blast_rank=3&RID=04URP884016"",""CAH1273977.1"")"
protein kinase C alpha type-like isoform X4 [Branchiostoma floridae],Branchiostoma floridae,1043,1043,98%,0.0,76.10,686,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035694811.1?report=genbank&log$=prottop&blast_rank=4&RID=04URP884016"",""XP_035694811.1"")"
protein kinase C alpha type-like isoform X3 [Branchiostoma floridae],Branchiostoma floridae,1039,1039,98%,0.0,75.08,690,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035694810.1?report=genbank&log$=prottop&blast_rank=5&RID=04URP884016"",""XP_035694810.1"")"
protein kinase C alpha type-like isoform X2 [Branchiostoma floridae],Branchiostoma floridae,1038,1038,98%,0.0,75.08,692,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035694808.1?report=genbank&log$=prottop&blast_rank=6&RID=04URP884016"",""XP_035694808.1"")"
PRKCB [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1038,1038,98%,0.0,75.68,693,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1273978.1?report=genbank&log$=prottop&blast_rank=7&RID=04URP884016"",""CAH1273978.1"")"
protein kinase C alpha type-like isoform X1 [Branchiostoma floridae],Branchiostoma floridae,1038,1038,98%,0.0,75.08,693,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035694807.1?report=genbank&log$=prottop&blast_rank=8&RID=04URP884016"",""XP_035694807.1"")"
PRKCB [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1037,1037,96%,0.0,76.84,663,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1273979.1?report=genbank&log$=prottop&blast_rank=9&RID=04URP884016"",""CAH1273979.1"")"
PREDICTED: protein kinase C beta type-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,1013,1013,95%,0.0,74.35,666,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002731384.1?report=genbank&log$=prottop&blast_rank=10&RID=04URP884016"",""XP_002731384.1"")"
