Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
GTPase HRas-like [Branchiostoma floridae],Branchiostoma floridae,283,283,90%,2e-96,85.88,188,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035672300.1?report=genbank&log$=prottop&blast_rank=1&RID=0MRVDP3F013"",""XP_035672300.1"")"
KRAS [Branchiostoma lanceolatum],Branchiostoma lanceolatum,283,283,90%,5e-96,85.88,188,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1258932.1?report=genbank&log$=prottop&blast_rank=2&RID=0MRVDP3F013"",""CAH1258932.1"")"
GTPase HRas [Branchiostoma floridae],Branchiostoma floridae,283,283,100%,5e-96,79.26,189,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035696597.1?report=genbank&log$=prottop&blast_rank=3&RID=0MRVDP3F013"",""XP_035696597.1"")"
NRAS [Branchiostoma lanceolatum],Branchiostoma lanceolatum,282,282,100%,1e-95,79.26,189,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1240573.1?report=genbank&log$=prottop&blast_rank=4&RID=0MRVDP3F013"",""CAH1240573.1"")"
hypothetical protein OCBIM_22019558mg [Octopus bimaculoides],Octopus bimaculoides,280,280,81%,2e-95,86.93,174,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF85932.1?report=genbank&log$=prottop&blast_rank=5&RID=0MRVDP3F013"",""KOF85932.1"")"
PREDICTED: GTPase HRas isoform X1 [Octopus bimaculoides],Octopus bimaculoides,280,280,87%,6e-95,87.80,185,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014774293.1?report=genbank&log$=prottop&blast_rank=6&RID=0MRVDP3F013"",""XP_014774293.1"")"
GTPase HRas [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,278,278,95%,3e-94,82.12,187,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030848609.1?report=genbank&log$=prottop&blast_rank=7&RID=0MRVDP3F013"",""XP_030848609.1"")"
PREDICTED: GTPase HRas isoform X2 [Octopus bimaculoides],Octopus bimaculoides,278,278,87%,4e-94,87.20,185,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014774294.1?report=genbank&log$=prottop&blast_rank=8&RID=0MRVDP3F013"",""XP_014774294.1"")"
RAS protein [Branchiostoma lanceolatum],Branchiostoma lanceolatum,276,276,98%,1e-93,79.46,185,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ABU49827.1?report=genbank&log$=prottop&blast_rank=9&RID=0MRVDP3F013"",""ABU49827.1"")"
NRAS [Branchiostoma lanceolatum],Branchiostoma lanceolatum,276,276,100%,1e-93,78.01,192,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1240574.1?report=genbank&log$=prottop&blast_rank=10&RID=0MRVDP3F013"",""CAH1240574.1"")"
GTPase HRas [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,276,276,90%,3e-93,85.29,187,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030848582.1?report=genbank&log$=prottop&blast_rank=11&RID=0MRVDP3F013"",""XP_030848582.1"")"
