Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
PREDICTED: calcium/calmodulin-dependent protein kinase type IV-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,474,474,68%,1e-164,66.98,341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002736839.1?report=genbank&log$=prottop&blast_rank=1&RID=0AH3TGYH013"",""XP_002736839.1"")"
CAMK4 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,458,458,67%,4e-158,66.77,351,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1254973.1?report=genbank&log$=prottop&blast_rank=2&RID=0AH3TGYH013"",""CAH1254973.1"")"
calcium/calmodulin-dependent protein kinase type IV-like [Branchiostoma floridae],Branchiostoma floridae,457,457,67%,1e-157,66.46,351,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035664837.1?report=genbank&log$=prottop&blast_rank=3&RID=0AH3TGYH013"",""XP_035664837.1"")"
PREDICTED: calcium/calmodulin-dependent protein kinase type IV-like [Hydra vulgaris],Hydra vulgaris,442,442,64%,3e-152,67.11,320,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002164168.2?report=genbank&log$=prottop&blast_rank=4&RID=0AH3TGYH013"",""XP_002164168.2"")"
PREDICTED: calcium/calmodulin-dependent protein kinase type IV-like [Priapulus caudatus],Priapulus caudatus,426,426,66%,2e-145,62.38,364,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014662215.1?report=genbank&log$=prottop&blast_rank=5&RID=0AH3TGYH013"",""XP_014662215.1"")"
calcium/calmodulin-dependent protein kinase type IV-like [Ciona intestinalis],Ciona intestinalis,408,408,66%,1e-138,59.81,335,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002128230.1?report=genbank&log$=prottop&blast_rank=6&RID=0AH3TGYH013"",""XP_002128230.1"")"
calcium/calmodulin-dependent protein kinase type IV-like [Asterias rubens],Asterias rubens,405,405,67%,5e-137,58.81,376,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033634044.1?report=genbank&log$=prottop&blast_rank=7&RID=0AH3TGYH013"",""XP_033634044.1"")"
calcium/calmodulin-dependent protein kinase type IV-like [Acropora millepora],Acropora millepora,384,384,59%,2e-129,63.99,328,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029193243.1?report=genbank&log$=prottop&blast_rank=8&RID=0AH3TGYH013"",""XP_029193243.1"")"
calcium/calmodulin-dependent protein kinase type IV [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,380,380,63%,3e-127,58.42,374,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030832817.1?report=genbank&log$=prottop&blast_rank=9&RID=0AH3TGYH013"",""XP_030832817.1"")"
PREDICTED: calcium/calmodulin-dependent protein kinase type IV-like [Octopus bimaculoides],Octopus bimaculoides,345,345,65%,4e-114,51.61,323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014771973.1?report=genbank&log$=prottop&blast_rank=10&RID=0AH3TGYH013"",""XP_014771973.1"")"
PREDICTED: calcium/calmodulin-dependent protein kinase type 1D-like [Amphimedon queenslandica],Amphimedon queenslandica,291,291,65%,8e-93,45.43,337,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003384128.1?report=genbank&log$=prottop&blast_rank=11&RID=0AH3TGYH013"",""XP_003384128.1"")"
calcium/calmodulin-dependent protein kinase type 1D-like isoform X4 [Acropora millepora],Acropora millepora,286,286,65%,7e-91,48.09,335,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029185518.2?report=genbank&log$=prottop&blast_rank=12&RID=0AH3TGYH013"",""XP_029185518.2"")"
calcium/calmodulin-dependent protein kinase type 1D-like isoform X2 [Acropora millepora],Acropora millepora,286,286,65%,1e-90,48.09,350,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029185515.2?report=genbank&log$=prottop&blast_rank=13&RID=0AH3TGYH013"",""XP_029185515.2"")"
calcium/calmodulin-dependent protein kinase type 1-like isoform X1 [Acropora millepora],Acropora millepora,286,286,65%,1e-90,48.09,362,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029185514.2?report=genbank&log$=prottop&blast_rank=14&RID=0AH3TGYH013"",""XP_029185514.2"")"
myosin light chain kinase [Dictyostelium discoideum AX4],Dictyostelium discoideum AX4,283,283,59%,2e-90,50.35,295,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_641424.1?report=genbank&log$=prottop&blast_rank=15&RID=0AH3TGYH013"",""XP_641424.1"")"
calcium/calmodulin-dependent protein kinase type 1D-like [Branchiostoma floridae],Branchiostoma floridae,285,285,67%,2e-90,45.73,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035676234.1?report=genbank&log$=prottop&blast_rank=16&RID=0AH3TGYH013"",""XP_035676234.1"")"
calcium/calmodulin-dependent protein kinase type 1D-like isoform X3 [Acropora millepora],Acropora millepora,285,285,65%,3e-90,48.09,347,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029185517.2?report=genbank&log$=prottop&blast_rank=17&RID=0AH3TGYH013"",""XP_029185517.2"")"
calmodulin-dependent protein kinase homologue isoform X1 [Ciona intestinalis],Ciona intestinalis,283,283,64%,7e-90,44.55,324,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026696157.1?report=genbank&log$=prottop&blast_rank=18&RID=0AH3TGYH013"",""XP_026696157.1"")"
