Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
protein kinase C beta2 [Eptatretus burgeri],Eptatretus burgeri,968,968,93%,0.0,68.83,667,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AYD75722.1?report=genbank&log$=prottop&blast_rank=1&RID=04WARF88013"",""AYD75722.1"")"
protein kinase C beta1 [Eptatretus burgeri],Eptatretus burgeri,951,951,93%,0.0,67.42,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AYD75721.1?report=genbank&log$=prottop&blast_rank=2&RID=04WARF88013"",""AYD75721.1"")"
PREDICTED: protein kinase C beta type-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,926,926,94%,0.0,66.62,666,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002731384.1?report=genbank&log$=prottop&blast_rank=3&RID=04WARF88013"",""XP_002731384.1"")"
PRKCB [Branchiostoma lanceolatum],Branchiostoma lanceolatum,925,925,95%,0.0,67.06,684,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1273977.1?report=genbank&log$=prottop&blast_rank=4&RID=04WARF88013"",""CAH1273977.1"")"
protein kinase C alpha type-like isoform X4 [Branchiostoma floridae],Branchiostoma floridae,921,921,95%,0.0,66.28,686,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035694811.1?report=genbank&log$=prottop&blast_rank=5&RID=04WARF88013"",""XP_035694811.1"")"
protein kinase C alpha type-like isoform X3 [Branchiostoma floridae],Branchiostoma floridae,915,915,97%,0.0,65.22,690,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035694810.1?report=genbank&log$=prottop&blast_rank=6&RID=04WARF88013"",""XP_035694810.1"")"
protein kinase C alpha type-like isoform X2 [Branchiostoma floridae],Branchiostoma floridae,914,914,97%,0.0,65.22,692,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035694808.1?report=genbank&log$=prottop&blast_rank=7&RID=04WARF88013"",""XP_035694808.1"")"
PRKCB [Branchiostoma lanceolatum],Branchiostoma lanceolatum,912,912,95%,0.0,66.67,693,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1273978.1?report=genbank&log$=prottop&blast_rank=8&RID=04WARF88013"",""CAH1273978.1"")"
protein kinase C alpha type-like isoform X1 [Branchiostoma floridae],Branchiostoma floridae,912,912,97%,0.0,65.22,693,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035694807.1?report=genbank&log$=prottop&blast_rank=9&RID=04WARF88013"",""XP_035694807.1"")"
PRKCB [Branchiostoma lanceolatum],Branchiostoma lanceolatum,912,912,94%,0.0,67.01,663,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1273979.1?report=genbank&log$=prottop&blast_rank=10&RID=04WARF88013"",""CAH1273979.1"")"
Protein kinase C [Caenorhabditis elegans],Caenorhabditis elegans,887,887,93%,0.0,62.80,751,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001360727.1?report=genbank&log$=prottop&blast_rank=11&RID=04WARF88013"",""NP_001360727.1"")"
Protein kinase C [Caenorhabditis elegans],Caenorhabditis elegans,887,887,95%,0.0,61.65,725,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001123122.1?report=genbank&log$=prottop&blast_rank=12&RID=04WARF88013"",""NP_001123122.1"")"
Protein kinase C-like 2 [Caenorhabditis elegans],Caenorhabditis elegans,885,885,93%,0.0,62.65,680,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001024516.1?report=genbank&log$=prottop&blast_rank=13&RID=04WARF88013"",""NP_001024516.1"")"
protein kinase C2 A isoform [Caenorhabditis elegans],Caenorhabditis elegans,885,885,93%,0.0,62.65,680,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAB40868.1?report=genbank&log$=prottop&blast_rank=14&RID=04WARF88013"",""AAB40868.1"")"
