Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"myosin light chain kinase, smooth muscle isoform X1 [Ciona intestinalis]",Ciona intestinalis,704,2966,71%,0.0,45.75,2623,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018668913.1?report=genbank&log$=prottop&blast_rank=1&RID=0CJER2KP013"",""XP_018668913.1"")"
"myosin light chain kinase, smooth muscle isoform X2 [Ciona intestinalis]",Ciona intestinalis,703,2812,71%,0.0,45.75,2349,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002122169.1?report=genbank&log$=prottop&blast_rank=2&RID=0CJER2KP013"",""XP_002122169.1"")"
"myosin light chain kinase, smooth muscle isoform X3 [Ciona intestinalis]",Ciona intestinalis,703,2622,71%,0.0,45.75,2329,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018668914.1?report=genbank&log$=prottop&blast_rank=3&RID=0CJER2KP013"",""XP_018668914.1"")"
MYLK [Branchiostoma lanceolatum],Branchiostoma lanceolatum,651,6444,63%,0.0,40.43,18876,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1249867.1?report=genbank&log$=prottop&blast_rank=4&RID=0CJER2KP013"",""CAH1249867.1"")"
"myosin light chain kinase, smooth muscle-like isoform X1 [Asterias rubens]",Asterias rubens,610,3394,63%,2e-177,45.24,3506,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033628654.1?report=genbank&log$=prottop&blast_rank=5&RID=0CJER2KP013"",""XP_033628654.1"")"
titin homolog [Branchiostoma floridae],Branchiostoma floridae,595,1837,63%,3e-174,43.59,2379,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035660911.1?report=genbank&log$=prottop&blast_rank=6&RID=0CJER2KP013"",""XP_035660911.1"")"
"myosin light chain kinase, smooth muscle-like isoform X2 [Asterias rubens]",Asterias rubens,580,3133,63%,6e-168,45.47,3235,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033628655.1?report=genbank&log$=prottop&blast_rank=7&RID=0CJER2KP013"",""XP_033628655.1"")"
"myosin light chain kinase, smooth muscle isoform X3 [Strongylocentrotus purpuratus]",Strongylocentrotus purpuratus,572,3581,72%,3e-165,43.77,3033,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030830853.1?report=genbank&log$=prottop&blast_rank=8&RID=0CJER2KP013"",""XP_030830853.1"")"
"myosin light chain kinase, smooth muscle isoform X5 [Strongylocentrotus purpuratus]",Strongylocentrotus purpuratus,563,3188,72%,2e-162,42.51,2749,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011667920.2?report=genbank&log$=prottop&blast_rank=9&RID=0CJER2KP013"",""XP_011667920.2"")"
"myosin light chain kinase, smooth muscle isoform X4 [Strongylocentrotus purpuratus]",Strongylocentrotus purpuratus,563,3188,72%,2e-162,42.51,2750,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011667919.2?report=genbank&log$=prottop&blast_rank=10&RID=0CJER2KP013"",""XP_011667919.2"")"
"myosin light chain kinase, smooth muscle isoform X2 [Strongylocentrotus purpuratus]",Strongylocentrotus purpuratus,561,3568,72%,2e-161,42.43,3052,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030830852.1?report=genbank&log$=prottop&blast_rank=11&RID=0CJER2KP013"",""XP_030830852.1"")"
"myosin light chain kinase, smooth muscle isoform X1 [Strongylocentrotus purpuratus]",Strongylocentrotus purpuratus,560,3569,72%,2e-161,42.37,3053,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030830851.1?report=genbank&log$=prottop&blast_rank=12&RID=0CJER2KP013"",""XP_030830851.1"")"
PREDICTED: titin-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,504,1334,62%,4e-145,35.07,1870,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006823011.1?report=genbank&log$=prottop&blast_rank=13&RID=0CJER2KP013"",""XP_006823011.1"")"
myosin light chain kinase-like protein [Saccoglossus kowalevskii],Saccoglossus kowalevskii,444,444,22%,7e-138,49.89,433,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001161592.1?report=genbank&log$=prottop&blast_rank=14&RID=0CJER2KP013"",""NP_001161592.1"")"
PREDICTED: titin-like [Priapulus caudatus],Priapulus caudatus,477,1377,66%,2e-134,38.37,2909,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014667690.1?report=genbank&log$=prottop&blast_rank=15&RID=0CJER2KP013"",""XP_014667690.1"")"
titin-like [Asterias rubens],Asterias rubens,473,3986,64%,1e-132,34.19,8389,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033628849.1?report=genbank&log$=prottop&blast_rank=16&RID=0CJER2KP013"",""XP_033628849.1"")"
"PREDICTED: myosin light chain kinase, smooth muscle-like [Saccoglossus kowalevskii]",Saccoglossus kowalevskii,424,592,32%,3e-131,51.24,410,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002739916.1?report=genbank&log$=prottop&blast_rank=17&RID=0CJER2KP013"",""XP_002739916.1"")"
titin [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,468,8369,62%,5e-131,32.23,24046,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030830392.1?report=genbank&log$=prottop&blast_rank=18&RID=0CJER2KP013"",""XP_030830392.1"")"
"myosin light chain kinase, smooth muscle-like [Asterias rubens]",Asterias rubens,424,424,21%,5e-131,50.00,429,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033628774.1?report=genbank&log$=prottop&blast_rank=19&RID=0CJER2KP013"",""XP_033628774.1"")"
PREDICTED: myosin light chain kinase-like protein isoform X1 [Saccoglossus kowalevskii],Saccoglossus kowalevskii,424,424,21%,3e-130,50.48,458,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006823003.1?report=genbank&log$=prottop&blast_rank=20&RID=0CJER2KP013"",""XP_006823003.1"")"
"myosin light chain kinase, smooth muscle [Strongylocentrotus purpuratus]",Strongylocentrotus purpuratus,413,413,21%,5e-127,48.35,429,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003724502.1?report=genbank&log$=prottop&blast_rank=21&RID=0CJER2KP013"",""XP_003724502.1"")"
PREDICTED: twitchin-like isoform X3 [Octopus bimaculoides],Octopus bimaculoides,439,2336,61%,6e-122,32.05,4077,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014771091.1?report=genbank&log$=prottop&blast_rank=22&RID=0CJER2KP013"",""XP_014771091.1"")"
hypothetical protein OCBIM_22011261mg [Octopus bimaculoides],Octopus bimaculoides,438,2749,63%,9e-122,32.05,4848,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF90417.1?report=genbank&log$=prottop&blast_rank=23&RID=0CJER2KP013"",""KOF90417.1"")"
2MDa_2 protein [Caenorhabditis elegans],Caenorhabditis elegans,438,3165,64%,1e-121,33.91,18519,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAN61518.1?report=genbank&log$=prottop&blast_rank=24&RID=0CJER2KP013"",""AAN61518.1"")"
Titin homolog [Caenorhabditis elegans],Caenorhabditis elegans,437,3106,64%,2e-121,33.91,15173,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001346722.1?report=genbank&log$=prottop&blast_rank=25&RID=0CJER2KP013"",""NP_001346722.1"")"
Titin homolog [Caenorhabditis elegans],Caenorhabditis elegans,437,3102,64%,2e-121,33.91,14747,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001346723.1?report=genbank&log$=prottop&blast_rank=26&RID=0CJER2KP013"",""NP_001346723.1"")"
Titin homolog [Caenorhabditis elegans],Caenorhabditis elegans,437,3103,64%,2e-121,33.91,14719,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001367914.1?report=genbank&log$=prottop&blast_rank=27&RID=0CJER2KP013"",""NP_001367914.1"")"
Titin homolog [Caenorhabditis elegans],Caenorhabditis elegans,437,3104,64%,2e-121,33.91,15145,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001367913.1?report=genbank&log$=prottop&blast_rank=28&RID=0CJER2KP013"",""NP_001367913.1"")"
Titin homolog [Caenorhabditis elegans],Caenorhabditis elegans,436,2579,63%,5e-121,33.91,7815,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001368674.1?report=genbank&log$=prottop&blast_rank=29&RID=0CJER2KP013"",""NP_001368674.1"")"
Titin homolog [Caenorhabditis elegans],Caenorhabditis elegans,436,2573,63%,9e-121,33.91,7843,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001368672.1?report=genbank&log$=prottop&blast_rank=30&RID=0CJER2KP013"",""NP_001368672.1"")"
PREDICTED: twitchin-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,426,1019,63%,2e-119,32.48,1711,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006825350.1?report=genbank&log$=prottop&blast_rank=31&RID=0CJER2KP013"",""XP_006825350.1"")"
RecName: Full=Titin homolog [Caenorhabditis elegans],Caenorhabditis elegans,430,3159,64%,4e-119,34.14,18562,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/G4SLH0.2?report=genbank&log$=prottop&blast_rank=32&RID=0CJER2KP013"",""G4SLH0.2"")"
Titin homolog [Caenorhabditis elegans],Caenorhabditis elegans,430,3101,64%,5e-119,34.14,15188,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001346715.1?report=genbank&log$=prottop&blast_rank=33&RID=0CJER2KP013"",""NP_001346715.1"")"
2MDa_1 protein [Caenorhabditis elegans],Caenorhabditis elegans,430,3153,64%,6e-119,34.14,18534,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAN61517.1?report=genbank&log$=prottop&blast_rank=34&RID=0CJER2KP013"",""AAN61517.1"")"
Titin homolog [Caenorhabditis elegans],Caenorhabditis elegans,430,3095,64%,7e-119,34.14,14734,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001367912.1?report=genbank&log$=prottop&blast_rank=35&RID=0CJER2KP013"",""NP_001367912.1"")"
Twitchin [Caenorhabditis elegans],Caenorhabditis elegans,429,2444,63%,7e-119,32.35,7142,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001293974.1?report=genbank&log$=prottop&blast_rank=36&RID=0CJER2KP013"",""NP_001293974.1"")"
Twitchin [Caenorhabditis elegans],Caenorhabditis elegans,429,2443,63%,7e-119,32.35,7133,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001293975.1?report=genbank&log$=prottop&blast_rank=37&RID=0CJER2KP013"",""NP_001293975.1"")"
Titin homolog [Caenorhabditis elegans],Caenorhabditis elegans,429,3094,64%,8e-119,34.14,14762,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001346716.1?report=genbank&log$=prottop&blast_rank=38&RID=0CJER2KP013"",""NP_001346716.1"")"
