Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1-like isoform X5 [Acropora millepora]",Acropora millepora,941,941,93%,0.0,43.69,1217,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029211310.2?report=genbank&log$=prottop&blast_rank=1&RID=04U9MNS9013"",""XP_029211310.2"")"
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1-like isoform X7 [Acropora millepora]",Acropora millepora,939,939,93%,0.0,43.57,1229,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_044183478.1?report=genbank&log$=prottop&blast_rank=2&RID=04U9MNS9013"",""XP_044183478.1"")"
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1-like isoform X4 [Acropora millepora]",Acropora millepora,932,932,93%,0.0,43.31,1228,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029211309.2?report=genbank&log$=prottop&blast_rank=3&RID=04U9MNS9013"",""XP_029211309.2"")"
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1-like [Branchiostoma floridae]",Branchiostoma floridae,932,932,89%,0.0,44.69,1227,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035690412.1?report=genbank&log$=prottop&blast_rank=4&RID=04U9MNS9013"",""XP_035690412.1"")"
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1-like isoform X2 [Acropora millepora]",Acropora millepora,931,931,93%,0.0,43.19,1240,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029211307.2?report=genbank&log$=prottop&blast_rank=5&RID=04U9MNS9013"",""XP_029211307.2"")"
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1-like isoform X1 [Acropora millepora]",Acropora millepora,899,899,70%,0.0,51.79,1242,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029211305.2?report=genbank&log$=prottop&blast_rank=6&RID=04U9MNS9013"",""XP_029211305.2"")"
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1-like isoform X3 [Acropora millepora]",Acropora millepora,899,899,70%,0.0,51.79,1231,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029211308.2?report=genbank&log$=prottop&blast_rank=7&RID=04U9MNS9013"",""XP_029211308.2"")"
"PREDICTED: 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase classes I and II-like isoform X2 [Priapulus caudatus]",Priapulus caudatus,892,892,87%,0.0,43.53,1154,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014674758.1?report=genbank&log$=prottop&blast_rank=8&RID=04U9MNS9013"",""XP_014674758.1"")"
"PREDICTED: 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase classes I and II-like isoform X1 [Priapulus caudatus]",Priapulus caudatus,889,889,87%,0.0,43.36,1156,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014674750.1?report=genbank&log$=prottop&blast_rank=9&RID=04U9MNS9013"",""XP_014674750.1"")"
"PREDICTED: 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase classes I and II-like isoform X3 [Priapulus caudatus]",Priapulus caudatus,885,885,87%,0.0,43.40,1138,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014674764.1?report=genbank&log$=prottop&blast_rank=10&RID=04U9MNS9013"",""XP_014674764.1"")"
"PREDICTED: 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase classes I and II-like [Saccoglossus kowalevskii]",Saccoglossus kowalevskii,847,847,91%,0.0,40.22,1344,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006815619.1?report=genbank&log$=prottop&blast_rank=11&RID=04U9MNS9013"",""XP_006815619.1"")"
hypothetical protein OCBIM_22034237mg [Octopus bimaculoides],Octopus bimaculoides,820,820,92%,0.0,39.62,1170,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF96615.1?report=genbank&log$=prottop&blast_rank=12&RID=04U9MNS9013"",""KOF96615.1"")"
