Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
PREDICTED: calcium/calmodulin-dependent protein kinase type II delta chain [Saccoglossus kowalevskii],Saccoglossus kowalevskii,806,806,99%,0.0,79.83,477,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002734696.1?report=genbank&log$=prottop&blast_rank=1&RID=6RY4R3N0016"",""XP_002734696.1"")"
calcium/calmodulin-dependent protein kinase type II subunit delta-like isoform X26 [Branchiostoma floridae],Branchiostoma floridae,781,781,99%,0.0,77.29,482,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035669863.1?report=genbank&log$=prottop&blast_rank=2&RID=6RY4R3N0016"",""XP_035669863.1"")"
calcium/calmodulin-dependent protein kinase type II delta chain-like isoform X24 [Branchiostoma floridae],Branchiostoma floridae,779,779,99%,0.0,76.28,491,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035669861.1?report=genbank&log$=prottop&blast_rank=3&RID=6RY4R3N0016"",""XP_035669861.1"")"
calcium/calmodulin-dependent protein kinase type II delta chain-like isoform X23 [Branchiostoma floridae],Branchiostoma floridae,779,779,99%,0.0,75.30,497,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035669860.1?report=genbank&log$=prottop&blast_rank=4&RID=6RY4R3N0016"",""XP_035669860.1"")"
calcium/calmodulin-dependent protein kinase type II delta chain-like isoform X22 [Branchiostoma floridae],Branchiostoma floridae,778,778,99%,0.0,75.20,498,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035669859.1?report=genbank&log$=prottop&blast_rank=5&RID=6RY4R3N0016"",""XP_035669859.1"")"
calcium/calmodulin-dependent protein kinase type II subunit delta-like isoform X27 [Branchiostoma floridae],Branchiostoma floridae,778,778,99%,0.0,78.15,475,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035669865.1?report=genbank&log$=prottop&blast_rank=6&RID=6RY4R3N0016"",""XP_035669865.1"")"
calcium/calmodulin-dependent protein kinase type II delta chain-like isoform X21 [Branchiostoma floridae],Branchiostoma floridae,777,777,99%,0.0,73.96,506,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035669858.1?report=genbank&log$=prottop&blast_rank=7&RID=6RY4R3N0016"",""XP_035669858.1"")"
calcium/calmodulin-dependent protein kinase type II delta chain-like isoform X19 [Branchiostoma floridae],Branchiostoma floridae,776,776,99%,0.0,73.33,513,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035669856.1?report=genbank&log$=prottop&blast_rank=8&RID=6RY4R3N0016"",""XP_035669856.1"")"
calcium/calmodulin-dependent protein kinase type II delta chain-like isoform X25 [Branchiostoma floridae],Branchiostoma floridae,775,775,99%,0.0,76.12,490,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035669862.1?report=genbank&log$=prottop&blast_rank=9&RID=6RY4R3N0016"",""XP_035669862.1"")"
calcium/calmodulin-dependent protein kinase type II alpha chain isoform X2 [Octopus vulgaris],Octopus vulgaris,774,774,100%,0.0,72.32,512,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QHX41518.1?report=genbank&log$=prottop&blast_rank=10&RID=6RY4R3N0016"",""QHX41518.1"")"
calcium/calmodulin-dependent protein kinase type II delta chain-like isoform X20 [Branchiostoma floridae],Branchiostoma floridae,766,766,99%,0.0,73.47,507,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035669857.1?report=genbank&log$=prottop&blast_rank=11&RID=6RY4R3N0016"",""XP_035669857.1"")"
calcium/calmodulin-dependent protein kinase type II delta chain-like isoform X18 [Branchiostoma floridae],Branchiostoma floridae,766,766,99%,0.0,71.40,523,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035669855.1?report=genbank&log$=prottop&blast_rank=12&RID=6RY4R3N0016"",""XP_035669855.1"")"
calcium/calmodulin-dependent protein kinase type II delta chain-like isoform X17 [Branchiostoma floridae],Branchiostoma floridae,763,763,99%,0.0,69.72,538,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035669854.1?report=genbank&log$=prottop&blast_rank=13&RID=6RY4R3N0016"",""XP_035669854.1"")"
calcium/calmodulin-dependent protein kinase type II alpha chain isoform X1 [Octopus vulgaris],Octopus vulgaris,754,754,98%,0.0,67.34,555,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QHX41517.1?report=genbank&log$=prottop&blast_rank=14&RID=6RY4R3N0016"",""QHX41517.1"")"
Calcium/calmodulin-dependent protein kinase type II [Caenorhabditis elegans],Caenorhabditis elegans,714,714,97%,0.0,70.40,482,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001379280.1?report=genbank&log$=prottop&blast_rank=15&RID=6RY4R3N0016"",""NP_001379280.1"")"
calcium/calmodulin-dependent protein kinase type II delta chain-like [Asterias rubens],Asterias rubens,701,701,88%,0.0,77.31,475,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033644304.1?report=genbank&log$=prottop&blast_rank=16&RID=6RY4R3N0016"",""XP_033644304.1"")"
Calcium/calmodulin-dependent protein kinase type II [Caenorhabditis elegans],Caenorhabditis elegans,696,696,97%,0.0,65.43,520,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001366993.1?report=genbank&log$=prottop&blast_rank=17&RID=6RY4R3N0016"",""NP_001366993.1"")"
Calcium/calmodulin-dependent protein kinase type II [Caenorhabditis elegans],Caenorhabditis elegans,693,693,97%,0.0,65.36,518,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001023298.1?report=genbank&log$=prottop&blast_rank=18&RID=6RY4R3N0016"",""NP_001023298.1"")"
Calcium/calmodulin-dependent protein kinase type II [Caenorhabditis elegans],Caenorhabditis elegans,692,692,97%,0.0,63.55,533,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001359633.1?report=genbank&log$=prottop&blast_rank=19&RID=6RY4R3N0016"",""NP_001359633.1"")"
Calcium/calmodulin-dependent protein kinase [Caenorhabditis elegans],Caenorhabditis elegans,677,677,97%,0.0,59.50,681,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001255480.1?report=genbank&log$=prottop&blast_rank=20&RID=6RY4R3N0016"",""NP_001255480.1"")"
Calcium/calmodulin-dependent protein kinase type II [Caenorhabditis elegans],Caenorhabditis elegans,675,675,97%,0.0,59.50,571,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001366994.1?report=genbank&log$=prottop&blast_rank=21&RID=6RY4R3N0016"",""NP_001366994.1"")"
calcium/calmodulin-dependent protein kinase type II delta chain-like isoform X1 [Acropora millepora],Acropora millepora,674,674,96%,0.0,69.66,488,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029193915.1?report=genbank&log$=prottop&blast_rank=22&RID=6RY4R3N0016"",""XP_029193915.1"")"
calcium/calmodulin-dependent protein kinase type II subunit delta-like isoform X2 [Acropora millepora],Acropora millepora,669,669,96%,0.0,69.44,487,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029193916.1?report=genbank&log$=prottop&blast_rank=23&RID=6RY4R3N0016"",""XP_029193916.1"")"
calcium/calmodulin-dependent protein kinase type II subunit delta-like [Acropora millepora],Acropora millepora,646,646,97%,0.0,64.18,481,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029192035.1?report=genbank&log$=prottop&blast_rank=24&RID=6RY4R3N0016"",""XP_029192035.1"")"
calcium/calmodulin-dependent protein kinase type II subunit alpha isoform X9 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,642,642,84%,0.0,73.84,423,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030835155.1?report=genbank&log$=prottop&blast_rank=25&RID=6RY4R3N0016"",""XP_030835155.1"")"
calcium/calmodulin-dependent protein kinase type II delta chain [Ciona intestinalis],Ciona intestinalis,640,640,97%,0.0,64.24,496,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002119355.1?report=genbank&log$=prottop&blast_rank=26&RID=6RY4R3N0016"",""XP_002119355.1"")"
calcium/calmodulin-dependent protein kinase type II subunit alpha isoform X8 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,638,638,84%,0.0,73.01,429,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030835154.1?report=genbank&log$=prottop&blast_rank=27&RID=6RY4R3N0016"",""XP_030835154.1"")"
calcium/calmodulin-dependent protein kinase type II subunit alpha isoform X2 [Hydra vulgaris],Hydra vulgaris,635,635,98%,0.0,65.41,477,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012553992.1?report=genbank&log$=prottop&blast_rank=28&RID=6RY4R3N0016"",""XP_012553992.1"")"
calcium/calmodulin-dependent protein kinase type II subunit alpha isoform X7 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,635,635,84%,0.0,72.04,436,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030835153.1?report=genbank&log$=prottop&blast_rank=29&RID=6RY4R3N0016"",""XP_030835153.1"")"
calcium/calmodulin-dependent protein kinase type II subunit alpha isoform X2 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,633,633,84%,0.0,68.62,457,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030835148.1?report=genbank&log$=prottop&blast_rank=30&RID=6RY4R3N0016"",""XP_030835148.1"")"
calcium/calmodulin-dependent protein kinase type II subunit alpha isoform X6 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,633,633,84%,0.0,70.86,443,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030835152.1?report=genbank&log$=prottop&blast_rank=31&RID=6RY4R3N0016"",""XP_030835152.1"")"
