Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
PREDICTED: calcineurin A protein catalytic subunit isoform X1 [Saccoglossus kowalevskii],Saccoglossus kowalevskii,868,868,93%,0.0,82.99,487,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006819680.1?report=genbank&log$=prottop&blast_rank=1&RID=05EPK60C016"",""XP_006819680.1"")"
PREDICTED: calcineurin A protein catalytic subunit isoform X2 [Saccoglossus kowalevskii],Saccoglossus kowalevskii,865,865,93%,0.0,82.79,487,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006819681.1?report=genbank&log$=prottop&blast_rank=2&RID=05EPK60C016"",""XP_006819681.1"")"
calcineurin A protein catalytic subunit [Saccoglossus kowalevskii],Saccoglossus kowalevskii,859,859,93%,0.0,81.12,497,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001158479.1?report=genbank&log$=prottop&blast_rank=3&RID=05EPK60C016"",""NP_001158479.1"")"
PREDICTED: calcineurin A protein catalytic subunit isoform X3 [Saccoglossus kowalevskii],Saccoglossus kowalevskii,857,857,93%,0.0,82.58,483,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006819682.1?report=genbank&log$=prottop&blast_rank=4&RID=05EPK60C016"",""XP_006819682.1"")"
serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform-like [Branchiostoma floridae],Branchiostoma floridae,847,847,92%,0.0,76.37,550,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035671378.1?report=genbank&log$=prottop&blast_rank=5&RID=05EPK60C016"",""XP_035671378.1"")"
PREDICTED: serine/threonine-protein phosphatase 2B catalytic subunit 3-like isoform X1 [Priapulus caudatus],Priapulus caudatus,828,828,90%,0.0,80.84,495,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014677380.1?report=genbank&log$=prottop&blast_rank=6&RID=05EPK60C016"",""XP_014677380.1"")"
PREDICTED: serine/threonine-protein phosphatase 2B catalytic subunit 3-like isoform X2 [Priapulus caudatus],Priapulus caudatus,822,822,90%,0.0,80.00,495,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014677387.1?report=genbank&log$=prottop&blast_rank=7&RID=05EPK60C016"",""XP_014677387.1"")"
PPP3CA [Branchiostoma lanceolatum],Branchiostoma lanceolatum,816,816,94%,0.0,72.29,644,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1245908.1?report=genbank&log$=prottop&blast_rank=8&RID=05EPK60C016"",""CAH1245908.1"")"
serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform isoform X7 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,803,803,91%,0.0,79.50,480,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011678784.1?report=genbank&log$=prottop&blast_rank=9&RID=05EPK60C016"",""XP_011678784.1"")"
serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform isoform X5 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,796,796,91%,0.0,77.87,490,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003727335.1?report=genbank&log$=prottop&blast_rank=10&RID=05EPK60C016"",""XP_003727335.1"")"
serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform isoform X4 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,795,795,91%,0.0,77.71,491,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011678782.1?report=genbank&log$=prottop&blast_rank=11&RID=05EPK60C016"",""XP_011678782.1"")"
