Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
calglandulin-like [Ciona intestinalis],Ciona intestinalis,127,127,65%,1e-34,47.33,155,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002129217.1?report=genbank&log$=prottop&blast_rank=1&RID=6JFDWH6M013"",""XP_002129217.1"")"
calmodulin-like protein CaML3 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,127,174,63%,1e-34,45.14,151,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAA10472.1?report=genbank&log$=prottop&blast_rank=2&RID=6JFDWH6M013"",""CAA10472.1"")"
calmodulin [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,122,122,63%,6e-33,43.06,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_780862.4?report=genbank&log$=prottop&blast_rank=3&RID=6JFDWH6M013"",""XP_780862.4"")"
calmodulin [Asterias rubens],Asterias rubens,122,122,63%,9e-33,43.06,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033630644.1?report=genbank&log$=prottop&blast_rank=4&RID=6JFDWH6M013"",""XP_033630644.1"")"
CALM1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,129,506,65%,1e-32,45.14,434,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1245065.1?report=genbank&log$=prottop&blast_rank=5&RID=6JFDWH6M013"",""CAH1245065.1"")"
calmodulin-beta-like [Asterias rubens],Asterias rubens,122,122,64%,1e-32,42.07,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033625834.1?report=genbank&log$=prottop&blast_rank=6&RID=6JFDWH6M013"",""XP_033625834.1"")"
calmodulin-A [Hydra vulgaris],Hydra vulgaris,122,122,63%,2e-32,44.06,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002154349.2?report=genbank&log$=prottop&blast_rank=7&RID=6JFDWH6M013"",""XP_002154349.2"")"
calmodulin-A [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,121,173,64%,2e-32,42.47,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011675926.1?report=genbank&log$=prottop&blast_rank=8&RID=6JFDWH6M013"",""XP_011675926.1"")"
calmodulin [Ciona intestinalis],Ciona intestinalis,121,121,63%,2e-32,42.36,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001027633.1?report=genbank&log$=prottop&blast_rank=9&RID=6JFDWH6M013"",""NP_001027633.1"")"
RecName: Full=Calmodulin-2; Short=CaM 2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,121,121,63%,2e-32,42.36,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q9UB37.3?report=genbank&log$=prottop&blast_rank=10&RID=6JFDWH6M013"",""Q9UB37.3"")"
calmodulin-like [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,121,121,63%,2e-32,42.36,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030854592.1?report=genbank&log$=prottop&blast_rank=11&RID=6JFDWH6M013"",""XP_030854592.1"")"
RecName: Full=Calmodulin-2; Short=CaM 2 [Branchiostoma floridae],Branchiostoma floridae,121,121,63%,2e-32,43.06,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q9XZP2.4?report=genbank&log$=prottop&blast_rank=12&RID=6JFDWH6M013"",""Q9XZP2.4"")"
calmodulin [Asterias rubens],Asterias rubens,121,121,63%,2e-32,42.36,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QAA95987.1?report=genbank&log$=prottop&blast_rank=13&RID=6JFDWH6M013"",""QAA95987.1"")"
calmodulin isoform X1 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,121,121,63%,3e-32,42.36,156,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_001177619.1?report=genbank&log$=prottop&blast_rank=14&RID=6JFDWH6M013"",""XP_001177619.1"")"
calmodulin-beta [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,121,121,63%,3e-32,42.36,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011675927.1?report=genbank&log$=prottop&blast_rank=15&RID=6JFDWH6M013"",""XP_011675927.1"")"
calmodulin-like [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,123,123,64%,3e-32,42.76,213,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030855323.1?report=genbank&log$=prottop&blast_rank=16&RID=6JFDWH6M013"",""XP_030855323.1"")"
calmodulin [Saccoglossus kowalevskii],Saccoglossus kowalevskii,121,121,63%,3e-32,42.36,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001171813.1?report=genbank&log$=prottop&blast_rank=17&RID=6JFDWH6M013"",""NP_001171813.1"")"
Calmodulin [Caenorhabditis elegans],Caenorhabditis elegans,120,120,63%,3e-32,42.36,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_503386.1?report=genbank&log$=prottop&blast_rank=18&RID=6JFDWH6M013"",""NP_503386.1"")"
CALM1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,120,120,63%,3e-32,42.36,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1245061.1?report=genbank&log$=prottop&blast_rank=19&RID=6JFDWH6M013"",""CAH1245061.1"")"
calmodulin isoform X1 [Branchiostoma floridae],Branchiostoma floridae,122,122,63%,6e-32,42.36,213,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035669395.1?report=genbank&log$=prottop&blast_rank=20&RID=6JFDWH6M013"",""XP_035669395.1"")"
calmodulin [Escherichia coli],Escherichia coli,120,120,63%,7e-32,44.06,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_152931984.1?report=genbank&log$=prottop&blast_rank=21&RID=6JFDWH6M013"",""WP_152931984.1"")"
