Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
voltage-dependent calcium channel subunit alpha-2/delta-3-like [Branchiostoma floridae],Branchiostoma floridae,878,878,92%,0.0,43.06,1103,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035675410.1?report=genbank&log$=prottop&blast_rank=1&RID=0571HM6P01R"",""XP_035675410.1"")"
CACNA2D3 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,867,867,92%,0.0,43.13,1112,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1265376.1?report=genbank&log$=prottop&blast_rank=2&RID=0571HM6P01R"",""CAH1265376.1"")"
CACNA2D3 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,783,783,85%,0.0,41.39,1070,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1265377.1?report=genbank&log$=prottop&blast_rank=3&RID=0571HM6P01R"",""CAH1265377.1"")"
voltage-dependent calcium channel subunit alpha-2/delta-3-like [Asterias rubens],Asterias rubens,776,776,91%,0.0,40.05,1117,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033647873.1?report=genbank&log$=prottop&blast_rank=4&RID=0571HM6P01R"",""XP_033647873.1"")"
voltage-dependent calcium channel subunit alpha-2/delta-3 isoform X2 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,565,727,93%,4e-179,42.52,1225,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003725587.2?report=genbank&log$=prottop&blast_rank=5&RID=0571HM6P01R"",""XP_003725587.2"")"
voltage-dependent calcium channel subunit alpha-2/delta-3 isoform X1 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,556,717,93%,2e-175,41.71,1239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003725588.2?report=genbank&log$=prottop&blast_rank=6&RID=0571HM6P01R"",""XP_003725588.2"")"
voltage-dependent calcium channel subunit alpha-2/delta-3-like isoform X2 [Ciona intestinalis],Ciona intestinalis,501,501,92%,1e-155,30.07,1183,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026693329.1?report=genbank&log$=prottop&blast_rank=7&RID=0571HM6P01R"",""XP_026693329.1"")"
voltage-dependent calcium channel subunit alpha-2/delta-3-like isoform X1 [Ciona intestinalis],Ciona intestinalis,500,500,92%,4e-155,29.75,1185,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026693326.1?report=genbank&log$=prottop&blast_rank=8&RID=0571HM6P01R"",""XP_026693326.1"")"
voltage-dependent calcium channel subunit alpha-2/delta-3-like isoform X3 [Ciona intestinalis],Ciona intestinalis,460,460,92%,2e-140,28.87,1153,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026693335.1?report=genbank&log$=prottop&blast_rank=9&RID=0571HM6P01R"",""XP_026693335.1"")"
voltage-dependent calcium channel subunit alpha-2/delta-1 isoform X7 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,429,429,94%,2e-129,28.92,1093,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030828838.1?report=genbank&log$=prottop&blast_rank=10&RID=0571HM6P01R"",""XP_030828838.1"")"
voltage-dependent calcium channel subunit alpha-2/delta-1 isoform X6 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,426,426,94%,4e-128,28.80,1101,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030828837.1?report=genbank&log$=prottop&blast_rank=11&RID=0571HM6P01R"",""XP_030828837.1"")"
voltage-dependent calcium channel subunit alpha-2/delta-1 isoform X8 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,422,422,94%,6e-127,28.61,1092,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030828839.1?report=genbank&log$=prottop&blast_rank=12&RID=0571HM6P01R"",""XP_030828839.1"")"
voltage-dependent calcium channel subunit alpha-2/delta-1 isoform X4 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,422,422,94%,1e-126,28.67,1103,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030828835.1?report=genbank&log$=prottop&blast_rank=13&RID=0571HM6P01R"",""XP_030828835.1"")"
voltage-dependent calcium channel subunit alpha-2/delta-1 isoform X1 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,419,419,94%,2e-125,28.45,1111,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030828832.1?report=genbank&log$=prottop&blast_rank=14&RID=0571HM6P01R"",""XP_030828832.1"")"
