Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
cytochrome c oxidase subunit I [Saccoglossus kowalevskii],Saccoglossus kowalevskii,716,716,97%,0.0,75.69,517,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_337795.1?report=genbank&log$=prottop&blast_rank=1&RID=6CXY4MFW01R"",""YP_337795.1"")"
cytochrome c oxidase subunit I [Branchiostoma lanceolatum],Branchiostoma lanceolatum,712,712,99%,0.0,75.05,515,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_007539.1?report=genbank&log$=prottop&blast_rank=2&RID=6CXY4MFW01R"",""NP_007539.1"")"
cytochrome c oxidase subunit I [Branchiostoma floridae],Branchiostoma floridae,712,712,99%,0.0,75.05,515,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAH86472.1?report=genbank&log$=prottop&blast_rank=3&RID=6CXY4MFW01R"",""BAH86472.1"")"
cytochome c oxidase subunit 1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,711,711,99%,0.0,74.85,515,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAD93656.1?report=genbank&log$=prottop&blast_rank=4&RID=6CXY4MFW01R"",""BAD93656.1"")"
cytochrome c oxidase subunit I [Branchiostoma floridae],Branchiostoma floridae,710,710,99%,0.0,74.85,515,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAH86576.1?report=genbank&log$=prottop&blast_rank=5&RID=6CXY4MFW01R"",""BAH86576.1"")"
cytochrome c oxidase subunit I [Branchiostoma lanceolatum],Branchiostoma lanceolatum,710,710,99%,0.0,74.85,515,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAH86264.1?report=genbank&log$=prottop&blast_rank=6&RID=6CXY4MFW01R"",""BAH86264.1"")"
cytochrome c oxidase subunit I [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,708,708,98%,0.0,74.02,517,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_006967.1?report=genbank&log$=prottop&blast_rank=7&RID=6CXY4MFW01R"",""NP_006967.1"")"
cytochrome c oxidase subunit I [Branchiostoma floridae],Branchiostoma floridae,707,707,99%,0.0,74.85,515,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAH86446.1?report=genbank&log$=prottop&blast_rank=8&RID=6CXY4MFW01R"",""BAH86446.1"")"
cytochrome c oxidase subunit I [Branchiostoma floridae],Branchiostoma floridae,707,707,99%,0.0,74.66,515,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAH86329.1?report=genbank&log$=prottop&blast_rank=9&RID=6CXY4MFW01R"",""BAH86329.1"")"
cytochrome c oxidase subunit I [Branchiostoma floridae],Branchiostoma floridae,705,705,99%,0.0,74.66,515,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAH86563.1?report=genbank&log$=prottop&blast_rank=10&RID=6CXY4MFW01R"",""BAH86563.1"")"
cytochrome c oxidase subunit I [Branchiostoma floridae],Branchiostoma floridae,701,701,99%,0.0,74.27,515,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAH86368.1?report=genbank&log$=prottop&blast_rank=11&RID=6CXY4MFW01R"",""BAH86368.1"")"
cytochrome c oxidase subunit I [Octopus vulgaris],Octopus vulgaris,692,692,96%,0.0,75.80,510,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_112436.1?report=genbank&log$=prottop&blast_rank=12&RID=6CXY4MFW01R"",""YP_112436.1"")"
cytochrome oxidase subunit I [Xenoturbella bocki],Xenoturbella bocki,682,682,97%,0.0,70.69,516,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAL30090.1?report=genbank&log$=prottop&blast_rank=13&RID=6CXY4MFW01R"",""CAL30090.1"")"
cytochrome c oxidase subunit I [Xenoturbella bocki],Xenoturbella bocki,678,678,97%,0.0,70.30,516,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_850978.1?report=genbank&log$=prottop&blast_rank=14&RID=6CXY4MFW01R"",""YP_850978.1"")"
cytochrome c oxidase subunit I [Priapulus caudatus],Priapulus caudatus,665,665,97%,0.0,70.50,512,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_851000.1?report=genbank&log$=prottop&blast_rank=15&RID=6CXY4MFW01R"",""YP_851000.1"")"
cytochrome c oxidase subunit I [Ciona intestinalis B CG-2006],Ciona intestinalis B CG-2006,659,659,98%,0.0,70.06,520,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_006341036.1?report=genbank&log$=prottop&blast_rank=16&RID=6CXY4MFW01R"",""YP_006341036.1"")"
cytochrome oxidase subunit I [Xenoturbella bocki],Xenoturbella bocki,654,654,94%,0.0,70.26,499,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAQ55065.1?report=genbank&log$=prottop&blast_rank=17&RID=6CXY4MFW01R"",""AAQ55065.1"")"
cytochrome c oxidase subunit I [Ciona savignyi],Ciona savignyi,640,640,97%,0.0,69.57,516,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_786952.1?report=genbank&log$=prottop&blast_rank=18&RID=6CXY4MFW01R"",""NP_786952.1"")"
cytochrome oxidase subunit I [Ciona savignyi],Ciona savignyi,639,639,97%,0.0,69.76,515,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QDO67183.1?report=genbank&log$=prottop&blast_rank=19&RID=6CXY4MFW01R"",""QDO67183.1"")"
cytochrome c oxidase subunit I [Ephydatia muelleri],Ephydatia muelleri,638,638,99%,0.0,67.44,526,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_001648473.1?report=genbank&log$=prottop&blast_rank=20&RID=6CXY4MFW01R"",""YP_001648473.1"")"
cytochrome oxidase subunit I [Ciona savignyi],Ciona savignyi,637,637,97%,0.0,69.37,516,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QDO67177.1?report=genbank&log$=prottop&blast_rank=21&RID=6CXY4MFW01R"",""QDO67177.1"")"
cytochrome c oxidase subunit I [Amphimedon queenslandica],Amphimedon queenslandica,637,637,97%,0.0,69.78,530,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_001031199.1?report=genbank&log$=prottop&blast_rank=22&RID=6CXY4MFW01R"",""YP_001031199.1"")"
