Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
ETS domain-containing protein Elk-3-like isoform X3 [Asterias rubens],Asterias rubens,162,162,24%,2e-43,80.00,418,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033647862.1?report=genbank&log$=prottop&blast_rank=1&RID=6J789MZ7016"",""XP_033647862.1"")"
ETS domain-containing protein Elk-3-like isoform X2 [Asterias rubens],Asterias rubens,162,162,24%,3e-43,80.00,432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033647861.1?report=genbank&log$=prottop&blast_rank=2&RID=6J789MZ7016"",""XP_033647861.1"")"
ETS domain-containing protein Elk-3-like isoform X1 [Asterias rubens],Asterias rubens,162,162,24%,3e-43,80.00,460,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033647860.1?report=genbank&log$=prottop&blast_rank=3&RID=6J789MZ7016"",""XP_033647860.1"")"
transcription factor Elk [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,161,161,24%,7e-43,78.89,454,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_999792.1?report=genbank&log$=prottop&blast_rank=4&RID=6J789MZ7016"",""NP_999792.1"")"
PREDICTED: ETS domain-containing protein Elk-3-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,158,158,24%,3e-42,77.78,384,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002737846.1?report=genbank&log$=prottop&blast_rank=5&RID=6J789MZ7016"",""XP_002737846.1"")"
ELK1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,147,201,55%,9e-38,77.78,431,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1265119.1?report=genbank&log$=prottop&blast_rank=6&RID=6J789MZ7016"",""CAH1265119.1"")"
ELK1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,147,201,55%,9e-38,77.78,438,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1265120.1?report=genbank&log$=prottop&blast_rank=7&RID=6J789MZ7016"",""CAH1265120.1"")"
Elk protein [Ciona intestinalis],Ciona intestinalis,151,151,24%,2e-37,76.92,946,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001116439.1?report=genbank&log$=prottop&blast_rank=8&RID=6J789MZ7016"",""NP_001116439.1"")"
ETS domain-containing protein Elk-3-like isoform X2 [Branchiostoma floridae],Branchiostoma floridae,146,200,46%,2e-37,77.78,428,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035676504.1?report=genbank&log$=prottop&blast_rank=9&RID=6J789MZ7016"",""XP_035676504.1"")"
ETS domain-containing protein Elk-3-like isoform X1 [Branchiostoma floridae],Branchiostoma floridae,146,200,46%,2e-37,77.78,435,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035676503.1?report=genbank&log$=prottop&blast_rank=10&RID=6J789MZ7016"",""XP_035676503.1"")"
