Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
myosin light chain kinase-like protein [Saccoglossus kowalevskii],Saccoglossus kowalevskii,333,333,54%,3e-106,49.85,433,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001161592.1?report=genbank&log$=prottop&blast_rank=1&RID=0CJUPJ0A013"",""NP_001161592.1"")"
myosin light chain kinase 3-like isoform X1 [Ciona intestinalis],Ciona intestinalis,338,338,54%,5e-104,44.89,781,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_009858067.2?report=genbank&log$=prottop&blast_rank=2&RID=0CJUPJ0A013"",""XP_009858067.2"")"
"myosin light chain kinase, smooth muscle-like isoform X1 [Asterias rubens]",Asterias rubens,349,691,55%,1e-102,50.00,3506,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033628654.1?report=genbank&log$=prottop&blast_rank=3&RID=0CJUPJ0A013"",""XP_033628654.1"")"
"myosin light chain kinase, smooth muscle-like isoform X2 [Asterias rubens]",Asterias rubens,348,681,53%,2e-102,50.00,3235,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033628655.1?report=genbank&log$=prottop&blast_rank=4&RID=0CJUPJ0A013"",""XP_033628655.1"")"
"PREDICTED: myosin light chain kinase, smooth muscle-like [Priapulus caudatus]",Priapulus caudatus,319,319,49%,3e-102,52.90,324,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014663585.1?report=genbank&log$=prottop&blast_rank=5&RID=0CJUPJ0A013"",""XP_014663585.1"")"
titin homolog [Branchiostoma floridae],Branchiostoma floridae,344,344,51%,5e-101,52.60,2379,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035660911.1?report=genbank&log$=prottop&blast_rank=6&RID=0CJUPJ0A013"",""XP_035660911.1"")"
"PREDICTED: myosin light chain kinase 2, skeletal/cardiac muscle-like [Priapulus caudatus]",Priapulus caudatus,316,316,54%,6e-101,48.63,332,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014671846.1?report=genbank&log$=prottop&blast_rank=7&RID=0CJUPJ0A013"",""XP_014671846.1"")"
"myosin light chain kinase, smooth muscle isoform X3 [Strongylocentrotus purpuratus]",Strongylocentrotus purpuratus,341,679,50%,7e-100,51.49,3033,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030830853.1?report=genbank&log$=prottop&blast_rank=8&RID=0CJUPJ0A013"",""XP_030830853.1"")"
PREDICTED: myosin light chain kinase-like protein isoform X1 [Saccoglossus kowalevskii],Saccoglossus kowalevskii,317,317,51%,1e-99,49.84,458,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006823003.1?report=genbank&log$=prottop&blast_rank=9&RID=0CJUPJ0A013"",""XP_006823003.1"")"
"myosin light chain kinase, smooth muscle isoform X1 [Strongylocentrotus purpuratus]",Strongylocentrotus purpuratus,338,671,50%,6e-99,52.35,3053,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030830851.1?report=genbank&log$=prottop&blast_rank=10&RID=0CJUPJ0A013"",""XP_030830851.1"")"
"myosin light chain kinase, smooth muscle isoform X2 [Strongylocentrotus purpuratus]",Strongylocentrotus purpuratus,338,670,50%,7e-99,52.35,3052,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030830852.1?report=genbank&log$=prottop&blast_rank=11&RID=0CJUPJ0A013"",""XP_030830852.1"")"
"myosin light chain kinase, smooth muscle-like [Asterias rubens]",Asterias rubens,313,313,53%,2e-98,49.22,429,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033628774.1?report=genbank&log$=prottop&blast_rank=12&RID=0CJUPJ0A013"",""XP_033628774.1"")"
hypothetical protein OCBIM_22003654mg [Octopus bimaculoides],Octopus bimaculoides,309,309,48%,2e-98,49.48,326,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF70027.1?report=genbank&log$=prottop&blast_rank=13&RID=0CJUPJ0A013"",""KOF70027.1"")"
"PREDICTED: myosin light chain kinase, smooth muscle-like isoform X4 [Octopus bimaculoides]",Octopus bimaculoides,310,310,49%,3e-98,49.15,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014785562.1?report=genbank&log$=prottop&blast_rank=14&RID=0CJUPJ0A013"",""XP_014785562.1"")"
"PREDICTED: myosin light chain kinase, smooth muscle-like isoform X3 [Octopus bimaculoides]",Octopus bimaculoides,308,308,48%,1e-97,47.84,363,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014785561.1?report=genbank&log$=prottop&blast_rank=15&RID=0CJUPJ0A013"",""XP_014785561.1"")"
"myosin light chain kinase, smooth muscle isoform X4 [Strongylocentrotus purpuratus]",Strongylocentrotus purpuratus,333,333,47%,2e-97,52.28,2750,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011667919.2?report=genbank&log$=prottop&blast_rank=16&RID=0CJUPJ0A013"",""XP_011667919.2"")"
