Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
5'-AMP-activated protein kinase subunit beta-1-like isoform X2 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,271,271,72%,5e-89,65.13,275,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030854808.1?report=genbank&log$=prottop&blast_rank=1&RID=081UY1Z2016"",""XP_030854808.1"")"
5'-AMP-activated protein kinase subunit beta-1 isoform X1 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,265,265,72%,2e-86,62.75,284,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003729299.1?report=genbank&log$=prottop&blast_rank=2&RID=081UY1Z2016"",""XP_003729299.1"")"
5'-AMP-activated protein kinase subunit beta-2-like [Asterias rubens],Asterias rubens,263,263,100%,1e-85,50.00,269,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033627084.1?report=genbank&log$=prottop&blast_rank=3&RID=081UY1Z2016"",""XP_033627084.1"")"
5'-AMP-activated protein kinase subunit beta-2-like isoform X2 [Branchiostoma floridae],Branchiostoma floridae,259,259,100%,5e-84,51.58,278,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035671484.1?report=genbank&log$=prottop&blast_rank=4&RID=081UY1Z2016"",""XP_035671484.1"")"
PREDICTED: 5'-AMP-activated protein kinase subunit beta-2-like isoform X3 [Octopus bimaculoides],Octopus bimaculoides,255,255,73%,1e-82,61.62,266,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014774819.1?report=genbank&log$=prottop&blast_rank=5&RID=081UY1Z2016"",""XP_014774819.1"")"
5'-AMP-activated protein kinase subunit beta-2-like isoform X1 [Branchiostoma floridae],Branchiostoma floridae,255,255,100%,2e-82,51.40,279,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035671463.1?report=genbank&log$=prottop&blast_rank=6&RID=081UY1Z2016"",""XP_035671463.1"")"
PREDICTED: 5'-AMP-activated protein kinase subunit beta-2-like isoform X4 [Octopus bimaculoides],Octopus bimaculoides,245,245,73%,6e-79,61.11,258,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014774820.1?report=genbank&log$=prottop&blast_rank=7&RID=081UY1Z2016"",""XP_014774820.1"")"
PREDICTED: 5'-AMP-activated protein kinase subunit beta-2-like isoform X1 [Octopus bimaculoides],Octopus bimaculoides,244,244,72%,2e-78,57.82,282,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014774817.1?report=genbank&log$=prottop&blast_rank=8&RID=081UY1Z2016"",""XP_014774817.1"")"
PREDICTED: 5'-AMP-activated protein kinase subunit beta-2-like isoform X2 [Octopus bimaculoides],Octopus bimaculoides,235,235,73%,8e-75,56.54,274,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014774818.1?report=genbank&log$=prottop&blast_rank=9&RID=081UY1Z2016"",""XP_014774818.1"")"
5'-AMP-activated protein kinase subunit beta-1 [Ciona intestinalis],Ciona intestinalis,234,234,72%,1e-74,59.28,257,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002129192.1?report=genbank&log$=prottop&blast_rank=10&RID=081UY1Z2016"",""XP_002129192.1"")"
5'-AMP-activated protein kinase subunit beta-2-like [Acropora millepora],Acropora millepora,227,227,84%,2e-71,49.39,272,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029211126.1?report=genbank&log$=prottop&blast_rank=11&RID=081UY1Z2016"",""XP_029211126.1"")"
PREDICTED: 5'-AMP-activated protein kinase subunit beta-1-like [Priapulus caudatus],Priapulus caudatus,222,222,67%,2e-69,57.92,290,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014671822.1?report=genbank&log$=prottop&blast_rank=12&RID=081UY1Z2016"",""XP_014671822.1"")"
PREDICTED: 5'-AMP-activated protein kinase subunit beta-1-like [Priapulus caudatus],Priapulus caudatus,219,219,100%,4e-69,46.40,244,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014671500.1?report=genbank&log$=prottop&blast_rank=13&RID=081UY1Z2016"",""XP_014671500.1"")"
PREDICTED: 5'-AMP-activated protein kinase subunit beta-2-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,218,218,63%,1e-68,60.11,245,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006825814.1?report=genbank&log$=prottop&blast_rank=14&RID=081UY1Z2016"",""XP_006825814.1"")"
AMPKBI domain-containing protein [Caenorhabditis elegans],Caenorhabditis elegans,203,203,72%,2e-62,49.53,269,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001366890.1?report=genbank&log$=prottop&blast_rank=15&RID=081UY1Z2016"",""NP_001366890.1"")"
PREDICTED: 5'-AMP-activated protein kinase subunit beta-1-like [Amphimedon queenslandica],Amphimedon queenslandica,194,194,72%,3e-58,50.75,303,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003386563.1?report=genbank&log$=prottop&blast_rank=16&RID=081UY1Z2016"",""XP_003386563.1"")"
