Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
myocyte enhancer factor [Saccoglossus kowalevskii],Saccoglossus kowalevskii,310,310,100%,3e-98,43.57,487,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001161589.1?report=genbank&log$=prottop&blast_rank=1&RID=04PWK23Z016"",""NP_001161589.1"")"
myocyte-specific enhancer factor 2A-like isoform X31 [Branchiostoma floridae],Branchiostoma floridae,301,301,99%,4e-94,44.08,543,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035667896.1?report=genbank&log$=prottop&blast_rank=2&RID=04PWK23Z016"",""XP_035667896.1"")"
myocyte-specific enhancer factor 2A-like isoform X30 [Branchiostoma floridae],Branchiostoma floridae,296,296,99%,6e-92,43.76,547,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035667895.1?report=genbank&log$=prottop&blast_rank=3&RID=04PWK23Z016"",""XP_035667895.1"")"
myocyte-specific enhancer factor 2A-like isoform X29 [Branchiostoma floridae],Branchiostoma floridae,293,293,99%,1e-90,43.21,554,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035667894.1?report=genbank&log$=prottop&blast_rank=4&RID=04PWK23Z016"",""XP_035667894.1"")"
myocyte-specific enhancer factor 2A-like isoform X28 [Branchiostoma floridae],Branchiostoma floridae,292,292,99%,3e-90,43.06,556,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035667893.1?report=genbank&log$=prottop&blast_rank=5&RID=04PWK23Z016"",""XP_035667893.1"")"
myocyte-specific enhancer factor 2A-like isoform X27 [Branchiostoma floridae],Branchiostoma floridae,291,291,99%,8e-90,42.91,558,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035667892.1?report=genbank&log$=prottop&blast_rank=6&RID=04PWK23Z016"",""XP_035667892.1"")"
myocyte-specific enhancer factor 2A-like isoform X26 [Branchiostoma floridae],Branchiostoma floridae,287,287,99%,2e-88,42.23,567,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035667891.1?report=genbank&log$=prottop&blast_rank=7&RID=04PWK23Z016"",""XP_035667891.1"")"
myocyte-specific enhancer factor 2A-like isoform X25 [Branchiostoma floridae],Branchiostoma floridae,287,287,99%,3e-88,41.84,571,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035667889.1?report=genbank&log$=prottop&blast_rank=8&RID=04PWK23Z016"",""XP_035667889.1"")"
myocyte-specific enhancer factor 2A-like isoform X24 [Branchiostoma floridae],Branchiostoma floridae,282,282,99%,3e-86,41.55,575,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035667888.1?report=genbank&log$=prottop&blast_rank=9&RID=04PWK23Z016"",""XP_035667888.1"")"
myocyte-specific enhancer factor 2A-like isoform X19 [Branchiostoma floridae],Branchiostoma floridae,280,280,99%,3e-85,40.95,585,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035667882.1?report=genbank&log$=prottop&blast_rank=10&RID=04PWK23Z016"",""XP_035667882.1"")"
myocyte-specific enhancer factor 2A-like isoform X22 [Branchiostoma floridae],Branchiostoma floridae,279,279,99%,6e-85,41.06,582,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035667885.1?report=genbank&log$=prottop&blast_rank=11&RID=04PWK23Z016"",""XP_035667885.1"")"
myocyte-specific enhancer factor 2A-like isoform X20 [Branchiostoma floridae],Branchiostoma floridae,278,278,99%,1e-84,40.92,584,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035667883.1?report=genbank&log$=prottop&blast_rank=12&RID=04PWK23Z016"",""XP_035667883.1"")"
myocyte-specific enhancer factor 2A-like isoform X18 [Branchiostoma floridae],Branchiostoma floridae,277,277,99%,3e-84,40.78,586,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035667881.1?report=genbank&log$=prottop&blast_rank=13&RID=04PWK23Z016"",""XP_035667881.1"")"
