Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
guanine nucleotide-binding protein G(i) alpha subunit [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,630,630,100%,0.0,83.62,354,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001001475.1?report=genbank&log$=prottop&blast_rank=1&RID=0CR44APN016"",""NP_001001475.1"")"
guanine nucleotide-binding protein G(i) subunit alpha isoform X1 [Branchiostoma floridae],Branchiostoma floridae,629,629,100%,0.0,84.18,354,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035675477.1?report=genbank&log$=prottop&blast_rank=2&RID=0CR44APN016"",""XP_035675477.1"")"
guanine nucleotide-binding protein G(i) subunit alpha isoform X2 [Branchiostoma floridae],Branchiostoma floridae,624,624,100%,0.0,83.33,354,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035675478.1?report=genbank&log$=prottop&blast_rank=3&RID=0CR44APN016"",""XP_035675478.1"")"
guanine nucleotide-binding protein G(i) subunit alpha [Asterias rubens],Asterias rubens,620,620,100%,0.0,82.49,354,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033646766.1?report=genbank&log$=prottop&blast_rank=4&RID=0CR44APN016"",""XP_033646766.1"")"
PREDICTED: guanine nucleotide-binding protein G(i) subunit alpha-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,619,619,100%,0.0,82.20,354,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002730529.1?report=genbank&log$=prottop&blast_rank=5&RID=0CR44APN016"",""XP_002730529.1"")"
LOW QUALITY PROTEIN: guanine nucleotide-binding protein G(i) subunit alpha [Acropora millepora],Acropora millepora,603,603,100%,0.0,80.23,354,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029212181.2?report=genbank&log$=prottop&blast_rank=6&RID=0CR44APN016"",""XP_029212181.2"")"
G protein alpha subunit Gi isoform X2 [Ciona intestinalis],Ciona intestinalis,594,594,100%,0.0,79.66,354,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_009862342.1?report=genbank&log$=prottop&blast_rank=7&RID=0CR44APN016"",""XP_009862342.1"")"
G protein alpha subunit Gi [Ciona intestinalis],Ciona intestinalis,588,588,100%,0.0,78.81,354,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001027619.1?report=genbank&log$=prottop&blast_rank=8&RID=0CR44APN016"",""NP_001027619.1"")"
PREDICTED: guanine nucleotide-binding protein G(i) subunit alpha [Hydra vulgaris],Hydra vulgaris,584,584,100%,0.0,77.12,354,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012557495.1?report=genbank&log$=prottop&blast_rank=9&RID=0CR44APN016"",""XP_012557495.1"")"
PREDICTED: guanine nucleotide-binding protein G(i) subunit alpha-like [Priapulus caudatus],Priapulus caudatus,579,579,100%,0.0,76.84,354,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014676585.1?report=genbank&log$=prottop&blast_rank=10&RID=0CR44APN016"",""XP_014676585.1"")"
G protein alpha subunit Gi isoform X1 [Ciona intestinalis],Ciona intestinalis,574,574,100%,0.0,71.03,397,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026691426.1?report=genbank&log$=prottop&blast_rank=11&RID=0CR44APN016"",""XP_026691426.1"")"
PREDICTED: guanine nucleotide-binding protein G(i) subunit alpha-like [Octopus bimaculoides],Octopus bimaculoides,564,564,100%,0.0,75.71,354,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014777779.1?report=genbank&log$=prottop&blast_rank=12&RID=0CR44APN016"",""XP_014777779.1"")"
G protein alpha subunit i class [Octopus vulgaris],Octopus vulgaris,559,559,100%,0.0,75.14,354,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAA93636.1?report=genbank&log$=prottop&blast_rank=13&RID=0CR44APN016"",""BAA93636.1"")"
G-protein alpha subunit [Eptatretus burgeri],Eptatretus burgeri,525,525,85%,0.0,81.40,301,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAJ52662.1?report=genbank&log$=prottop&blast_rank=14&RID=0CR44APN016"",""BAJ52662.1"")"
G-protein alpha subunit [Eptatretus burgeri],Eptatretus burgeri,518,518,85%,0.0,79.73,301,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAJ52661.1?report=genbank&log$=prottop&blast_rank=15&RID=0CR44APN016"",""BAJ52661.1"")"
GNAI3 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,514,514,82%,0.0,82.59,294,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264443.1?report=genbank&log$=prottop&blast_rank=16&RID=0CR44APN016"",""CAH1264443.1"")"
GNAO1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,513,513,100%,0.0,68.45,354,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1269639.1?report=genbank&log$=prottop&blast_rank=17&RID=0CR44APN016"",""CAH1269639.1"")"
guanine nucleotide-binding protein G(o) subunit alpha-like [Branchiostoma floridae],Branchiostoma floridae,511,511,100%,0.0,67.89,354,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035679471.1?report=genbank&log$=prottop&blast_rank=18&RID=0CR44APN016"",""XP_035679471.1"")"
PREDICTED: guanine nucleotide-binding protein G(o) subunit alpha isoform X2 [Octopus bimaculoides],Octopus bimaculoides,510,510,100%,1e-180,70.14,354,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014788274.1?report=genbank&log$=prottop&blast_rank=19&RID=0CR44APN016"",""XP_014788274.1"")"
