Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
protein phosphatase 1 regulatory subunit 12A-like isoform X6 [Asterias rubens],Asterias rubens,416,510,68%,3e-126,43.42,995,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033628974.1?report=genbank&log$=prottop&blast_rank=1&RID=0CMZ9DV9013"",""XP_033628974.1"")"
protein phosphatase 1 regulatory subunit 12A-like isoform X5 [Asterias rubens],Asterias rubens,416,510,68%,4e-126,41.87,1013,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033628972.1?report=genbank&log$=prottop&blast_rank=2&RID=0CMZ9DV9013"",""XP_033628972.1"")"
PPP1R12A [Branchiostoma lanceolatum],Branchiostoma lanceolatum,402,585,67%,2e-124,43.73,706,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1251027.1?report=genbank&log$=prottop&blast_rank=3&RID=0CMZ9DV9013"",""CAH1251027.1"")"
PPP1R12A [Branchiostoma lanceolatum],Branchiostoma lanceolatum,404,588,88%,3e-123,43.89,884,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1251030.1?report=genbank&log$=prottop&blast_rank=4&RID=0CMZ9DV9013"",""CAH1251030.1"")"
PPP1R12A [Branchiostoma lanceolatum],Branchiostoma lanceolatum,404,588,88%,9e-123,43.91,908,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1251029.1?report=genbank&log$=prottop&blast_rank=5&RID=0CMZ9DV9013"",""CAH1251029.1"")"
protein phosphatase 1 regulatory subunit 12A-like isoform X6 [Branchiostoma floridae],Branchiostoma floridae,394,525,37%,2e-120,60.41,781,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035663753.1?report=genbank&log$=prottop&blast_rank=6&RID=0CMZ9DV9013"",""XP_035663753.1"")"
PREDICTED: protein phosphatase 1 regulatory subunit 12A-like isoform X3 [Octopus bimaculoides],Octopus bimaculoides,400,400,46%,2e-120,50.63,996,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014773905.1?report=genbank&log$=prottop&blast_rank=7&RID=0CMZ9DV9013"",""XP_014773905.1"")"
PREDICTED: protein phosphatase 1 regulatory subunit 12A-like isoform X2 [Octopus bimaculoides],Octopus bimaculoides,400,400,47%,4e-120,49.90,1024,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014773897.1?report=genbank&log$=prottop&blast_rank=8&RID=0CMZ9DV9013"",""XP_014773897.1"")"
PREDICTED: protein phosphatase 1 regulatory subunit 12A-like isoform X1 [Octopus bimaculoides],Octopus bimaculoides,399,399,47%,7e-120,49.90,1024,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014773891.1?report=genbank&log$=prottop&blast_rank=9&RID=0CMZ9DV9013"",""XP_014773891.1"")"
protein phosphatase 1 regulatory subunit 12A-like isoform X3 [Branchiostoma floridae],Branchiostoma floridae,395,573,66%,3e-119,60.41,914,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035663750.1?report=genbank&log$=prottop&blast_rank=10&RID=0CMZ9DV9013"",""XP_035663750.1"")"
protein phosphatase 1 regulatory subunit 12A-like isoform X4 [Branchiostoma floridae],Branchiostoma floridae,394,573,66%,3e-119,60.41,908,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035663751.1?report=genbank&log$=prottop&blast_rank=11&RID=0CMZ9DV9013"",""XP_035663751.1"")"
protein phosphatase 1 regulatory subunit 12C-like isoform X5 [Branchiostoma floridae],Branchiostoma floridae,394,565,63%,3e-119,60.41,881,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035663752.1?report=genbank&log$=prottop&blast_rank=12&RID=0CMZ9DV9013"",""XP_035663752.1"")"
PREDICTED: protein phosphatase 1 regulatory subunit 12A-like isoform X4 [Octopus bimaculoides],Octopus bimaculoides,395,516,74%,3e-119,54.73,953,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014773912.1?report=genbank&log$=prottop&blast_rank=13&RID=0CMZ9DV9013"",""XP_014773912.1"")"
protein phosphatase 1 regulatory subunit 12A-like isoform X2 [Branchiostoma floridae],Branchiostoma floridae,395,573,66%,4e-119,60.41,930,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035663749.1?report=genbank&log$=prottop&blast_rank=14&RID=0CMZ9DV9013"",""XP_035663749.1"")"
protein phosphatase 1 regulatory subunit 12A-like isoform X1 [Branchiostoma floridae],Branchiostoma floridae,395,573,66%,5e-119,60.41,934,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035663747.1?report=genbank&log$=prottop&blast_rank=15&RID=0CMZ9DV9013"",""XP_035663747.1"")"
protein phosphatase 1 regulatory subunit 12A isoform X2 [Ciona intestinalis],Ciona intestinalis,396,488,62%,3e-118,63.38,1105,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026696402.1?report=genbank&log$=prottop&blast_rank=16&RID=0CMZ9DV9013"",""XP_026696402.1"")"
PPP1R12A [Branchiostoma lanceolatum],Branchiostoma lanceolatum,389,573,67%,4e-118,59.21,836,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1251028.1?report=genbank&log$=prottop&blast_rank=17&RID=0CMZ9DV9013"",""CAH1251028.1"")"
protein phosphatase 1 regulatory subunit 12A-like isoform X9 [Asterias rubens],Asterias rubens,390,484,43%,8e-118,59.20,889,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033628977.1?report=genbank&log$=prottop&blast_rank=18&RID=0CMZ9DV9013"",""XP_033628977.1"")"
