Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
GTPase HRas [Branchiostoma floridae],Branchiostoma floridae,294,294,99%,1e-100,82.98,189,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035696597.1?report=genbank&log$=prottop&blast_rank=1&RID=VKHV2CMR016"",""XP_035696597.1"")"
GTPase HRas-like [Branchiostoma floridae],Branchiostoma floridae,292,292,90%,1e-99,88.24,188,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035672300.1?report=genbank&log$=prottop&blast_rank=2&RID=VKHV2CMR016"",""XP_035672300.1"")"
PREDICTED: GTPase HRas isoform X2 [Octopus bimaculoides],Octopus bimaculoides,289,289,87%,1e-98,90.24,185,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014774294.1?report=genbank&log$=prottop&blast_rank=3&RID=VKHV2CMR016"",""XP_014774294.1"")"
hypothetical protein OCBIM_22019558mg [Octopus bimaculoides],Octopus bimaculoides,287,287,81%,4e-98,88.89,174,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF85932.1?report=genbank&log$=prottop&blast_rank=4&RID=VKHV2CMR016"",""KOF85932.1"")"
GTPase HRas [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,287,287,99%,6e-98,81.28,187,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030848609.1?report=genbank&log$=prottop&blast_rank=5&RID=VKHV2CMR016"",""XP_030848609.1"")"
RAS protein [Branchiostoma lanceolatum],Branchiostoma lanceolatum,287,287,97%,8e-98,82.70,185,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ABU49827.1?report=genbank&log$=prottop&blast_rank=6&RID=VKHV2CMR016"",""ABU49827.1"")"
PREDICTED: GTPase HRas isoform X1 [Octopus bimaculoides],Octopus bimaculoides,287,287,87%,9e-98,89.63,185,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014774293.1?report=genbank&log$=prottop&blast_rank=7&RID=VKHV2CMR016"",""XP_014774293.1"")"
GTPase HRas [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,286,286,99%,2e-97,81.28,187,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030848582.1?report=genbank&log$=prottop&blast_rank=8&RID=VKHV2CMR016"",""XP_030848582.1"")"
LOW QUALITY PROTEIN: GTPase HRas [Acropora millepora],Acropora millepora,278,278,87%,4e-94,87.80,183,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029181346.1?report=genbank&log$=prottop&blast_rank=9&RID=VKHV2CMR016"",""XP_029181346.1"")"
Ras protein let-60 [Caenorhabditis elegans],Caenorhabditis elegans,273,273,96%,2e-92,77.05,184,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_502213.3?report=genbank&log$=prottop&blast_rank=10&RID=VKHV2CMR016"",""NP_502213.3"")"
ras protein [Caenorhabditis elegans],Caenorhabditis elegans,273,273,96%,2e-92,77.05,187,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAA28103.1?report=genbank&log$=prottop&blast_rank=11&RID=VKHV2CMR016"",""AAA28103.1"")"
PREDICTED: GTPase KRas-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,263,263,77%,2e-88,85.52,176,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002736858.1?report=genbank&log$=prottop&blast_rank=12&RID=VKHV2CMR016"",""XP_002736858.1"")"
GTPase HRas isoform X1 [Asterias rubens],Asterias rubens,262,262,99%,6e-88,75.40,188,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033638626.1?report=genbank&log$=prottop&blast_rank=13&RID=VKHV2CMR016"",""XP_033638626.1"")"
PREDICTED: GTPase HRas [Amphimedon queenslandica],Amphimedon queenslandica,259,259,88%,9e-87,80.36,189,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003384227.1?report=genbank&log$=prottop&blast_rank=14&RID=VKHV2CMR016"",""XP_003384227.1"")"
Ras GTPase [Dictyostelium discoideum AX4],Dictyostelium discoideum AX4,248,248,87%,2e-82,75.76,189,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_629133.1?report=genbank&log$=prottop&blast_rank=15&RID=VKHV2CMR016"",""XP_629133.1"")"
ras-like protein RAS1 [Hydra vulgaris],Hydra vulgaris,237,237,86%,6e-78,74.69,194,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001296618.1?report=genbank&log$=prottop&blast_rank=16&RID=VKHV2CMR016"",""NP_001296618.1"")"
ras protein [Salpingoeca rosetta],Salpingoeca rosetta,237,237,88%,7e-78,73.21,188,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004993374.1?report=genbank&log$=prottop&blast_rank=17&RID=VKHV2CMR016"",""XP_004993374.1"")"
