Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"PREDICTED: phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform-like [Amphimedon queenslandica]",Amphimedon queenslandica,799,799,93%,0.0,41.14,1421,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_019864496.1?report=genbank&log$=prottop&blast_rank=1&RID=0CVMWAYF016"",""XP_019864496.1"")"
"phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform isoform X2 [Ciona intestinalis]",Ciona intestinalis,749,749,97%,0.0,41.04,1131,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002122754.1?report=genbank&log$=prottop&blast_rank=2&RID=0CVMWAYF016"",""XP_002122754.1"")"
"phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform isoform X1 [Ciona intestinalis]",Ciona intestinalis,749,749,97%,0.0,41.04,1154,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018668461.1?report=genbank&log$=prottop&blast_rank=3&RID=0CVMWAYF016"",""XP_018668461.1"")"
"phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform-like [Asterias rubens]",Asterias rubens,544,544,95%,2e-173,33.03,1049,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033641996.1?report=genbank&log$=prottop&blast_rank=4&RID=0CVMWAYF016"",""XP_033641996.1"")"
PIK3CA [Branchiostoma lanceolatum],Branchiostoma lanceolatum,542,542,96%,1e-172,32.32,1071,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1240544.1?report=genbank&log$=prottop&blast_rank=5&RID=0CVMWAYF016"",""CAH1240544.1"")"
"PREDICTED: phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform-like [Amphimedon queenslandica]",Amphimedon queenslandica,536,536,74%,2e-170,38.75,1059,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_019863071.1?report=genbank&log$=prottop&blast_rank=6&RID=0CVMWAYF016"",""XP_019863071.1"")"
PIK3CD [Branchiostoma lanceolatum],Branchiostoma lanceolatum,533,533,86%,1e-169,36.32,1030,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1240074.1?report=genbank&log$=prottop&blast_rank=7&RID=0CVMWAYF016"",""CAH1240074.1"")"
"phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform-like [Branchiostoma floridae]",Branchiostoma floridae,534,534,96%,1e-169,32.36,1070,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035697147.1?report=genbank&log$=prottop&blast_rank=8&RID=0CVMWAYF016"",""XP_035697147.1"")"
"phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform-like [Branchiostoma floridae]",Branchiostoma floridae,533,533,86%,3e-169,35.82,1060,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035696953.1?report=genbank&log$=prottop&blast_rank=9&RID=0CVMWAYF016"",""XP_035696953.1"")"
PIK3CD [Branchiostoma lanceolatum],Branchiostoma lanceolatum,531,531,86%,2e-168,35.72,1061,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1240073.1?report=genbank&log$=prottop&blast_rank=10&RID=0CVMWAYF016"",""CAH1240073.1"")"
"phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform-like [Acropora millepora]",Acropora millepora,513,513,86%,6e-162,32.86,1044,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029206897.2?report=genbank&log$=prottop&blast_rank=11&RID=0CVMWAYF016"",""XP_029206897.2"")"
"PREDICTED: phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform-like [Octopus bimaculoides]",Octopus bimaculoides,511,511,85%,1e-160,33.74,1070,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014789384.1?report=genbank&log$=prottop&blast_rank=12&RID=0CVMWAYF016"",""XP_014789384.1"")"
hypothetical protein OCBIM_22018100mg [Octopus bimaculoides],Octopus bimaculoides,497,497,75%,4e-158,36.10,840,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF63954.1?report=genbank&log$=prottop&blast_rank=13&RID=0CVMWAYF016"",""KOF63954.1"")"
"phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform [Strongylocentrotus purpuratus]",Strongylocentrotus purpuratus,496,496,77%,6e-158,35.72,840,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030842909.1?report=genbank&log$=prottop&blast_rank=14&RID=0CVMWAYF016"",""XP_030842909.1"")"
"phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform-like isoform X2 [Ciona intestinalis]",Ciona intestinalis,500,500,78%,1e-156,34.38,1080,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026696339.1?report=genbank&log$=prottop&blast_rank=15&RID=0CVMWAYF016"",""XP_026696339.1"")"
"phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform [Strongylocentrotus purpuratus]",Strongylocentrotus purpuratus,499,499,75%,1e-156,35.93,1047,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030842482.1?report=genbank&log$=prottop&blast_rank=16&RID=0CVMWAYF016"",""XP_030842482.1"")"
"LOW QUALITY PROTEIN: phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform-like [Ciona intestinalis]",Ciona intestinalis,499,499,87%,2e-156,34.19,1043,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004227276.2?report=genbank&log$=prottop&blast_rank=17&RID=0CVMWAYF016"",""XP_004227276.2"")"
"phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform-like isoform X1 [Ciona intestinalis]",Ciona intestinalis,499,499,78%,4e-156,34.38,1082,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002122027.2?report=genbank&log$=prottop&blast_rank=18&RID=0CVMWAYF016"",""XP_002122027.2"")"
