Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
transient receptor potential cation channel subfamily M member-like 2 isoform X1 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,763,763,90%,0.0,33.11,1478,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030829331.1?report=genbank&log$=prottop&blast_rank=1&RID=04TNBH1B01R"",""XP_030829331.1"")"
transient receptor potential cation channel subfamily M member-like 2 isoform X2 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,762,762,90%,0.0,33.02,1468,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030829332.1?report=genbank&log$=prottop&blast_rank=2&RID=04TNBH1B01R"",""XP_030829332.1"")"
transient receptor potential cation channel subfamily M member-like 2 isoform X4 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,754,754,86%,0.0,33.52,1438,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030829334.1?report=genbank&log$=prottop&blast_rank=3&RID=04TNBH1B01R"",""XP_030829334.1"")"
transient receptor potential cation channel subfamily M member-like 2 isoform X3 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,753,753,90%,0.0,32.91,1462,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030829333.1?report=genbank&log$=prottop&blast_rank=4&RID=04TNBH1B01R"",""XP_030829333.1"")"
PREDICTED: transient receptor potential cation channel subfamily M member 2-like [Octopus bimaculoides],Octopus bimaculoides,580,580,70%,0.0,34.66,1117,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014775201.1?report=genbank&log$=prottop&blast_rank=5&RID=04TNBH1B01R"",""XP_014775201.1"")"
transient receptor potential cation channel subfamily M member 3 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,535,535,70%,1e-163,31.85,1251,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030833151.1?report=genbank&log$=prottop&blast_rank=6&RID=04TNBH1B01R"",""XP_030833151.1"")"
TRPM2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,525,525,66%,1e-159,34.74,1255,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1272898.1?report=genbank&log$=prottop&blast_rank=7&RID=04TNBH1B01R"",""CAH1272898.1"")"
TRPM2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,526,526,66%,5e-159,34.70,1405,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1272891.1?report=genbank&log$=prottop&blast_rank=8&RID=04TNBH1B01R"",""CAH1272891.1"")"
TRPM2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,525,525,66%,2e-158,34.62,1405,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1272886.1?report=genbank&log$=prottop&blast_rank=9&RID=04TNBH1B01R"",""CAH1272886.1"")"
TRPM2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,525,525,66%,4e-158,34.61,1441,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1272890.1?report=genbank&log$=prottop&blast_rank=10&RID=04TNBH1B01R"",""CAH1272890.1"")"
TRPM2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,524,524,66%,7e-158,34.62,1441,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1272887.1?report=genbank&log$=prottop&blast_rank=11&RID=04TNBH1B01R"",""CAH1272887.1"")"
TRPM2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,518,518,66%,6e-157,34.16,1285,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1272899.1?report=genbank&log$=prottop&blast_rank=12&RID=04TNBH1B01R"",""CAH1272899.1"")"
transient receptor potential cation channel subfamily M member-like 2 [Branchiostoma floridae],Branchiostoma floridae,526,955,96%,9e-157,38.58,1649,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035700323.1?report=genbank&log$=prottop&blast_rank=13&RID=04TNBH1B01R"",""XP_035700323.1"")"
PREDICTED: transient receptor potential cation channel subfamily M member 4-like [Octopus bimaculoides],Octopus bimaculoides,498,498,65%,5e-152,32.80,1040,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014774531.1?report=genbank&log$=prottop&blast_rank=14&RID=04TNBH1B01R"",""XP_014774531.1"")"
hypothetical protein OCBIM_22020063mg [Octopus bimaculoides],Octopus bimaculoides,498,498,65%,5e-152,32.80,1041,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF85576.1?report=genbank&log$=prottop&blast_rank=15&RID=04TNBH1B01R"",""KOF85576.1"")"
