Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
calcineurin B regulatory subunit [Saccoglossus kowalevskii],Saccoglossus kowalevskii,294,294,94%,6e-101,87.50,170,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001161511.1?report=genbank&log$=prottop&blast_rank=1&RID=05FB9V4A016"",""NP_001161511.1"")"
calcineurin subunit B type 1 [Acropora millepora],Acropora millepora,293,293,94%,2e-100,85.71,170,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029203065.1?report=genbank&log$=prottop&blast_rank=2&RID=05FB9V4A016"",""XP_029203065.1"")"
PREDICTED: calcineurin subunit B type 1 [Octopus bimaculoides],Octopus bimaculoides,290,290,89%,2e-99,89.31,170,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014783704.1?report=genbank&log$=prottop&blast_rank=3&RID=05FB9V4A016"",""XP_014783704.1"")"
PREDICTED: calcineurin subunit B type 1 [Priapulus caudatus],Priapulus caudatus,289,289,89%,5e-99,90.57,170,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014665054.1?report=genbank&log$=prottop&blast_rank=4&RID=05FB9V4A016"",""XP_014665054.1"")"
calcineurin subunit B type 1 isoform X2 [Branchiostoma floridae],Branchiostoma floridae,288,288,89%,1e-98,89.31,169,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035687175.1?report=genbank&log$=prottop&blast_rank=5&RID=05FB9V4A016"",""XP_035687175.1"")"
calcineurin subunit B type 1 isoform X1 [Branchiostoma floridae],Branchiostoma floridae,286,286,89%,7e-98,88.68,169,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035687166.1?report=genbank&log$=prottop&blast_rank=6&RID=05FB9V4A016"",""XP_035687166.1"")"
PPP3R1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,285,285,89%,2e-97,88.05,160,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1262853.1?report=genbank&log$=prottop&blast_rank=7&RID=05FB9V4A016"",""CAH1262853.1"")"
PPP3R1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,285,285,89%,2e-97,88.05,169,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1262851.1?report=genbank&log$=prottop&blast_rank=8&RID=05FB9V4A016"",""CAH1262851.1"")"
calcineurin subunit B type 2 [Asterias rubens],Asterias rubens,276,276,89%,1e-93,84.91,170,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033641186.1?report=genbank&log$=prottop&blast_rank=9&RID=05FB9V4A016"",""XP_033641186.1"")"
calcineurin subunit B type 2 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,273,273,89%,9e-93,84.28,170,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011666356.1?report=genbank&log$=prottop&blast_rank=10&RID=05FB9V4A016"",""XP_011666356.1"")"
calcineurin subunit B type 1 [Ciona intestinalis],Ciona intestinalis,272,272,89%,3e-92,83.65,170,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002130765.1?report=genbank&log$=prottop&blast_rank=11&RID=05FB9V4A016"",""XP_002130765.1"")"
Protein phosphatase 2B regulatory subunit cnb-1 [Caenorhabditis elegans],Caenorhabditis elegans,263,263,89%,8e-89,81.13,170,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001256317.1?report=genbank&log$=prottop&blast_rank=12&RID=05FB9V4A016"",""NP_001256317.1"")"
PPP3R1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,262,262,81%,1e-88,88.97,158,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1262852.1?report=genbank&log$=prottop&blast_rank=13&RID=05FB9V4A016"",""CAH1262852.1"")"
PREDICTED: calcineurin subunit B type 1-like [Hydra vulgaris],Hydra vulgaris,257,257,89%,3e-86,79.75,170,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004206833.1?report=genbank&log$=prottop&blast_rank=14&RID=05FB9V4A016"",""XP_004206833.1"")"
Protein phosphatase 2B regulatory subunit cnb-1 [Caenorhabditis elegans],Caenorhabditis elegans,256,256,89%,6e-86,78.48,171,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001256318.1?report=genbank&log$=prottop&blast_rank=15&RID=05FB9V4A016"",""NP_001256318.1"")"
PREDICTED: calcineurin subunit B type 1-like [Amphimedon queenslandica],Amphimedon queenslandica,239,239,89%,3e-79,71.07,171,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003387288.1?report=genbank&log$=prottop&blast_rank=16&RID=05FB9V4A016"",""XP_003387288.1"")"
calcineurin B [Salpingoeca rosetta],Salpingoeca rosetta,236,236,96%,5e-78,67.25,173,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004993056.1?report=genbank&log$=prottop&blast_rank=17&RID=05FB9V4A016"",""XP_004993056.1"")"
hypothetical protein OCBIM_22019350mg [Octopus bimaculoides],Octopus bimaculoides,228,228,93%,5e-75,65.06,168,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF86019.1?report=genbank&log$=prottop&blast_rank=18&RID=05FB9V4A016"",""KOF86019.1"")"
uncharacterized protein MONBRDRAFT_34076 [Monosiga brevicollis MX1],Monosiga brevicollis MX1,230,230,97%,4e-71,65.90,524,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_001749383.1?report=genbank&log$=prottop&blast_rank=19&RID=05FB9V4A016"",""XP_001749383.1"")"
"TPA: calcineurin subunit B, putative (Eurofung) [Aspergillus nidulans FGSC A4]",Aspergillus nidulans FGSC A4,208,208,88%,9e-67,63.69,181,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CBF70998.1?report=genbank&log$=prottop&blast_rank=20&RID=05FB9V4A016"",""CBF70998.1"")"
Calcineurin subunit B [Fusarium culmorum],Fusarium culmorum,205,205,88%,1e-65,63.69,174,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PTD10649.1?report=genbank&log$=prottop&blast_rank=21&RID=05FB9V4A016"",""PTD10649.1"")"
hypothetical protein HYE67_006871 [Fusarium culmorum],Fusarium culmorum,192,192,88%,4e-60,55.25,198,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QPC64640.1?report=genbank&log$=prottop&blast_rank=22&RID=05FB9V4A016"",""QPC64640.1"")"
calcineurin regulatory B subunit [Saccharomyces cerevisiae RM11-1a],Saccharomyces cerevisiae RM11-1a,191,191,88%,5e-60,58.97,175,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EDV12918.1?report=genbank&log$=prottop&blast_rank=23&RID=05FB9V4A016"",""EDV12918.1"")"
calcineurin regulatory subunit B [Saccharomyces cerevisiae S288C],Saccharomyces cerevisiae S288C,191,191,88%,5e-60,58.97,175,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_012731.1?report=genbank&log$=prottop&blast_rank=24&RID=05FB9V4A016"",""NP_012731.1"")"
Cnb1p [Saccharomyces cerevisiae JAY291],Saccharomyces cerevisiae JAY291,190,190,87%,7e-60,59.74,176,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EEU09184.1?report=genbank&log$=prottop&blast_rank=25&RID=05FB9V4A016"",""EEU09184.1"")"
CNB1 [Saccharomyces cerevisiae],Saccharomyces cerevisiae,189,189,86%,2e-59,59.48,157,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAA82033.1?report=genbank&log$=prottop&blast_rank=26&RID=05FB9V4A016"",""CAA82033.1"")"
