Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
calmodulin [Asterias rubens],Asterias rubens,295,295,100%,3e-102,98.66,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033630644.1?report=genbank&log$=prottop&blast_rank=1&RID=05A0XU6T013"",""XP_033630644.1"")"
calmodulin-like [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,296,296,100%,8e-102,97.99,213,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030855323.1?report=genbank&log$=prottop&blast_rank=2&RID=05A0XU6T013"",""XP_030855323.1"")"
calmodulin [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,294,294,100%,1e-101,97.99,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_780862.4?report=genbank&log$=prottop&blast_rank=3&RID=05A0XU6T013"",""XP_780862.4"")"
RecName: Full=Calmodulin-2; Short=CaM 2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,294,294,100%,1e-101,97.32,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q9UB37.3?report=genbank&log$=prottop&blast_rank=4&RID=05A0XU6T013"",""Q9UB37.3"")"
calmodulin [Saccoglossus kowalevskii],Saccoglossus kowalevskii,293,293,100%,1e-101,97.99,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001171813.1?report=genbank&log$=prottop&blast_rank=5&RID=05A0XU6T013"",""NP_001171813.1"")"
Calmodulin [Caenorhabditis elegans],Caenorhabditis elegans,293,293,100%,3e-101,97.99,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_503386.1?report=genbank&log$=prottop&blast_rank=6&RID=05A0XU6T013"",""NP_503386.1"")"
calmodulin isoform X1 [Branchiostoma floridae],Branchiostoma floridae,295,295,100%,5e-101,97.32,213,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035669395.1?report=genbank&log$=prottop&blast_rank=7&RID=05A0XU6T013"",""XP_035669395.1"")"
calmodulin-beta [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,292,292,100%,6e-101,97.32,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011675927.1?report=genbank&log$=prottop&blast_rank=8&RID=05A0XU6T013"",""XP_011675927.1"")"
calmodulin isoform X1 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,292,292,99%,7e-101,97.97,156,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_001177619.1?report=genbank&log$=prottop&blast_rank=9&RID=05A0XU6T013"",""XP_001177619.1"")"
calmodulin [Ciona intestinalis],Ciona intestinalis,292,292,100%,7e-101,97.32,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001027633.1?report=genbank&log$=prottop&blast_rank=10&RID=05A0XU6T013"",""NP_001027633.1"")"
calmodulin-like [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,291,291,100%,1e-100,96.64,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030854314.1?report=genbank&log$=prottop&blast_rank=11&RID=05A0XU6T013"",""XP_030854314.1"")"
calmodulin [Asterias rubens],Asterias rubens,291,291,100%,2e-100,96.64,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QAA95987.1?report=genbank&log$=prottop&blast_rank=12&RID=05A0XU6T013"",""QAA95987.1"")"
calmodulin-like [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,291,291,100%,2e-100,96.64,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030854592.1?report=genbank&log$=prottop&blast_rank=13&RID=05A0XU6T013"",""XP_030854592.1"")"
calmodulin isoform X3 [Branchiostoma floridae],Branchiostoma floridae,291,291,99%,2e-100,97.97,171,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035669412.1?report=genbank&log$=prottop&blast_rank=14&RID=05A0XU6T013"",""XP_035669412.1"")"
calmodulin [Salpingoeca rosetta],Salpingoeca rosetta,290,290,100%,3e-100,95.97,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004993230.1?report=genbank&log$=prottop&blast_rank=15&RID=05A0XU6T013"",""XP_004993230.1"")"
calmodulin-alpha isoform X6 [Branchiostoma floridae],Branchiostoma floridae,289,420,100%,9e-100,97.96,148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035669437.1?report=genbank&log$=prottop&blast_rank=16&RID=05A0XU6T013"",""XP_035669437.1"")"
CALM1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,288,288,100%,2e-99,95.97,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1245061.1?report=genbank&log$=prottop&blast_rank=17&RID=05A0XU6T013"",""CAH1245061.1"")"
calmodulin-A-like [Asterias rubens],Asterias rubens,293,607,100%,2e-99,98.65,271,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033647809.1?report=genbank&log$=prottop&blast_rank=18&RID=05A0XU6T013"",""XP_033647809.1"")"
calmodulin-A isoform X2 [Branchiostoma floridae],Branchiostoma floridae,290,422,100%,2e-99,97.28,212,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035669404.1?report=genbank&log$=prottop&blast_rank=19&RID=05A0XU6T013"",""XP_035669404.1"")"
calmodulin-beta-like [Asterias rubens],Asterias rubens,288,288,100%,3e-99,95.30,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033625834.1?report=genbank&log$=prottop&blast_rank=20&RID=05A0XU6T013"",""XP_033625834.1"")"
calmodulin [Acropora millepora],Acropora millepora,292,705,100%,6e-99,97.97,297,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029205908.1?report=genbank&log$=prottop&blast_rank=21&RID=05A0XU6T013"",""XP_029205908.1"")"
calmodulin-like [Asterias rubens],Asterias rubens,286,286,100%,1e-98,95.30,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033647800.1?report=genbank&log$=prottop&blast_rank=22&RID=05A0XU6T013"",""XP_033647800.1"")"
RecName: Full=Calmodulin-2; Short=CaM 2 [Branchiostoma floridae],Branchiostoma floridae,285,285,100%,3e-98,94.63,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q9XZP2.4?report=genbank&log$=prottop&blast_rank=23&RID=05A0XU6T013"",""Q9XZP2.4"")"
uncharacterized protein MONBRDRAFT_33928 [Monosiga brevicollis MX1],Monosiga brevicollis MX1,285,285,100%,6e-98,94.63,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_001749021.1?report=genbank&log$=prottop&blast_rank=24&RID=05A0XU6T013"",""XP_001749021.1"")"
calmodulin-like protein 1 [Asterias rubens],Asterias rubens,290,635,100%,9e-98,97.28,305,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033626194.1?report=genbank&log$=prottop&blast_rank=25&RID=05A0XU6T013"",""XP_033626194.1"")"
The 1.65 Angstrom Structure Of Calmodulin Rs20 Peptide Complex [Escherichia coli],Escherichia coli,283,283,99%,1e-97,93.92,148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/1QTX_A?report=genbank&log$=prottop&blast_rank=26&RID=05A0XU6T013"",""1QTX_A"")"
calmodulin-A [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,283,415,100%,3e-97,94.56,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011675926.1?report=genbank&log$=prottop&blast_rank=27&RID=05A0XU6T013"",""XP_011675926.1"")"
calmodulin-A-like [Asterias rubens],Asterias rubens,280,280,99%,5e-96,93.29,151,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033625563.1?report=genbank&log$=prottop&blast_rank=28&RID=05A0XU6T013"",""XP_033625563.1"")"
PREDICTED: calmodulin-A [Hydra vulgaris],Hydra vulgaris,280,280,100%,5e-96,91.95,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002154349.2?report=genbank&log$=prottop&blast_rank=29&RID=05A0XU6T013"",""XP_002154349.2"")"
calmodulin [Escherichia coli],Escherichia coli,279,279,100%,8e-96,91.28,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_152931984.1?report=genbank&log$=prottop&blast_rank=30&RID=05A0XU6T013"",""WP_152931984.1"")"
CALM1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,292,873,100%,1e-95,96.64,555,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1245060.1?report=genbank&log$=prottop&blast_rank=31&RID=05A0XU6T013"",""CAH1245060.1"")"
