Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
bifunctional peptidase and (3S)-lysyl hydroxylase JMJD7-like [Branchiostoma floridae],Branchiostoma floridae,278,278,21%,1e-82,57.47,330,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035659255.1?report=genbank&log$=prottop&blast_rank=1&RID=0MTRY1D0016"",""XP_035659255.1"")"
JMJD7 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,273,273,21%,8e-81,57.01,331,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1254585.1?report=genbank&log$=prottop&blast_rank=2&RID=0MTRY1D0016"",""CAH1254585.1"")"
bifunctional peptidase and (3S)-lysyl hydroxylase Jmjd7-like [Acropora millepora],Acropora millepora,271,271,27%,3e-80,46.83,325,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029184774.1?report=genbank&log$=prottop&blast_rank=3&RID=0MTRY1D0016"",""XP_029184774.1"")"
bifunctional peptidase and (3S)-lysyl hydroxylase Jmjd7-like [Asterias rubens],Asterias rubens,259,259,21%,1e-75,52.59,329,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033633664.1?report=genbank&log$=prottop&blast_rank=4&RID=0MTRY1D0016"",""XP_033633664.1"")"
bifunctional peptidase and (3S)-lysyl hydroxylase JMJD7 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,259,259,22%,2e-75,54.46,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011662092.2?report=genbank&log$=prottop&blast_rank=5&RID=0MTRY1D0016"",""XP_011662092.2"")"
PREDICTED: jmjC domain-containing protein 7 [Saccoglossus kowalevskii],Saccoglossus kowalevskii,256,256,26%,4e-75,46.07,318,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002731421.1?report=genbank&log$=prottop&blast_rank=6&RID=0MTRY1D0016"",""XP_002731421.1"")"
cytosolic phospholipase A2-like [Branchiostoma floridae],Branchiostoma floridae,269,269,51%,1e-74,30.22,767,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035685090.1?report=genbank&log$=prottop&blast_rank=7&RID=0MTRY1D0016"",""XP_035685090.1"")"
PLA2G4A [Branchiostoma lanceolatum],Branchiostoma lanceolatum,261,261,52%,1e-71,29.92,785,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1272832.1?report=genbank&log$=prottop&blast_rank=8&RID=0MTRY1D0016"",""CAH1272832.1"")"
cytosolic phospholipase A2-like isoform X1 [Acropora millepora],Acropora millepora,258,319,73%,7e-71,30.00,779,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029185674.2?report=genbank&log$=prottop&blast_rank=9&RID=0MTRY1D0016"",""XP_029185674.2"")"
PREDICTED: jmjC domain-containing protein 7-like isoform X1 [Priapulus caudatus],Priapulus caudatus,242,242,22%,1e-69,50.00,318,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014668763.1?report=genbank&log$=prottop&blast_rank=10&RID=0MTRY1D0016"",""XP_014668763.1"")"
PREDICTED: cytosolic phospholipase A2-like [Priapulus caudatus],Priapulus caudatus,241,241,57%,6e-64,29.87,896,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014668727.1?report=genbank&log$=prottop&blast_rank=11&RID=0MTRY1D0016"",""XP_014668727.1"")"
jmjC domain-containing protein 7-like [Ciona intestinalis],Ciona intestinalis,222,222,20%,9e-63,51.22,308,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026691491.1?report=genbank&log$=prottop&blast_rank=12&RID=0MTRY1D0016"",""XP_026691491.1"")"
PREDICTED: jmjC domain-containing protein 7-like isoform X1 [Hydra vulgaris],Hydra vulgaris,210,210,21%,2e-57,43.58,392,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012558901.1?report=genbank&log$=prottop&blast_rank=13&RID=0MTRY1D0016"",""XP_012558901.1"")"
