Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
calmodulin [Asterias rubens],Asterias rubens,293,293,98%,1e-101,98.65,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033630644.1?report=genbank&log$=prottop&blast_rank=1&RID=05EAX6Y7013"",""XP_033630644.1"")"
calmodulin isoform X1 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,293,293,100%,4e-101,96.67,156,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_001177619.1?report=genbank&log$=prottop&blast_rank=2&RID=05EAX6Y7013"",""XP_001177619.1"")"
calmodulin-like [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,295,295,98%,4e-101,97.97,213,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030855323.1?report=genbank&log$=prottop&blast_rank=3&RID=05EAX6Y7013"",""XP_030855323.1"")"
calmodulin [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,292,292,98%,6e-101,97.97,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_780862.4?report=genbank&log$=prottop&blast_rank=4&RID=05EAX6Y7013"",""XP_780862.4"")"
calmodulin-A-like [Asterias rubens],Asterias rubens,296,610,100%,6e-101,98.67,271,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033647809.1?report=genbank&log$=prottop&blast_rank=5&RID=05EAX6Y7013"",""XP_033647809.1"")"
RecName: Full=Calmodulin-2; Short=CaM 2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,292,292,98%,7e-101,97.30,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q9UB37.3?report=genbank&log$=prottop&blast_rank=6&RID=05EAX6Y7013"",""Q9UB37.3"")"
calmodulin [Saccoglossus kowalevskii],Saccoglossus kowalevskii,291,291,98%,8e-101,97.97,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001171813.1?report=genbank&log$=prottop&blast_rank=7&RID=05EAX6Y7013"",""NP_001171813.1"")"
calmodulin isoform X1 [Branchiostoma floridae],Branchiostoma floridae,294,294,98%,1e-100,97.97,213,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035669395.1?report=genbank&log$=prottop&blast_rank=8&RID=05EAX6Y7013"",""XP_035669395.1"")"
Calmodulin [Caenorhabditis elegans],Caenorhabditis elegans,291,291,98%,2e-100,97.97,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_503386.1?report=genbank&log$=prottop&blast_rank=9&RID=05EAX6Y7013"",""NP_503386.1"")"
calmodulin isoform X3 [Branchiostoma floridae],Branchiostoma floridae,291,291,98%,2e-100,97.97,171,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035669412.1?report=genbank&log$=prottop&blast_rank=10&RID=05EAX6Y7013"",""XP_035669412.1"")"
calmodulin [Ciona intestinalis],Ciona intestinalis,290,290,98%,3e-100,97.30,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001027633.1?report=genbank&log$=prottop&blast_rank=11&RID=05EAX6Y7013"",""NP_001027633.1"")"
calmodulin-beta [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,290,290,98%,3e-100,97.30,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011675927.1?report=genbank&log$=prottop&blast_rank=12&RID=05EAX6Y7013"",""XP_011675927.1"")"
calmodulin-like [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,290,290,98%,6e-100,96.62,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030854314.1?report=genbank&log$=prottop&blast_rank=13&RID=05EAX6Y7013"",""XP_030854314.1"")"
calmodulin [Asterias rubens],Asterias rubens,289,289,98%,8e-100,97.28,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QAA95987.1?report=genbank&log$=prottop&blast_rank=14&RID=05EAX6Y7013"",""QAA95987.1"")"
calmodulin-like [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,289,289,98%,1e-99,96.62,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030854592.1?report=genbank&log$=prottop&blast_rank=15&RID=05EAX6Y7013"",""XP_030854592.1"")"
calmodulin [Salpingoeca rosetta],Salpingoeca rosetta,288,288,98%,1e-99,95.95,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004993230.1?report=genbank&log$=prottop&blast_rank=16&RID=05EAX6Y7013"",""XP_004993230.1"")"
calmodulin [Acropora millepora],Acropora millepora,293,704,99%,3e-99,97.32,297,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029205908.1?report=genbank&log$=prottop&blast_rank=17&RID=05EAX6Y7013"",""XP_029205908.1"")"
calmodulin-A isoform X2 [Branchiostoma floridae],Branchiostoma floridae,289,420,98%,6e-99,97.95,212,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035669404.1?report=genbank&log$=prottop&blast_rank=18&RID=05EAX6Y7013"",""XP_035669404.1"")"
calmodulin-alpha isoform X6 [Branchiostoma floridae],Branchiostoma floridae,287,418,98%,6e-99,97.95,148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035669437.1?report=genbank&log$=prottop&blast_rank=19&RID=05EAX6Y7013"",""XP_035669437.1"")"
CALM1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,286,286,98%,9e-99,95.95,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1245061.1?report=genbank&log$=prottop&blast_rank=20&RID=05EAX6Y7013"",""CAH1245061.1"")"
calmodulin-like protein 1 [Asterias rubens],Asterias rubens,292,635,99%,1e-98,96.64,305,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033626194.1?report=genbank&log$=prottop&blast_rank=21&RID=05EAX6Y7013"",""XP_033626194.1"")"
calmodulin-beta-like [Asterias rubens],Asterias rubens,286,286,98%,1e-98,95.92,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033625834.1?report=genbank&log$=prottop&blast_rank=22&RID=05EAX6Y7013"",""XP_033625834.1"")"
calmodulin-like [Asterias rubens],Asterias rubens,285,285,98%,5e-98,95.27,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033647800.1?report=genbank&log$=prottop&blast_rank=23&RID=05EAX6Y7013"",""XP_033647800.1"")"
calmodulin-A-like [Asterias rubens],Asterias rubens,284,284,100%,8e-98,93.38,151,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033625563.1?report=genbank&log$=prottop&blast_rank=24&RID=05EAX6Y7013"",""XP_033625563.1"")"
The 1.65 Angstrom Structure Of Calmodulin Rs20 Peptide Complex [Escherichia coli],Escherichia coli,283,283,98%,1e-97,93.92,148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/1QTX_A?report=genbank&log$=prottop&blast_rank=25&RID=05EAX6Y7013"",""1QTX_A"")"
RecName: Full=Calmodulin-2; Short=CaM 2 [Branchiostoma floridae],Branchiostoma floridae,283,283,98%,2e-97,94.59,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q9XZP2.4?report=genbank&log$=prottop&blast_rank=26&RID=05EAX6Y7013"",""Q9XZP2.4"")"
uncharacterized protein MONBRDRAFT_33928 [Monosiga brevicollis MX1],Monosiga brevicollis MX1,283,283,98%,3e-97,94.59,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_001749021.1?report=genbank&log$=prottop&blast_rank=27&RID=05EAX6Y7013"",""XP_001749021.1"")"
calmodulin-A [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,281,413,98%,1e-96,94.52,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011675926.1?report=genbank&log$=prottop&blast_rank=28&RID=05EAX6Y7013"",""XP_011675926.1"")"
"Chain A, CALMODULIN [Escherichia coli]",Escherichia coli,278,278,96%,2e-95,93.79,145,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/1QS7_A?report=genbank&log$=prottop&blast_rank=29&RID=05EAX6Y7013"",""1QS7_A"")"
PREDICTED: calmodulin-A [Hydra vulgaris],Hydra vulgaris,278,278,98%,2e-95,91.89,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002154349.2?report=genbank&log$=prottop&blast_rank=30&RID=05EAX6Y7013"",""XP_002154349.2"")"
calmodulin [Escherichia coli],Escherichia coli,277,277,98%,4e-95,91.22,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_152931984.1?report=genbank&log$=prottop&blast_rank=31&RID=05EAX6Y7013"",""WP_152931984.1"")"
CALM1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,290,962,100%,7e-95,96.62,555,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1245060.1?report=genbank&log$=prottop&blast_rank=32&RID=05EAX6Y7013"",""CAH1245060.1"")"
hypothetical protein DDB_G0279407 [Dictyostelium discoideum AX4],Dictyostelium discoideum AX4,273,273,98%,3e-93,89.80,152,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_641695.1?report=genbank&log$=prottop&blast_rank=33&RID=05EAX6Y7013"",""XP_641695.1"")"
CALM1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,270,270,98%,5e-92,89.19,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1245062.1?report=genbank&log$=prottop&blast_rank=34&RID=05EAX6Y7013"",""CAH1245062.1"")"
PREDICTED: neo-calmodulin-like [Octopus bimaculoides],Octopus bimaculoides,268,268,100%,1e-91,86.67,151,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014780626.1?report=genbank&log$=prottop&blast_rank=35&RID=05EAX6Y7013"",""XP_014780626.1"")"
PREDICTED: LOW QUALITY PROTEIN: calmodulin-like protein 12 [Amphimedon queenslandica],Amphimedon queenslandica,278,957,100%,2e-91,97.87,454,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_019849868.1?report=genbank&log$=prottop&blast_rank=36&RID=05EAX6Y7013"",""XP_019849868.1"")"
calmodulin-alpha [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,268,268,98%,3e-91,87.26,158,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030854434.1?report=genbank&log$=prottop&blast_rank=37&RID=05EAX6Y7013"",""XP_030854434.1"")"
PREDICTED: calmodulin-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,266,331,92%,7e-91,94.89,137,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002735410.2?report=genbank&log$=prottop&blast_rank=38&RID=05EAX6Y7013"",""XP_002735410.2"")"
calmodulin 2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,266,331,94%,8e-91,97.76,134,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAA04527.1?report=genbank&log$=prottop&blast_rank=39&RID=05EAX6Y7013"",""CAA04527.1"")"
calmodulin-like [Branchiostoma floridae],Branchiostoma floridae,266,266,98%,9e-91,87.07,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035693452.1?report=genbank&log$=prottop&blast_rank=40&RID=05EAX6Y7013"",""XP_035693452.1"")"
PREDICTED: calmodulin-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,265,265,98%,2e-90,86.49,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002739903.1?report=genbank&log$=prottop&blast_rank=41&RID=05EAX6Y7013"",""XP_002739903.1"")"
calmodulin [Escherichia coli],Escherichia coli,262,328,98%,3e-89,100.00,132,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_194928239.1?report=genbank&log$=prottop&blast_rank=42&RID=05EAX6Y7013"",""WP_194928239.1"")"
PREDICTED: calmodulin-beta-like isoform X2 [Octopus bimaculoides],Octopus bimaculoides,262,334,94%,3e-89,92.20,148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014776699.1?report=genbank&log$=prottop&blast_rank=43&RID=05EAX6Y7013"",""XP_014776699.1"")"
Calmodulin [Fusarium culmorum],Fusarium culmorum,261,261,98%,8e-89,85.14,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PTD11648.1?report=genbank&log$=prottop&blast_rank=44&RID=05EAX6Y7013"",""PTD11648.1"")"
RecName: Full=Calmodulin; Short=CaM [Aspergillus nidulans FGSC A4],Aspergillus nidulans FGSC A4,260,260,98%,2e-88,84.46,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P60204.2?report=genbank&log$=prottop&blast_rank=45&RID=05EAX6Y7013"",""P60204.2"")"
calmodulin-like protein CaML3 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,260,260,98%,2e-88,86.49,151,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAA10472.1?report=genbank&log$=prottop&blast_rank=46&RID=05EAX6Y7013"",""CAA10472.1"")"
calmodulin [Dictyostelium discoideum],Dictyostelium discoideum,259,259,92%,4e-88,90.58,139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAA33171.1?report=genbank&log$=prottop&blast_rank=47&RID=05EAX6Y7013"",""AAA33171.1"")"
PREDICTED: zinc finger MYM-type protein 1-like [Hydra vulgaris],Hydra vulgaris,284,702,99%,8e-88,91.95,1137,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012556685.1?report=genbank&log$=prottop&blast_rank=48&RID=05EAX6Y7013"",""XP_012556685.1"")"
Crystal structure of the bright genetically encoded calcium indicator NCaMP7 based on mNeonGreen fluorescent protein [Escherichia coli],Escherichia coli,269,334,98%,1e-87,91.16,457,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/6XW2_A?report=genbank&log$=prottop&blast_rank=49&RID=05EAX6Y7013"",""6XW2_A"")"
CALM_EMENI Calmodulin (CaM) [Aspergillus nidulans FGSC A4],Aspergillus nidulans FGSC A4,256,256,96%,1e-86,84.14,145,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_659651.1?report=genbank&log$=prottop&blast_rank=50&RID=05EAX6Y7013"",""XP_659651.1"")"
CALM1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,265,691,100%,2e-86,87.16,434,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1245065.1?report=genbank&log$=prottop&blast_rank=51&RID=05EAX6Y7013"",""CAH1245065.1"")"
hypothetical protein OCBIM_22032763mg [Octopus bimaculoides],Octopus bimaculoides,256,256,92%,4e-86,89.13,189,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF76914.1?report=genbank&log$=prottop&blast_rank=52&RID=05EAX6Y7013"",""KOF76914.1"")"
PREDICTED: calmodulin-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,253,253,98%,2e-85,81.76,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002734090.1?report=genbank&log$=prottop&blast_rank=53&RID=05EAX6Y7013"",""XP_002734090.1"")"
PREDICTED: neo-calmodulin-like isoform X1 [Octopus bimaculoides],Octopus bimaculoides,251,324,94%,9e-85,86.39,154,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014776698.1?report=genbank&log$=prottop&blast_rank=54&RID=05EAX6Y7013"",""XP_014776698.1"")"
calmodulin-like protein 1 [Branchiostoma floridae],Branchiostoma floridae,250,616,98%,4e-82,86.43,315,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035693466.1?report=genbank&log$=prottop&blast_rank=55&RID=05EAX6Y7013"",""XP_035693466.1"")"
calmodulin-alpha-like [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,243,243,96%,2e-81,86.11,150,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030855392.1?report=genbank&log$=prottop&blast_rank=56&RID=05EAX6Y7013"",""XP_030855392.1"")"
calmodulin-like protein [Branchiostoma floridae],Branchiostoma floridae,240,240,98%,3e-80,81.08,147,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAB40133.1?report=genbank&log$=prottop&blast_rank=57&RID=05EAX6Y7013"",""CAB40133.1"")"
calmodulin-like [Branchiostoma floridae],Branchiostoma floridae,231,231,98%,5e-77,77.70,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035693458.1?report=genbank&log$=prottop&blast_rank=58&RID=05EAX6Y7013"",""XP_035693458.1"")"
calmodulin-A-like [Asterias rubens],Asterias rubens,232,299,98%,7e-77,77.55,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033625450.1?report=genbank&log$=prottop&blast_rank=59&RID=05EAX6Y7013"",""XP_033625450.1"")"
PREDICTED: calmodulin-A-like isoform X2 [Priapulus caudatus],Priapulus caudatus,230,230,96%,2e-76,76.55,153,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014666517.1?report=genbank&log$=prottop&blast_rank=60&RID=05EAX6Y7013"",""XP_014666517.1"")"
calmodulin [Fusarium culmorum],Fusarium culmorum,228,287,88%,6e-76,87.30,126,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UJD72768.1?report=genbank&log$=prottop&blast_rank=61&RID=05EAX6Y7013"",""UJD72768.1"")"
EF-hand domain-containing protein [Escherichia coli],Escherichia coli,225,287,92%,7e-75,90.00,120,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_193561792.1?report=genbank&log$=prottop&blast_rank=62&RID=05EAX6Y7013"",""WP_193561792.1"")"
hypothetical protein OCBIM_22028792mg [Octopus bimaculoides],Octopus bimaculoides,224,292,92%,8e-75,97.35,113,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF97671.1?report=genbank&log$=prottop&blast_rank=63&RID=05EAX6Y7013"",""KOF97671.1"")"
calmodulin [Clytia hemisphaerica],Clytia hemisphaerica,224,291,94%,9e-75,98.21,112,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAY16242.1?report=genbank&log$=prottop&blast_rank=64&RID=05EAX6Y7013"",""AAY16242.1"")"
